group	apk	dataset_path
themis-jacoco	AmazeFileManager-3.2.1-#1232.apk	themis-jacoco/AmazeFileManager/AmazeFileManager-3.2.1-#1232.apk
themis-jacoco	and-bible-build-327-#480.apk	themis-jacoco/and-bible/and-bible-build-327-#480.apk
themis-jacoco	AnkiDroid-debug-2.6beta6-#4200.apk	themis-jacoco/AnkiDroid/AnkiDroid-debug-2.6beta6-#4200.apk
themis-jacoco	APhotoManager-0.6.4.180314-debug-#116.apk	themis-jacoco/APhotoManager/APhotoManager-0.6.4.180314-debug-#116.apk
themis-jacoco	collect-1.23.0-beta.2-#3222.apk	themis-jacoco/collect/collect-1.23.0-beta.2-#3222.apk
themis-jacoco	commons-2.7.1-#1581.apk	themis-jacoco/commons/commons-2.7.1-#1581.apk
themis-jacoco	FirefoxLite-2.1.20-#5085.apk	themis-jacoco/FirefoxLite/FirefoxLite-2.1.20-#5085.apk
themis-jacoco	Frost-debug-2.2.1-#1323.apk	themis-jacoco/Frost/Frost-debug-2.2.1-#1323.apk
themis-jacoco	geohashdroid-0.9.4-#73.apk	themis-jacoco/geohashdroid/geohashdroid-0.9.4-#73.apk
themis-jacoco	MaterialFBook4.0.2-debug-#224.apk	themis-jacoco/MaterialFBook/MaterialFBook4.0.2-debug-#224.apk
themis-jacoco	nextcloud-#4792.apk	themis-jacoco/nextcloud/nextcloud-#4792.apk
themis-jacoco	open-event-attendee-android-0.5-#2198.apk	themis-jacoco/open-event-attendee-android/open-event-attendee-android-0.5-#2198.apk
themis-jacoco	openlauncher-0.3.1-#67.apk	themis-jacoco/openlauncher/openlauncher-0.3.1-#67.apk
themis-jacoco	osmeditor4android-debug-#729.apk	themis-jacoco/osmeditor4android/osmeditor4android-debug-#729.apk
themis-jacoco	Phonograph-0.15.0-#112.apk	themis-jacoco/Phonograph/Phonograph-0.15.0-#112.apk
themis-jacoco	sunflower-0.1.6-#239.apk	themis-jacoco/sunflower/sunflower-0.1.6-#239.apk
themis-jacoco	WordPress-vanilla-debug--#7182.apk	themis-jacoco/WordPress/WordPress-vanilla-debug--#7182.apk
ddroid-jacoco	instrumented-Scarlet-Notes-#114.apk	ddroid-jacoco/Scarlet-Notes/instrumented-Scarlet-Notes-#114.apk
hybriddroid-jacoco	AntennaPod.apk	hybriddroid-jacoco/AntennaPod.apk
hybriddroid-jacoco	chess.apk	hybriddroid-jacoco/chess.apk
hybriddroid-jacoco	feeder.apk	hybriddroid-jacoco/feeder.apk
hybriddroid-jacoco	myExpenses.apk	hybriddroid-jacoco/myExpenses.apk
hybriddroid-jacoco	newpipe.apk	hybriddroid-jacoco/newpipe.apk
hybriddroid-jacoco	OmniNotes.apk	hybriddroid-jacoco/OmniNotes.apk
hybriddroid-jacoco	owntracks.apk	hybriddroid-jacoco/owntracks.apk
hybriddroid-jacoco	RedReader.apk	hybriddroid-jacoco/RedReader.apk
hybriddroid-jacoco	SimpleAlarm.apk	hybriddroid-jacoco/SimpleAlarm.apk
hybriddroid-jacoco	Wikipedia.apk	hybriddroid-jacoco/Wikipedia.apk
22-dataset	Fedilab.apk	22-dataset/Fedilab.apk
22-dataset	GPSLogger.apk	22-dataset/GPSLogger.apk
22-dataset	Infinity-For-Reddit.apk	22-dataset/Infinity-For-Reddit.apk
22-dataset	Kiwix.apk	22-dataset/Kiwix.apk
22-dataset	Kore.apk	22-dataset/Kore.apk
22-dataset	Money-Manager-Ex.apk	22-dataset/Money-Manager-Ex.apk
22-dataset	Open-Food-Facts.apk	22-dataset/Open-Food-Facts.apk
22-dataset	Orgzly-Revived.apk	22-dataset/Orgzly-Revived.apk
22-dataset	ownCloud.apk	22-dataset/ownCloud.apk
22-dataset	StreetComplete.apk	22-dataset/StreetComplete.apk
22-dataset	Trackbook.apk	22-dataset/Trackbook.apk
22-dataset	Transistor.apk	22-dataset/Transistor.apk
22-dataset	Twire.apk	22-dataset/Twire.apk
22-dataset	Ultrasonic.apk	22-dataset/Ultrasonic.apk
22-dataset	Vinyl-Music-Player.apk	22-dataset/Vinyl-Music-Player.apk
22-dataset	Wallabag.apk	22-dataset/Wallabag.apk
