name,id,group,state,apk,class_dirs,class_files,source_dirs,size_mb,seconds,detail
Aard2,0.58,expansion-50,build_failed,,0,0,0,,32,build failed
Aegis,v3.4.2,expansion-50,ok,Aegis-#v3.4.2-rebuilt.apk,3,1088,3,42.7,103,assembleDebug
AlarmClock,3.15.04,expansion-50,ok,AlarmClock-#3.15.04-rebuilt.apk,2,550,3,17.8,357,assembleDebug
AlarmKlock,alarmclock2.13,expansion-50,build_failed,,0,0,0,,0,no gradle wrapper and no cached distribution
AndBible,production1117,expansion-50,build_failed,,0,0,0,,113,build failed
Android-Chess,10.4.0,expansion-50,build_failed,,0,0,0,,37,build failed
AntennaPod,3.12.0,expansion-50,build_failed,,0,0,0,,363,build failed
Antimine,17.7.0,expansion-50,ok,Antimine-#17.7.0-rebuilt.apk,2,362,23,43.7,254,assembleDebug
AnyMemo,10.12.2,expansion-50,ok,AnyMemo-#10.12.2-rebuilt.apk,1,633,2,23.4,152,assembleDebug (jdk17)
Auxio,v4.1.5,expansion-50,build_failed,,0,0,0,,31,build failed
CEToolbox,1.6.1,expansion-50,build_failed,,0,0,0,,28,build failed
CPU-Info,android6.6.2,expansion-50,ok,CPU-Info-#android6.6.2-rebuilt.apk,7,1319,17,45.1,230,assembleDebug
Calculator-You,v3.1.2,expansion-50,ok,Calculator-You-#v3.1.2-rebuilt.apk,2,197,1,24.0,182,assembleDebug
Catima,v2.45.0,expansion-50,ok,Catima-#v2.45.0-rebuilt.apk,2,204,5,44.9,49,assembleDebug
ClockYou,v11.0,expansion-50,ok,ClockYou-#v11.0-rebuilt.apk,2,383,3,35.8,114,assembleDebug
Cofi,v1.21.5,expansion-50,ok,Cofi-#v1.21.5-rebuilt.apk,2,839,11,43.1,319,assembleDebug
Currencies,1.23.0,expansion-50,ok,Currencies-#1.23.0-rebuilt.apk,2,143,4,17.9,219,assembleDebug
Currency,v1.58,expansion-50,ok,Currency-#v1.58-rebuilt.apk,1,27,2,6.9,91,assembleDebug (jdk17)
Diary,v1.105,expansion-50,ok,Diary-#v1.105-rebuilt.apk,1,26,1,4.2,56,assembleDebug
DiskUsage,5.0alpha1,expansion-50,build_failed,,0,0,0,,34,build failed
Droid-ify,v0.7.6,expansion-50,ok,Droid-ify-#v0.7.6-rebuilt.apk,4,3390,4,304.5,342,assembleDebug
Etar-Calendar,v1.0.57,expansion-50,ok,Etar-Calendar-#v1.0.57-rebuilt.apk,2,529,2,25.4,111,assembleDebug
FastNFitness,0.20.6.2,expansion-50,ok,FastNFitness-#0.20.6.2-rebuilt.apk,1,211,2,23.6,78,assembleDebug (jdk17)
Feeder,2.23.0,expansion-50,ok,Feeder-#2.23.0-rebuilt.apk,2,1849,3,258.3,34,assembleDebug
Fossify-Calculator,1.4.0,expansion-50,ok,Fossify-Calculator-#1.4.0-rebuilt.apk,2,210,2,50.0,18,assembleDebug
Fossify-Calendar,1.10.3,expansion-50,ok,Fossify-Calendar-#1.10.3-rebuilt.apk,1,86,2,54.3,367,assembleDebug
Fossify-Clock,1.6.0,expansion-50,ok,Fossify-Clock-#1.6.0-rebuilt.apk,2,198,2,45.4,17,assembleDebug
Fossify-Contacts,1.6.0,expansion-50,ok,Fossify-Contacts-#1.6.0-rebuilt.apk,2,150,2,47.6,27,assembleDebug
Fossify-File-Manager,1.6.1,expansion-50,ok,Fossify-File-Manager-#1.6.1-rebuilt.apk,2,118,2,47.3,15,assembleDebug
Fossify-Music-Player,1.8.1,expansion-50,ok,Fossify-Music-Player-#1.8.1-rebuilt.apk,2,294,2,53.4,49,assembleDebug
Fossify-Notes,1.7.0,expansion-50,ok,Fossify-Notes-#1.7.0-rebuilt.apk,2,133,2,51.8,30,assembleDebug
Fossify-Voice-Recorder,1.7.1,expansion-50,ok,Fossify-Voice-Recorder-#1.7.1-rebuilt.apk,2,73,2,42.5,54,assembleDebug
GPSLogger,v137,expansion-50,build_failed,,0,0,0,,64,build failed
Game2048,1.16.2release,expansion-50,instrument_failed,,0,0,0,,0,no AndroidManifest.xml with <application> in app
Goodtime,3.2.6,expansion-50,build_failed,,0,0,0,,60,build failed
KeePassDroid,v2.6.9.2,expansion-50,build_failed,,0,0,0,,34,build failed
Lexica,v3.13.1,expansion-50,ok,Lexica-#v3.13.1-rebuilt.apk,7,261,10,304.3,221,assembleDebug
LibChecker,2.5.4,expansion-50,instrument_failed,,0,0,0,,0,no android { } block in build.gradle.kts
Markor,v2.16.1,expansion-50,ok,Markor-#v2.16.1-rebuilt.apk,2,646,2,40.8,137,assembleDebug
MaterialFiles,v1.7.4,expansion-50,build_failed,,0,0,0,,23,build failed
MedTimer,v1.25.2,expansion-50,build_failed,,0,0,0,,26,build failed
MyExpenses,r879,expansion-50,ok,MyExpenses-#r879-rebuilt.apk,5,5368,32,178.8,332,assembleDebug
OpenCalc,v3.2.1,expansion-50,ok,OpenCalc-#v3.2.1-rebuilt.apk,2,61,3,14.9,24,assembleDebug
OpenSudoku,4.10.0,expansion-50,ok,OpenSudoku-#4.10.0-rebuilt.apk,2,430,3,61.7,114,assembleDebug
PCAPdroid,v2.0.0,expansion-50,build_failed,,0,0,0,,132,build failed
PrivacyFriendlyNotes,v2.2.2,expansion-50,build_failed,,0,0,0,,65,build failed
QuickDic,v5.8.4,expansion-50,build_failed,,0,0,0,,0,no gradle wrapper and no cached distribution
ReadYou,0.16.2,expansion-50,ok,ReadYou-#0.16.2-rebuilt.apk,4,4066,3,178.5,491,assembleDebug
RedReader,v1.26,expansion-50,ok,RedReader-#v1.26-rebuilt.apk,1,700,4,41.8,388,assembleDebug
SimpleTimeTracker,v1.59,expansion-50,build_failed,,0,0,0,,493,build failed
Tasks,15.10,expansion-50,build_failed,,0,0,0,,95,build failed
Track-And-Graph,v10.2.2,expansion-50,instrument_failed,,0,0,0,,0,cannot determine package/namespace
Trackbook,v2.1.2,expansion-50,build_failed,,0,0,0,,39,build failed
TranslateYou,v19.0,expansion-50,ok,TranslateYou-#v19.0-rebuilt.apk,3,533,4,70.0,94,assembleDebug
Ultrasonic,3.2.0,expansion-50,build_failed,,0,0,0,,19,build failed
Unitto,76,expansion-50,build_failed,,0,0,0,,106,build failed
Vanilla-Music,1.3.2,expansion-50,ok,Vanilla-Music-#1.3.2-rebuilt.apk,1,250,1,34.7,75,assembleDebug
Vinyl-Music-Player,1.11.0,expansion-50,ok,Vinyl-Music-Player-#1.11.0-rebuilt.apk,3,583,2,24.5,123,assembleDebug
openScale,v3.1.2,expansion-50,build_failed,,0,0,0,,0,no gradle wrapper and no cached distribution
uhabits,v2.3.1,expansion-50,ok,uhabits-#v2.3.1-rebuilt.apk,3,655,7,51.7,314,assembleDebug
