name,id,group,state,apk,class_dirs,class_files,source_dirs,size_mb,seconds,detail
Aegis,v3.4.2,expansion-50,ok,Aegis-#v3.4.2-rebuilt.apk,2,544,3,36.9,60,assembleDebug
Breezy-Weather,v5.2.8,llm-gui-research,ok,Breezy-Weather-#v5.2.8-rebuilt.apk,3,1850,6,86.6,301,app:assembleFreenetDebug
Droid-ify,v0.7.6,expansion-50,ok,Droid-ify-#v0.7.6-rebuilt.apk,3,1695,4,304.5,27,assembleDebug
Kiwix,3.11.1,llm-gui-research,ok,Kiwix-#3.11.1-rebuilt.apk,6,1402,9,144.5,155,assembleDebug
Lexica,v3.13.1,expansion-50,ok,Lexica-#v3.13.1-rebuilt.apk,6,209,10,304.2,200,assembleDebug
Markor,v2.16.1,expansion-50,ok,Markor-#v2.16.1-rebuilt.apk,1,323,2,40.8,69,assembleDebug
MyExpenses,r879,expansion-50,ok,MyExpenses-#r879-rebuilt.apk,4,3849,32,174.5,407,assembleDebug
Open-Food-Facts,v3.10.2,llm-gui-research,ok,Open-Food-Facts-#v3.10.2-rebuilt.apk,3,1805,7,129.4,3063,app:assembleObfFdroidDebug
Orgzly-Revived,v1.8.27beta.2,llm-gui-research,ok,Orgzly-Revived-#v1.8.27beta.2-rebuilt.apk,2,1213,4,45.8,183,app:assembleFdroidDebug
ReadYou,0.16.2,expansion-50,ok,ReadYou-#0.16.2-rebuilt.apk,3,2033,3,94.4,322,assembleDebug
Vinyl-Music-Player,1.11.0,expansion-50,ok,Vinyl-Music-Player-#1.11.0-rebuilt.apk,2,573,2,24.5,72,assembleDebug
