name,id,group,state,apk,class_dirs,class_files,source_dirs,size_mb,seconds,detail
AmazeFileManager,1232,themis,ok,AmazeFileManager-3.4.2-#1837-rebuilt.apk,2,997,2,14.4,9,build failed
and-bible,480,themis,build_failed,,0,0,0,,112,build failed
AnkiDroid,4200,themis,ok,AnkiDroid-debug-2.6beta6-#4200-rebuilt.apk,2,765,3,6.2,48,assembleDebug
APhotoManager,116,themis,ok,APhotoManager-0.6.4.180314-debug-#116-rebuilt.apk,1,309,1,2.7,0,source branch deleted upstream (junior291492659); apk-only
collect,3222,themis,build_failed,,0,0,0,,134,build failed
commons,1581,themis,ok,commons-2.7.1-#1581-rebuilt.apk,2,1570,4,22.8,169,assembleDebug
FirefoxLite,5085,themis,ok,FirefoxLite-2.1.20-#5085-rebuilt.apk,18,3490,47,15.4,64,assembleDebug
Frost,1323,themis,build_failed,,0,0,0,,26,build failed
geohashdroid,73,themis,ok,geohashdroid-0.9.4-#73-rebuilt.apk,1,324,1,3.9,16,assembleDebug
MaterialFBook,224,themis,ok,MaterialFBook4.0.2-debug-#224.apk,1,55,1,4.1,0,source branch deleted upstream; already complete in instrumented_apps
nextcloud,4792,themis,ok,nextcloud-#4792-rebuilt.apk,2,1884,8,18.1,15,build failed
open-event-attendee-android,2198,themis,ok,open-event-attendee-android-0.5-#2198.apk,4,4601,5,12.9,67,build failed
openlauncher,67,themis,ok,openlauncher-0.3.1-#67-rebuilt.apk,1,494,1,4.0,56,build failed
osmeditor4android,729,themis,build_failed,,0,0,0,,39,build failed
Phonograph,112,themis,build_failed,,0,0,0,,68,build failed
sunflower,239,themis,build_failed,,0,0,0,,48,build failed
WordPress,7182,themis,build_failed,,0,0,0,,71,build failed
Scarlet-Notes,114,ddroid,build_failed,,0,0,0,,382,build failed
