app	apk	package	sha256	size_mb	class_dirs	class_files	source_dirs	paths_ok	provenance
AmazeFileManager	AmazeFileManager-3.4.2-#1837-rebuilt.apk	com.amaze.filemanager.debug	9269b957a71b5ff61b85264b464658d6c6e2d75b9f2f76b79b1689ddbfe9e86b	14.4	2	507	6	yes	tingsu/AmazeFileManager@instrumented-version-3.2.1
AnkiDroid	AnkiDroid-debug-2.6beta6-#4200-rebuilt.apk	com.ichi2.anki	e21f15cb108dd7344d39904d0a0b0e05a3e4a9abfa9aba3a1a6ff4740690e91a	6.2	2	676	3	yes	tingsu/Anki-Android@instrumented-version-2.6beta6
FirefoxLite	FirefoxLite-2.1.20-#5085-rebuilt.apk	org.mozilla.rocket.debug.ubuntu	303c355890a97b5063223d87100d3af4fbd06e6925e2f6e390a9c997e3a73bd9	15.4	18	3490	47	yes	tingsu/FirefoxLite@instrumented-version-2.1.20-#5085
MaterialFBook	MaterialFBook4.0.2-debug-#224.apk	me.zeeroooo.materialfb	52d0cb4c74eeae8840560a5c4c71e2cdc2e3110e69635d84c5110bfde1ea607a	4.1	1	55	3	yes	ZeeRooo/MaterialFBook@v4.0.2
Omni-Notes	Omni-Notes-6.1.0-#745-rebuilt.apk	it.feio.android.omninotes	a7bd916b0203420fb1c1e3e847ee2265decf038e17a19d4cd8f9f37f70931d34	10.5	1	237	7	yes	tingsu/Omni-Notes@instrumented-version-6.1.0
StreetComplete	StreetComplete-#v53.2-rebuilt.apk	de.westnordost.streetcomplete.debug	41c52c5a8039a3205cc04c132e28577903034b42f742a39481c2d65ae106d830	72.3	2	3782	4	yes	streetcomplete/StreetComplete@v53.2
Twire	Twire-#v2.10.7-rebuilt.apk	com.perflyst.twire.debug	ee19a04ebee55797e384ede17694dba5ff00c36ac29ae38c7c37a16b6de52777	17.0	1	324	2	yes	twireapp/Twire@v2.10.7
Wikipedia	Wikipedia-#beta2.7.50447beta2023062-rebuilt.apk	org.wikipedia.dev	b32f57c0da07ca8adacca720314d0a6fe9be35a61170e68691564110ab8bc405	28.8	2	3053	7	yes	wikimedia/apps-android-wikipedia@beta/2.7.50447-beta-2023-06-28
commons	commons-2.7.1-#1581-rebuilt.apk	fr.free.nrw.commons.debug	06ea599df54ab167c546bf53bf8e677df35e4ed2dfbbc616182f636ca293c839	22.8	1	468	4	yes	tingsu/apps-android-commons@instrumented-version-2.7.1
geohashdroid	geohashdroid-0.9.4-#73-rebuilt.apk	net.exclaimindustries.geohashdroid	529a88abf43466f480765b5a5f037e8f32e835480f930bd68611a219d81856a9	3.9	1	114	1	yes	tingsu/geohashdroid@instrumented-version-0.9.4
newpipe	newpipe-#v0.25.1-rebuilt.apk	org.schabi.newpipe.debug.HEAD	ae3060cabafc4db85d169ca23fbf3630eef4517a8d2c74f1623370513533f9ef	22.3	2	1031	4	yes	TeamNewPipe/NewPipe@v0.25.1
nextcloud	nextcloud-#4792-rebuilt.apk	com.nextcloud.client	f8d2141b25b806a9d0b064c32fc87f55a9e79aa029b1f6716b6a9ebb1844c72a	18.1	2	1403	8	yes	skull591/android@buggy-4792
openlauncher	openlauncher-0.3.1-#67-rebuilt.apk	com.benny.openlauncher	00352a14862f39d09ab1afa220b4a40dd57e7ab170946ab23dbeb99081e49ceb	4.0	1	250	4	yes	tingsu/openlauncher@instrument-version-0.3.1
