app,wall_clock,elapsed_seconds,lines_covered,lines_total,line_coverage_pct
AmazeFileManager-3.4.2-#1837-rebuilt,01:09:03,0,3418,21323,16.03
AmazeFileManager-3.4.2-#1837-rebuilt,01:09:06,3,3428,21323,16.08
AmazeFileManager-3.4.2-#1837-rebuilt,01:16:13,430,3525,21323,16.53
AmazeFileManager-3.4.2-#1837-rebuilt,01:16:29,446,3525,21323,16.53
AmazeFileManager-3.4.2-#1837-rebuilt,01:16:42,459,3525,21323,16.53
AmazeFileManager-3.4.2-#1837-rebuilt,01:16:56,473,3525,21323,16.53
AmazeFileManager-3.4.2-#1837-rebuilt,01:17:07,484,3525,21323,16.53
AmazeFileManager-3.4.2-#1837-rebuilt,01:17:19,496,3525,21323,16.53
AmazeFileManager-3.4.2-#1837-rebuilt,01:18:43,580,3613,21323,16.94
AmazeFileManager-3.4.2-#1837-rebuilt,01:19:38,635,3660,21323,17.16
AmazeFileManager-3.4.2-#1837-rebuilt,01:19:49,646,3732,21323,17.5
AmazeFileManager-3.4.2-#1837-rebuilt,01:20:07,664,3732,21323,17.5
AmazeFileManager-3.4.2-#1837-rebuilt,01:20:23,680,3732,21323,17.5
AmazeFileManager-3.4.2-#1837-rebuilt,01:20:38,695,3732,21323,17.5
AmazeFileManager-3.4.2-#1837-rebuilt,01:20:51,708,3922,21323,18.39
AmazeFileManager-3.4.2-#1837-rebuilt,01:21:09,726,3922,21323,18.39
AmazeFileManager-3.4.2-#1837-rebuilt,01:21:21,738,3922,21323,18.39
AmazeFileManager-3.4.2-#1837-rebuilt,01:21:34,751,3922,21323,18.39
AmazeFileManager-3.4.2-#1837-rebuilt,01:21:46,763,3922,21323,18.39
AmazeFileManager-3.4.2-#1837-rebuilt,01:22:02,779,3922,21323,18.39
AmazeFileManager-3.4.2-#1837-rebuilt,01:22:13,790,3922,21323,18.39
AmazeFileManager-3.4.2-#1837-rebuilt,01:22:28,805,3934,21323,18.45
AmazeFileManager-3.4.2-#1837-rebuilt,01:22:42,819,3934,21323,18.45
AmazeFileManager-3.4.2-#1837-rebuilt,01:22:52,829,3934,21323,18.45
AmazeFileManager-3.4.2-#1837-rebuilt,01:23:09,846,3934,21323,18.45
AmazeFileManager-3.4.2-#1837-rebuilt,01:23:22,859,3934,21323,18.45
AmazeFileManager-3.4.2-#1837-rebuilt,01:23:34,871,4020,21323,18.85
AmazeFileManager-3.4.2-#1837-rebuilt,01:23:47,884,4020,21323,18.85
AmazeFileManager-3.4.2-#1837-rebuilt,01:23:59,896,4020,21323,18.85
AmazeFileManager-3.4.2-#1837-rebuilt,01:24:10,907,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:24:29,926,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:24:44,941,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:24:57,954,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:25:10,967,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:25:20,977,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:25:34,991,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:25:45,1002,4067,21323,19.07
AmazeFileManager-3.4.2-#1837-rebuilt,01:25:58,1015,4085,21323,19.16
AmazeFileManager-3.4.2-#1837-rebuilt,01:26:16,1033,4198,21323,19.69
AmazeFileManager-3.4.2-#1837-rebuilt,01:26:34,1051,4198,21323,19.69
AmazeFileManager-3.4.2-#1837-rebuilt,01:26:47,1064,4215,21323,19.77
AmazeFileManager-3.4.2-#1837-rebuilt,01:27:01,1078,4215,21323,19.77
AmazeFileManager-3.4.2-#1837-rebuilt,01:27:17,1094,4226,21323,19.82
AmazeFileManager-3.4.2-#1837-rebuilt,01:27:31,1108,4244,21323,19.9
AmazeFileManager-3.4.2-#1837-rebuilt,01:27:47,1124,4244,21323,19.9
AmazeFileManager-3.4.2-#1837-rebuilt,01:28:01,1138,4244,21323,19.9
AmazeFileManager-3.4.2-#1837-rebuilt,01:28:16,1153,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:28:31,1168,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:28:47,1184,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:29:05,1202,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:29:18,1215,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:29:37,1234,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:29:55,1252,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:30:12,1269,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:30:24,1281,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:30:45,1302,4249,21323,19.93
AmazeFileManager-3.4.2-#1837-rebuilt,01:31:01,1318,4249,21323,19.93
MaterialFBook4.0.2-debug-#224,03:05:49,0,345,1689,20.43
MaterialFBook4.0.2-debug-#224,03:08:22,153,345,1689,20.43
MaterialFBook4.0.2-debug-#224,03:08:45,176,345,1689,20.43
MaterialFBook4.0.2-debug-#224,03:09:05,196,361,1689,21.37
MaterialFBook4.0.2-debug-#224,03:09:30,221,361,1689,21.37
MaterialFBook4.0.2-debug-#224,03:09:56,247,363,1689,21.49
MaterialFBook4.0.2-debug-#224,03:21:10,921,363,1689,21.49
MaterialFBook4.0.2-debug-#224,03:21:24,935,363,1689,21.49
MaterialFBook4.0.2-debug-#224,03:21:32,943,363,1689,21.49
MaterialFBook4.0.2-debug-#224,03:21:42,953,363,1689,21.49
MaterialFBook4.0.2-debug-#224,03:21:54,965,363,1689,21.49
MaterialFBook4.0.2-debug-#224,03:22:33,1004,364,1689,21.55
MaterialFBook4.0.2-debug-#224,03:23:09,1040,364,1689,21.55
MaterialFBook4.0.2-debug-#224,03:23:49,1080,364,1689,21.55
MaterialFBook4.0.2-debug-#224,03:24:14,1105,369,1689,21.85
MaterialFBook4.0.2-debug-#224,03:24:38,1129,392,1689,23.21
MaterialFBook4.0.2-debug-#224,03:25:09,1160,392,1689,23.21
MaterialFBook4.0.2-debug-#224,03:25:20,1171,392,1689,23.21
MaterialFBook4.0.2-debug-#224,03:25:36,1187,392,1689,23.21
MaterialFBook4.0.2-debug-#224,03:25:58,1209,392,1689,23.21
MaterialFBook4.0.2-debug-#224,03:26:26,1237,392,1689,23.21
MaterialFBook4.0.2-debug-#224,03:27:00,1271,392,1689,23.21
MaterialFBook4.0.2-debug-#224,03:27:30,1301,395,1689,23.39
MaterialFBook4.0.2-debug-#224,03:27:58,1329,395,1689,23.39
MaterialFBook4.0.2-debug-#224,03:28:13,1344,395,1689,23.39
MaterialFBook4.0.2-debug-#224,03:28:38,1369,411,1689,24.33
geohashdroid-0.9.4-#73-rebuilt,02:35:37,0,969,5275,18.37
geohashdroid-0.9.4-#73-rebuilt,02:35:50,13,979,5275,18.56
geohashdroid-0.9.4-#73-rebuilt,02:51:37,960,1163,5275,22.05
geohashdroid-0.9.4-#73-rebuilt,02:52:38,1021,1163,5275,22.05
geohashdroid-0.9.4-#73-rebuilt,02:53:07,1050,1163,5275,22.05
geohashdroid-0.9.4-#73-rebuilt,02:53:16,1059,1163,5275,22.05
