[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Aegis-_v3.4.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-5aa8e587": Wed Sep 02 17:19:02 UTC 2026 - Wed Sep 02 17:19:24 UTC 2026
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
ba8960139812fa8c    4 of  33   com/beemdevelopment/aegis/util/IOUtils
a89428449028e0fd    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
883ce2c85f6c4d9d   14 of  30   androidx/constraintlayout/core/widgets/Optimizer
21f9acf438f5cdff    1 of   7   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal
8d49ac84b88bd94c    9 of   9   androidx/fragment/app/SpecialEffectsController$Companion
e16823019142f320   25 of 135   androidx/appcompat/app/AppCompatDelegate
da4a335e59b900a6  143 of 571   androidx/appcompat/widget/SearchView
32d050b14c77b618   11 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
df8440a03e9ca1a9    3 of   9   com/beemdevelopment/aegis/ui/AegisActivity_MembersInjector
87e1598c054cb33b   22 of  72   androidx/constraintlayout/core/SolverVariable
7fc4532fcadd9e2d   13 of  31   androidx/recyclerview/widget/ViewBoundsCheck
ad7ce2f2c77ea8ee    3 of   3   kotlin/random/FallbackThreadLocalRandom
abce6ad75082e1bb  101 of 825   com/beemdevelopment/aegis/ui/MainActivity
5ebac515522649aa   10 of  14   com/beemdevelopment/aegis/DaggerAegisApplication_HiltComponents_SingletonC$SingletonCImpl
66cd38b3a6489812    2 of  23   androidx/core/view/WindowInsetsCompat$Type
a928f137d069e850  113 of 296   androidx/activity/ComponentActivity
3223803585d9f7e8   17 of  33   androidx/cardview/widget/CardViewApi21Impl
7956cef735a2ea2f    1 of   2   androidx/fragment/app/FragmentManager$1
6c488464cf06cf07    5 of   6   com/beemdevelopment/aegis/ThemeMap
d0f7b920521ef3f8    4 of   4   androidx/activity/result/ActivityResultRegistry$generateRandomNumber$1
f543c75b31955bbf    1 of   5   androidx/core/os/TraceCompat$Api29Impl
fe96e92eb6ffb170   12 of  17   androidx/emoji2/viewsintegration/EmojiEditableFactory
a16d2aaebf315cc8   17 of 163   androidx/fragment/app/FragmentManagerViewModel
c191934aae80e418    2 of   4   com/google/android/material/shape/CornerTreatment
0cfe6c797cd8e41a    1 of  12   com/bumptech/glide/ListPreloader$PreloadTarget
7681a1a51513aa71    1 of   3   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider$2
7753917b19bb77c2   14 of  49   androidx/emoji2/viewsintegration/EmojiTextWatcher
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
f213dfb2f047c5b3    5 of  31   androidx/core/graphics/Insets
cc3aefeffc9ccf11   15 of  45   androidx/fragment/app/FragmentViewLifecycleOwner
a8f5e83ce270d2e0    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
e3cdd656f0f53d37   20 of 119   androidx/recyclerview/widget/ChildHelper
7308a53347322950    2 of   4   com/bumptech/glide/GlideExperiments
6f9e235a967d3ae7    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ElevateToPressedTranslationZAnimation
915ad0104ddc1cf4   10 of  11   com/beemdevelopment/aegis/Preferences$CodeGrouping
4a6b2f2c1564d847  135 of 816   androidx/recyclerview/widget/LinearLayoutManager
baada80980ff523e    8 of  30   com/bumptech/glide/load/engine/cache/MemorySizeCalculator$Builder
09d43cc6f251972e  124 of 293   androidx/constraintlayout/core/widgets/analyzer/BasicMeasure
ac8c2f441483f724    3 of  14   kotlinx/coroutines/SupervisorKt
73e1bf8225a761b5   28 of  72   com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior
0b8299794215289d    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
55eef45b6fde061e   12 of  61   androidx/recyclerview/widget/ChildHelper$Bucket
