[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AlarmClock-_3.15.04-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-f5fda9cd": Wed Sep 02 13:36:45 UTC 2026 - Wed Sep 02 13:37:07 UTC 2026
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
d14afec0e3ce4c47    1 of   2   androidx/fragment/R$styleable
17b1fc157093fb3e    5 of   5   com/better/alarm/background/AlertServicePusher
8d49ac84b88bd94c    9 of   9   androidx/fragment/app/SpecialEffectsController$Companion
c075961687683107    5 of  35   ch/qos/logback/core/helpers/CyclicBuffer
7adb1f3ca5c34029    5 of  22   io/reactivex/internal/operators/observable/ObservableWithLatestFrom$WithLatestFromObserver
ce86a715c76906f7    8 of  14   androidx/appcompat/widget/AppCompatEmojiTextHelper
2e78b3def76482cf   19 of 143   androidx/profileinstaller/DeviceProfileWriter
eca2833997c3a057   33 of 102   io/reactivex/internal/queue/SpscLinkedArrayQueue
f467fb33b5637a25    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$5
b104d4b0947f89df    1 of   1   kotlinx/coroutines/flow/internal/AbstractSharedFlowKt
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
5e8e5f20a956b8ef    3 of   6   io/reactivex/internal/operators/observable/ObservableCombineLatest$CombinerObserver
e1e1adccdcf838cc   24 of  57   ch/qos/logback/core/OutputStreamAppender
cffefe3eee280ff1    1 of   2   kotlinx/coroutines/internal/Removed
b22db48c4e3bc086    5 of  57   io/reactivex/observers/SerializedObserver
f324d35b9cb534d7    3 of   3   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key
a78f6442b6cc851f    3 of  29   kotlinx/serialization/internal/LinkedHashMapSerializer
2ca68c286d24bdb5   13 of  47   ch/qos/logback/classic/android/LogcatAppender
c2e9ab00d254c39d    2 of   3   io/reactivex/internal/functions/Functions$EmptyAction
2a6572d30bbfcb2b    1 of   3   kotlin/jvm/internal/Lambda
53e1c88966136559    2 of   6   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key$1
02e83dc5cc7c0373    1 of  28   com/better/alarm/model/AlarmCore$RescheduleTransition
2d3614215a9e7baa    2 of   2   io/reactivex/internal/operators/observable/ObservableDistinctUntilChanged
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
35f6d3aab6e0389b    4 of  72   kotlinx/coroutines/internal/ConcurrentLinkedListNode
8eff7ffded536478   16 of  70   io/reactivex/subjects/PublishSubject
f3924b7e7690c657    1 of   1   kotlinx/coroutines/flow/internal/AbstractSharedFlowSlot
7956cef735a2ea2f    1 of   2   androidx/fragment/app/FragmentManager$1
e1da2b3e92e6c82f    5 of  10   io/reactivex/internal/util/ArrayListSupplier
6f8dd48dc080cbae   18 of  70   ch/qos/logback/core/rolling/RollingFileAppender
c7c5d0044cddab33    3 of  73   androidx/core/util/Preconditions
05139d61cef476a9    8 of 194   androidx/core/app/NotificationManagerCompat
4eae41c555365a6c    2 of  34   org/acra/collector/StacktraceCollector
02051f18b0dfbdf1   13 of  28   io/reactivex/internal/operators/observable/ObservableTake$TakeObserver
bf826b17005a0cfb    2 of   3   androidx/core/widget/AutoSizeableTextView
e567ac62698cf0bd    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
7f43f79e16901e75   11 of  31   kotlinx/coroutines/internal/LockFreeTaskQueue
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
a16d2aaebf315cc8   17 of 163   androidx/fragment/app/FragmentManagerViewModel
56165e4605fc8596    1 of  83   com/google/android/material/bottomsheet/BottomSheetBehavior$4
dab5d7448e8cb346    8 of  13   androidx/datastore/core/SingleProcessDataStore$file$2
98dcc78727286033    2 of  11   androidx/core/view/WindowInsetsCompat$Impl30
c191934aae80e418    1 of   4   com/google/android/material/shape/CornerTreatment
96836307c25a2f9a    3 of  20   kotlin/collections/IndexedValue
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
5c5d58e935a2d95c    7 of  15   io/reactivex/internal/operators/single/SingleFromCallable
fd1b657ab9cf01e5    2 of   2   ch/qos/logback/core/util/CharSequenceState
415e7f9ace1fd090    2 of   7   kotlinx/coroutines/Unconfined
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
d036efa97c5b2b88    2 of  74   kotlinx/serialization/modules/SerialModuleImpl
f62eeb29f97a8c2c   33 of  62   androidx/appcompat/widget/TintTypedArray
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
54aa5fa58a0ea152    4 of  45   com/better/alarm/logger/Logger
a1fd696e25be6579    8 of   9   com/better/alarm/presenter/ListRowHighlighter$Companion
cc3aefeffc9ccf11   13 of  45   androidx/fragment/app/FragmentViewLifecycleOwner
5a74ac5a47615111   88 of 177   kotlinx/coroutines/EventLoopImplBase
1051e07fc98329cd   19 of  56   ch/qos/logback/core/rolling/helper/RollingCalendar
c26ba4146892468d   46 of 208   androidx/appcompat/widget/ActivityChooserModel
34a43fdac2f349ec    7 of  25   org/acra/builder/LastActivityManager
8318d2827a12c3e9    1 of   1   androidx/activity/result/ActivityResultRegistry$CallbackAndContract
e91f8619b4242b41    5 of   6   ch/qos/logback/classic/PatternLayout
66e26a87cda449a2    6 of   8   kotlinx/coroutines/JobNode
