[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AmazeFileManager-3.4.2-_1837-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-f75e8914": Wed Sep 02 13:37:08 UTC 2026 - Wed Sep 02 13:37:29 UTC 2026
1307281ef1288336    1 of   5   com/amaze/filemanager/adapters/data/LayoutElementParcelable$1
27035e6749608c0c    1 of  85   com/amaze/filemanager/database/CloudHandler
086b3194c2e59913    2 of  67   com/amaze/filemanager/utils/OTGUtil
0318480af414500d   11 of  20   com/amaze/filemanager/fragments/MainFragment$8
c7279defee8b404e    9 of  10   com/amaze/filemanager/database/UtilsHandler$Operation
d4cb89a747357954   15 of 533   com/amaze/filemanager/filesystem/HybridFile
570fb33acae4ecdf    3 of  38   com/amaze/filemanager/activities/superclasses/PermissionsActivity
1b5d5b1f48653d29    8 of  18   com/amaze/filemanager/filesystem/usb/SingletonUsbOtg
1344888639469b94    1 of   2   androidx/recyclerview/R$styleable
176609114f356c53    7 of   8   com/amaze/filemanager/utils/provider/UtilitiesProvider
2a6b993c8d755831    9 of  16   com/amaze/filemanager/database/UtilsHandler$1
6f0172689affb482   70 of 179   com/amaze/filemanager/fragments/TabFragment
011026b14896c522   71 of 219   com/amaze/filemanager/database/UtilsHandler
0cd919a611bf5cda  133 of 375   com/amaze/filemanager/ui/views/drawer/Drawer
0dcd798cfffd06a6    4 of  55   com/amaze/filemanager/database/SortHandler
acc10f0f92d19a04    8 of  30   com/amaze/filemanager/ui/views/drawer/CustomNavigationView
79b794f504b82fdb   10 of  17   com/amaze/filemanager/activities/MainActivity$4
ae06fc078c2f0d0c   30 of  54   com/amaze/filemanager/ui/icons/Icons
c3ee8d12c20551da   14 of  80   com/amaze/filemanager/adapters/data/LayoutElementParcelable
ccfe2a753f0f69a1    1 of   5   com/amaze/filemanager/filesystem/HybridFileParcelable$1
651c208d763e3a85    3 of   3   com/amaze/filemanager/utils/application/GlideApplication
cadbfb410e5c24ea    4 of   7   com/amaze/filemanager/JacocoInstrument/SMSInstrumentedReceiver
4dfc9920ce682c99    4 of   8   com/amaze/filemanager/ui/views/ThemedTextView
cdd70e91dbb2fedb    1 of   2   androidx/cardview/R$styleable
733bcac191f49721    9 of  39   com/amaze/filemanager/filesystem/CustomFileObserver
1648e8936e898764    2 of   2   com/bumptech/glide/GeneratedRequestManagerFactory
acdfc7e96fedf4ed    1 of   2   androidx/appcompat/R$styleable
f15561f8b6e18274   29 of  32   com/amaze/filemanager/ui/views/DividerItemDecoration
e44762906e51abc4    4 of   6   com/amaze/filemanager/fragments/TabFragment$ScreenSlidePagerAdapter
ce5e5d50e98771cd   17 of  98   com/amaze/filemanager/filesystem/compressed/CompressedHelper
9c122bee2c444efd   10 of  12   com/bumptech/glide/GeneratedAppGlideModuleImpl
b8ec43b0b7eff1f6    2 of  13   com/amaze/filemanager/ui/colors/UserColorPreferences
fb7146ac532819b3    6 of  52   com/amaze/filemanager/GlideRequests
22b44552634f6fee  202 of 893   com/amaze/filemanager/activities/MainActivity
6464ec74595a9202    5 of   5   com/amaze/filemanager/activities/superclasses/BasicActivity
0f3cbfa827488995    1 of  12   com/amaze/filemanager/ui/views/DisablableViewPager
6fe313965251a46e   13 of  15   com/amaze/filemanager/utils/OpenMode
737b47d93ebd6454   27 of  40   com/amaze/filemanager/database/TabHandler
bb47583ff732c307   15 of  15   com/amaze/filemanager/adapters/holders/ItemViewHolder
43e8e42ca82ee8bb   15 of 147   com/amaze/filemanager/activities/superclasses/ThemedActivity
8ec3e5da6f1d1355   10 of  18   com/amaze/filemanager/ui/views/appbar/BottomBar$7
4eb584bd1a6d4636    1 of  24   com/amaze/filemanager/ui/views/appbar/BottomBar$2
61ff1b37737307ef   16 of  24   com/amaze/filemanager/ui/views/appbar/AppBar
1ed189479f7e74bc    3 of  25   com/amaze/filemanager/adapters/data/IconDataParcelable
cfec2e22c694b70f    1 of   9   com/amaze/filemanager/utils/ScreenUtils
