class_id,class_name,probes_hit,probes_total,pct
5ba7974a31d1fdd7,com/ichi2/libanki/Models,190,686,27.7
7e864bca7adb02cd,com/ichi2/libanki/Collection,133,770,17.27
dcf57f66580e82e0,com/ichi2/libanki/Sched,112,1203,9.31
fd0e5d1661f04fd2,com/ichi2/anki/DeckPicker,98,598,16.39
669b33039e972b00,com/ichi2/anki/widgets/DeckAdapter,64,99,64.65
7a85d7b953d8167d,com/ichi2/libanki/Storage,57,227,25.11
cef2b5108a0cca4f,com/ichi2/libanki/Decks,57,420,13.57
00ccd82627b96182,com/ichi2/anki/BackupManager,44,138,31.88
4e9bffacd67d6cd2,com/ichi2/libanki/template/Template,41,115,35.65
fbb6dc5b607cb229,com/ichi2/libanki/DB,41,145,28.28
4e70b5a38c3b2fa6,com/ichi2/libanki/Utils,37,385,9.61
77c96285c4f9e0cb,com/ichi2/anki/AnkiDroidApp,32,101,31.68
f29035509a217796,com/ichi2/libanki/hooks/Hooks,30,69,43.48
2e38ee60dbe358ab,com/ichi2/anki/CollectionHelper,29,54,53.7
3bfb8a584dab6057,com/ichi2/anki/NavigationDrawerActivity,28,102,27.45
7ed485d54a6c16a3,com/ichi2/anki/stats/AnkiStatsTaskHandler$DeckPreviewStatistics,26,42,61.9
9dd60067c4a1c80b,com/ichi2/libanki/Media,25,412,6.07
6b970aebd872877b,com/ichi2/anki/provider/CardContentProvider,25,775,3.23
5a2ce3e850bd580e,com/ichi2/compat/CompatHelper,23,92,25.0
62ee2f345ba0b904,com/ichi2/async/DeckTask,21,553,3.8
a8153a1ae8b88333,com/ichi2/anki/DeckPicker$22,20,35,57.14
bea53fec61890eea,com/ichi2/anki/AnkiActivity,16,163,9.82
bbfc579780572808,com/ichi2/anki/IntentHandler,16,139,11.51
c302742a26453b7a,com/ichi2/ui/DividerItemDecoration,15,15,100.0
017c1cf6a58c41b5,com/ichi2/libanki/LaTeX,15,28,53.57
0ddd4ae326f53da9,com/ichi2/anki/BackupManager$1,15,17,88.24
8cfc81555d69c391,com/ichi2/compat/customtabs/CustomTabsHelper,14,54,25.93
0e83b9225a001f7a,com/ichi2/anki/JacocoInstrument/JacocoInstrumentation,12,53,22.64
f6bea9108c5a974e,com/ichi2/anki/widgets/DeckAdapter$ViewHolder,10,10,100.0
c6b22ce5802bb093,com/ichi2/libanki/Tags,8,166,4.82
0649e9d071806a61,com/ichi2/async/BaseAsyncTask,8,12,66.67
5373da7052756066,com/ichi2/libanki/hooks/FuriganaFilters,7,14,50.0
f173b7aa80b9d500,com/ichi2/anki/UIUtils,7,48,14.58
