[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AnyMemo-_10.12.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-674f7ea4": Wed Sep 02 13:38:18 UTC 2026 - Wed Sep 02 13:38:40 UTC 2026
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
217010184f1e5e72   19 of  64   org/liberty/android/fantastischmemo/common/BaseActivity
883ce2c85f6c4d9d   13 of  30   androidx/constraintlayout/core/widgets/Optimizer
a89428449028e0fd    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
adcfbe035fb9cc7d    2 of   5   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesMnemosyne2CardsExporterFactory
e16823019142f320   21 of 135   androidx/appcompat/app/AppCompatDelegate
4a0c676d47d572a4    3 of  10   com/j256/ormlite/field/types/CharType
0cafa113a3d9ae76    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
4b8538cb6e535d04    2 of   5   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesMnemosyne2CardsImporterFactory
87e1598c054cb33b    7 of  72   androidx/constraintlayout/core/SolverVariable
8ff58a434dd5087f   13 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
5cf24abe4ab974e8    1 of   3   androidx/core/content/res/ResourcesCompat$Api23Impl
54a7a803655271d4   20 of  22   org/liberty/android/fantastischmemo/utils/NotificationChannelUtil
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
25820e27fa1cb99a    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
281fb60540a68e91    1 of   7   org/liberty/android/fantastischmemo/databinding/MainTabsBinding
3bac46fc8b568637    3 of   3   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuSeparatorItem
50e920d3335bfb53    1 of   6   com/google/android/material/focus/FocusRingDrawable$1
a2da2b2e9ed56712    3 of   3   org/liberty/android/fantastischmemo/modules/DaggerAppComponents$AppComponentsImpl$1
30b930a631037929    3 of  20   org/liberty/android/fantastischmemo/utils/AMPrefUtil
a57a5087d508c0c3    3 of   4   org/liberty/android/fantastischmemo/common/AnyMemoDBOpenHelperManager$1
a16d2aaebf315cc8   17 of 163   androidx/fragment/app/FragmentManagerViewModel
12f71a26c766378a   10 of  24   com/j256/ormlite/field/types/DateStringType
325a399a0520c6de    2 of  14   org/liberty/android/fantastischmemo/provider/DatabasesProvider
6110a45eb6f6ebfb   54 of  85   com/google/android/material/floatingactionbutton/BorderDrawable
ac7115ba1f329eba    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NormalViewHolder
10a1f489db88ffe7    2 of 279   androidx/fragment/app/DefaultSpecialEffectsController
6de897f1c015c244   14 of  51   com/google/android/material/internal/ScrimInsetsFrameLayout
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
1dcbb470fcdaad2a   11 of  24   kotlin/sequences/GeneratorSequence$iterator$1
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
6c5def84b84c1bd9    1 of  21   org/liberty/android/fantastischmemo/utils/DatabaseImportUtil
39ca3b0ddfc9e543   18 of  30   org/liberty/android/fantastischmemo/ui/RecentListFragment$RecentListAdapter
c6b248620a2704b9    5 of   9   com/j256/ormlite/field/types/BooleanObjectType
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
f213dfb2f047c5b3    6 of  31   androidx/core/graphics/Insets
0b0a955800a776ad    9 of  24   org/apache/commons/logging/impl/WeakHashtable$Referenced
a8f5e83ce270d2e0    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
ab69d291e0b93920   80 of 486   androidx/databinding/ViewDataBinding
df4b1c30a17a9a68   74 of 141   org/liberty/android/fantastischmemo/ui/AnyMemo
09d43cc6f251972e  114 of 293   androidx/constraintlayout/core/widgets/analyzer/BasicMeasure
e192076980b92636    2 of  39   androidx/activity/ComponentActivity$activityResultRegistry$1
0b7a843a3076b741    7 of 119   androidx/appcompat/widget/ForwardingListener
0c07e53a0b7e623b    1 of   2   androidx/appcompat/widget/TooltipCompat$Api26Impl
549f85584cd94562    8 of  19   androidx/core/util/Pools$SimplePool
23e122405ca1657d    1 of   2   org/liberty/android/fantastischmemo/ui/RecentListFragment$1
764bb42d0382b19b    3 of  15   com/google/android/material/shape/RelativeCornerSize
bd73ea8958fee785   15 of  56   androidx/fragment/app/SpecialEffectsController$Operation$State
4086d8c8ca51c29e    1 of   5   androidx/profileinstaller/ProfileVerifier$CompilationStatus
e3084bf529e2919a    1 of   3   kotlin/jvm/internal/Lambda
bef6c048a9df67e9   14 of  31   androidx/recyclerview/widget/ViewBoundsCheck
7f7dc1c1f4305a06    5 of   6   androidx/drawerlayout/widget/DrawerLayout$2
d854abda9e200522   39 of  83   com/google/android/material/internal/ForegroundLinearLayout
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
4e10ecad8171e342    2 of   8   org/liberty/android/fantastischmemo/utils/DatabaseOperationDialogUtil
d48599621075951d   59 of 282   androidx/appcompat/widget/ActionMenuPresenter
b04a2e69aa17d4a4    1 of   3   androidx/collection/ArraySet$ElementIterator
8d46d4703943f0e6    3 of   4   com/j256/ormlite/db/SqliteAndroidDatabaseType$1
0604891e8520caae    7 of  26   androidx/lifecycle/Lifecycle$Event$Companion
48a5d8ebf4fd9427    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
dfc15f73fc9db4b8    5 of   7   com/j256/ormlite/stmt/query/SimpleComparison
34c1582188f9a481    2 of   2   androidx/databinding/DataBinderMapperImpl
62a1ade9dfe8c038    4 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
826905b6fc7aab3c    2 of   5   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesCSVImporterFactory
a47c4ae0e28e048e    1 of   2   androidx/customview/widget/ViewDragHelper$2
594c5ebdc318fc74    8 of  18   org/liberty/android/fantastischmemo/utils/RecentListActionModeUtil
b3621d625746c9d8    5 of   5   org/liberty/android/fantastischmemo/utils/AMPrefUtil_Factory
02754ce560470e48   12 of  13   androidx/lifecycle/Lifecycle$State
d7590d8926685427    3 of  24   com/j256/ormlite/field/types/ByteArrayType
28e2e60e98dd7692  220 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
d553c1d4d3d2a7f1    8 of 122   androidx/transition/ChangeBounds
7b143e06c46ce9d6    2 of   7   org/liberty/android/fantastischmemo/common/AMApplication_MembersInjector
74f0c89b7522a1e1   24 of  51   androidx/appcompat/view/ContextThemeWrapper
3e0fac7488b6b267    7 of  20   org/liberty/android/fantastischmemo/ui/helper/SelectableAdapter
f59b268f2183023d    3 of   4   androidx/fragment/app/FragmentStateManager$1
0dba25ca634b7390    1 of  24   org/apache/commons/logging/impl/Slf4jLogFactory
6ac6d91a9b9390fa    3 of   7   com/j256/ormlite/field/BaseFieldConverter
25847fc757bd1549    1 of  11   org/liberty/android/fantastischmemo/utils/RecentListActionModeUtil$2
d5f2c85934776967    1 of   5   androidx/core/view/GravityCompat
f44118b3292f5d1d   80 of 244   com/google/android/material/floatingactionbutton/FloatingActionButton
ed46ecdeb3c0529d    2 of   5   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesOkHttpClientFactory
474895bf1f344d06    6 of  59   androidx/core/app/ComponentActivity
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
464c447cbbe4811e    3 of 101   androidx/core/view/NestedScrollingChildHelper
27b4ab5d171df338   31 of 264   androidx/collection/SimpleArrayMap
499cc6512c27b324    5 of  22   kotlin/internal/jdk8/JDK8PlatformImplementations
3214901d7021f2f0    5 of   5   org/liberty/android/fantastischmemo/entity/Option_Factory
7cbbf7690cac97a6    1 of   5   androidx/transition/ChangeBounds$1
05998c8b306c01a2    2 of   5   org/liberty/android/fantastischmemo/downloader/oauth/Oauth2TokenUtil_Factory
4b357264facd2342    6 of  11   com/j256/ormlite/dao/DaoManager$ClassConnectionSource
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
f496717d9c12111b  107 of 372   androidx/fragment/app/SpecialEffectsController
4295ae9e85896166    5 of   5   androidx/activity/ComponentActivity$4
d42384f41bb5bb85    6 of  18   androidx/loader/content/AsyncTaskLoader$LoadTask
7a2031bbf062bb13    9 of  95   androidx/lifecycle/Lifecycling
f482b47997466f52   24 of  66   com/j256/ormlite/table/TableInfo
189d1e841728c1de   40 of 318   androidx/appcompat/widget/ActionMenuView
c9808c291132046b    5 of   5   androidx/transition/TransitionValuesMaps
ea280728ff40eab4    6 of  21   com/google/android/material/motion/MaterialBackOrchestrator
0347239d1189e1a4    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
3ebbaca5cfb81d5e    5 of  10   com/j256/ormlite/logger/LocalLogBackend$LocalLogBackendFactory
c9eec7d428defe1e    6 of  10   androidx/fragment/app/FragmentStateManager$2
94207a3c8f190804   11 of  28   com/google/android/material/navigation/NavigationBarPresenter
24883a6e7ce9b30c    1 of   3   androidx/databinding/ViewDataBinding$1
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
24e51047f8f2dd55    2 of  72   com/google/android/material/internal/EdgeToEdgeUtils
9a299f2999d9f5d1   51 of 793   androidx/core/view/ViewCompat
964f9c15c6116547   37 of 149   com/j256/ormlite/dao/DaoManager
b93a897dacbff5f7    5 of 133   androidx/transition/TransitionManager
