class_id,class_name,probes_hit,probes_total,pct
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,349,2094,16.67
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,339,938,36.14
7d19424539028822,com/google/android/material/navigation/NavigationBarItemView,317,562,56.41
203eee2eb265014a,androidx/fragment/app/FragmentManager,311,1442,21.57
8db12c2cb5c065d8,androidx/constraintlayout/core/widgets/ConstraintWidget,236,1652,14.29
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,220,1298,16.95
da9c297a5681dc7a,androidx/constraintlayout/widget/ConstraintLayout,202,610,33.11
31a4512e663242bb,com/google/android/material/navigation/NavigationBarMenuView,191,638,29.94
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,184,629,29.25
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,180,825,21.82
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,180,794,22.67
fc107636aba4dcff,com/google/android/material/shape/MaterialShapeDrawable,179,570,31.4
a1224dfca5f3d479,androidx/fragment/app/Fragment,168,756,22.22
cda93d66f599b117,com/google/android/material/navigation/NavigationView,161,337,47.77
131c1fa296f4063d,androidx/constraintlayout/core/widgets/analyzer/Direct,147,669,21.97
5f5065e6d0a888cc,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,146,464,31.47
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,123,530,23.21
09d43cc6f251972e,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,114,293,38.91
89a49a35bc2301c1,com/google/android/material/navigation/NavigationBarView,114,260,43.85
7fab3bdaf5d38bdc,com/google/android/material/shape/ShapeAppearancePathProvider,110,133,82.71
ec412d971dd622eb,com/google/android/material/floatingactionbutton/FloatingActionButtonImpl,109,361,30.19
f496717d9c12111b,androidx/fragment/app/SpecialEffectsController,107,372,28.76
74067032a7981ce9,androidx/recyclerview/widget/RecyclerView$LayoutManager,103,631,16.32
09636526383135d6,androidx/fragment/app/FragmentStateManager,100,465,21.51
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,100,483,20.7
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,100,380,26.32
eb03522e3b18dbce,com/google/android/material/shape/ShapeAppearanceModel,88,135,65.19
8efce3a0d7f81c68,androidx/activity/ComponentActivity,88,296,29.73
38e718ca526efe0e,org/apache/commons/logging/LogFactory,87,439,19.82
dfa680c75dc8c5ac,com/j256/ormlite/field/FieldType,86,495,17.37
4614f301c96a3f2a,androidx/recyclerview/widget/RecyclerView$Recycler,85,533,15.95
ab69d291e0b93920,androidx/databinding/ViewDataBinding,80,486,16.46
f44118b3292f5d1d,com/google/android/material/floatingactionbutton/FloatingActionButton,80,244,32.79
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,80,292,27.4
31364c3809ac05e6,org/apache/commons/logging/impl/LogFactoryImpl,78,370,21.08
21012f793c3e8420,com/google/android/material/shape/ShapeAppearanceModel$Builder,78,121,64.46
9eb64b265d018ff5,androidx/lifecycle/LifecycleRegistry,77,144,53.47
7bd67990143fd9ff,com/j256/ormlite/stmt/QueryBuilder,77,333,23.12
df4b1c30a17a9a68,org/liberty/android/fantastischmemo/ui/AnyMemo,74,141,52.48
1b173fe425d0d267,com/google/android/material/internal/NavigationMenuPresenter,74,160,46.25
fdb8af9db730e999,com/google/android/material/internal/NavigationMenuItemView,73,124,58.87
14e7636e8073655e,androidx/constraintlayout/widget/ConstraintLayout$Measurer,71,209,33.97
c97cd5c9d0ae1588,com/j256/ormlite/field/DatabaseFieldConfig,69,221,31.22
ad09c54276c1f843,com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuAdapter,69,230,30.0
b389eab307bd77a9,androidx/appcompat/view/SupportMenuInflater$MenuState,63,111,56.76
2db0cc64e927b6b5,com/google/android/material/shape/ShapePath,61,113,53.98
0212cdc9c27ed8a2,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,59,282,20.92
4ef73a83e90324e9,com/google/android/material/bottomnavigation/BottomNavigationMenuView,58,98,59.18
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
3cf18de831182b5d,androidx/appcompat/widget/ResourceManagerInternal,57,216,26.39
f47373adc19052f0,androidx/appcompat/widget/ToolbarWidgetWrapper,57,260,21.92
6110a45eb6f6ebfb,com/google/android/material/floatingactionbutton/BorderDrawable,54,85,63.53
1112ee2f1cc64706,androidx/fragment/app/FragmentStore,54,222,24.32
ad072f68e58dd023,androidx/core/content/res/ColorStateListInflaterCompat,52,96,54.17
9a299f2999d9f5d1,androidx/core/view/ViewCompat,51,793,6.43
1ef7f6de917c0a2e,androidx/appcompat/widget/AppCompatTextView,51,258,19.77
1c04780f270e522f,org/liberty/android/fantastischmemo/ui/RecentListFragment,50,81,61.73
224d020298aec18f,androidx/collection/ArraySet,49,239,20.5
2ad91fed90c9c070,androidx/core/content/res/ResourcesCompat,49,138,35.51
a0ab5316d1bac995,androidx/emoji2/text/EmojiCompat,48,165,29.09
c8e1f4ba7b591481,androidx/constraintlayout/core/LinearSystem,47,510,9.22
98beb948dccd3127,org/apache/commons/io/FilenameUtils,47,398,11.81
d170a271a4cac931,com/j256/ormlite/field/DataType,45,46,97.83
4a5fc5dff879e46b,androidx/appcompat/app/AppCompatViewInflater,44,169,26.04
189d1e841728c1de,androidx/appcompat/widget/ActionMenuView,40,318,12.58
551be90d18b8f52a,com/j256/ormlite/dao/BaseDaoImpl,40,418,9.57
d854abda9e200522,com/google/android/material/internal/ForegroundLinearLayout,39,83,46.99
62ffacacac901d51,com/google/android/material/internal/BaselineLayout,38,51,74.51
571c4d1fc1724cea,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,38,227,16.74
964f9c15c6116547,com/j256/ormlite/dao/DaoManager,37,149,24.83
42bcf7d8f6e98fab,androidx/fragment/app/BackStackRecord,37,306,12.09
1ad90daff12c495a,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,37,190,19.47
a5111e6520d6348a,org/liberty/android/fantastischmemo/modules/DaggerAppComponents$AppComponentsImpl,37,49,75.51
6e2ac7470569625c,androidx/appcompat/view/SupportMenuInflater,36,75,48.0
5a5b543b85f4a0e1,androidx/recyclerview/widget/AdapterHelper,35,261,13.41
a76a050e17370e8b,androidx/appcompat/widget/AppCompatImageHelper,35,99,35.35
54b8e061f4911ecb,androidx/appcompat/app/AppCompatActivity,35,142,24.65
39f3dcaf33e5b5da,org/liberty/android/fantastischmemo/common/AnyMemoDBOpenHelperManager,34,60,56.67
ae268dc3c73b0d4f,androidx/lifecycle/LiveData,33,98,33.67
5f7021cf5cec890a,androidx/appcompat/widget/TintTypedArray,33,62,53.23
