[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/CPU-Info-_android6.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-30ce1f7e": Wed Sep 02 13:39:32 UTC 2026 - Wed Sep 02 13:39:53 UTC 2026
f67939b2322e9de5   23 of  26   androidx/compose/material3/MotionScheme$StandardMotionSchemeImpl
52f90eae0c747023    5 of  24   androidx/compose/ui/text/ParagraphIntrinsicInfo
73c2134c02d72251    3 of  36   androidx/compose/ui/text/platform/extensions/PlaceholderExtensions_androidKt
60e0624492367099    3 of   4   androidx/compose/animation/ExitTransition$Companion
b9fb5b0959b1bb4d    2 of  29   androidx/core/view/WindowInsetsAnimationCompat$Impl30$ProxyCallback
fccef1e4c879e543   12 of  25   androidx/compose/ui/text/style/BaselineShift
2d73a971ed5b0949    1 of   3   androidx/compose/foundation/text/selection/SelectionManager$onClearSelectionRequested$1
5c8977a728fc63c3    2 of  31   kotlin/jvm/internal/CallableReference
3ab06f7abb160ecd    8 of  22   androidx/compose/animation/core/ArcMode
8462cc2ae3432b1f    6 of  10   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$2
99e273fe7855725f    5 of  81   com/kgurgul/cpuinfo/data/provider/ApplicationsDataProvider
64da9a9b264e1815    8 of  33   kotlin/ranges/IntProgression
8120e8a3b8111188    2 of   2   androidx/compose/runtime/CancelledCoroutineContext$Key
c06f4f82122b7ddd    2 of  21   androidx/compose/ui/platform/AndroidComposeView$resendMotionEventRunnable$1
f63edd4a19305258   23 of  36   com/kgurgul/cpuinfo/utils/UtilsModuleKt
9c47b943d7ef72f4    3 of  17   androidx/compose/runtime/ComputedValueHolder
684c2a79904df258    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
42110e63648e88dc    2 of  12   androidx/compose/ui/node/ModifierNodeElement
977a3e1eebac02e8   89 of 246   androidx/compose/ui/text/SpanStyleKt
6097b68268c1def4    3 of   3   androidx/compose/ui/text/intl/Locale$Companion
661f7e337937613a    6 of  87   kotlinx/serialization/descriptors/SerialDescriptorsKt
3ba48aed5265c30e    2 of   3   androidx/navigationevent/NavigationEventTransitionState$Idle
9812c156395a8038    9 of  24   androidx/compose/foundation/lazy/LazyLayoutSemanticStateKt$LazyLayoutSemanticState$1
3c5420875ed54221    2 of   2   androidx/compose/foundation/gestures/snapping/SnapPositionKt
24cf6a66d321bda1    4 of   4   androidx/core/splashscreen/SplashScreen$Impl31$setKeepOnScreenCondition$1
ead14c389f31f9f7    3 of   3   androidx/compose/runtime/DerivedSnapshotState$ResultRecord$Companion
ab3a14c16be8b43c    1 of   5   androidx/compose/ui/layout/ContentScale$Companion$Crop$1
c2bea5a8068f01a9    2 of   2   kotlinx/coroutines/scheduling/Task
1268d884ad51478d    1 of  16   androidx/core/view/WindowInsetsCompat$Impl29
