class_id,class_name,probes_hit,probes_total,pct
301b1f8a760f2843,androidx/compose/runtime/ComposerImpl,984,1757,56.0
37e7b0992b9cfd82,androidx/compose/runtime/SlotWriter,656,1249,52.52
5431e7c662b3c7db,androidx/compose/ui/node/LayoutNode,529,1218,43.43
3176048f1bbd8283,androidx/compose/runtime/CompositionImpl,461,1213,38.0
97ce3b8d053ba1c9,androidx/compose/ui/platform/AndroidComposeView,454,1934,23.47
f7eeb1086a19914c,androidx/compose/ui/node/NodeCoordinator,442,1272,34.75
388f7bdbeb6d2635,androidx/compose/material3/adaptive/navigationsuite/NavigationSuiteScaffoldKt,387,1161,33.33
0e8424ed78ef98fc,androidx/compose/runtime/Recomposer,364,1038,35.07
a44c0b5becd052de,androidx/compose/material3/NavigationItemKt,356,1024,34.77
200ee90c3a7f235f,kotlinx/coroutines/JobSupport,344,790,43.54
d3b14d6d5c261d71,androidx/compose/ui/node/MeasurePassDelegate,332,551,60.25
f8343433a7ee4c32,androidx/navigation/internal/NavControllerImpl,330,1470,22.45
4c99dcaa06ce79f6,androidx/navigation/compose/NavHostKt,310,1155,26.84
1107e7feed9890a8,androidx/compose/material3/AppBarKt,304,2475,12.28
f62d6dc5e5f0e499,androidx/compose/material3/tokens/TypeScaleTokens,304,304,100.0
10f169cc67d1654f,com/kgurgul/cpuinfo/features/information/InfoContainerScreenKt,283,357,79.27
25d3aed2017f6204,kotlinx/coroutines/channels/BufferedChannel,270,1770,15.25
ca72b658dabc14b0,androidx/compose/runtime/snapshots/SnapshotKt,269,450,59.78
9d7d3fc49796081f,androidx/compose/ui/spatial/RectManager,236,435,54.25
9dcba29b3b2e2ffe,androidx/compose/material3/tokens/TypographyTokens,225,242,92.98
d731172e7564bfe0,androidx/compose/material3/ScaffoldKt,221,349,63.32
8c0d3f58dd8cee73,androidx/compose/ui/node/MeasureAndLayoutDelegate,217,631,34.39
7ea04a091b78aa03,androidx/compose/material3/TabKt,217,476,45.59
8ba42f72080edee2,androidx/compose/animation/AnimatedVisibilityKt,209,658,31.76
1e706ee0f394e80e,androidx/compose/ui/text/TextStyle,198,1398,14.16
92a0e02f3f2edf06,androidx/compose/animation/core/TransitionKt,188,980,19.18
c2ed10e4f478bde0,androidx/compose/ui/graphics/layer/GraphicsLayer,186,508,36.61
7f9fc5b275c6b8b7,androidx/compose/material3/ColorSchemeKt,179,819,21.86
33cde1970a65c4c6,androidx/compose/material3/pulltorefresh/PullToRefreshDefaults,178,287,62.02
91036bfcc1dd7ae9,androidx/compose/ui/node/NodeKindKt,175,244,71.72
1d49eef4f37deb2e,androidx/compose/animation/core/Transition,174,366,47.54
ceb8f937f8f7dbb1,androidx/compose/runtime/snapshots/SnapshotStateObserver$ObservedScopeMap,171,502,34.06
b19345f90f6683bb,androidx/compose/animation/EnterExitTransitionKt,171,530,32.26
acc280fb3dc8a9d4,com/kgurgul/cpuinfo/features/HostScreenKt,167,255,65.49
85a26d8b45c213f7,com/kgurgul/cpuinfo/data/DataModuleKt,165,173,95.38
c868c758549cfee0,androidx/compose/material3/DynamicTonalPaletteKt,164,308,53.25
b7ca019649d250e0,com/kgurgul/cpuinfo/shared/String0_commonMainKt,162,1121,14.45
6a62cc24dc83d56c,androidx/compose/material3/pulltorefresh/PullToRefreshKt,162,284,57.04
66c1af7468c8e417,com/kgurgul/cpuinfo/ui/theme/ColorKt,158,162,97.53
7d761378637cfc72,com/kgurgul/cpuinfo/domain/DomainModuleKt,157,157,100.0
65abdbeeefe5d757,kotlinx/coroutines/flow/SharedFlowImpl,156,363,42.98
5fe1187d00949821,androidx/compose/runtime/RecomposeScopeImpl,151,247,61.13
62724709f64de051,androidx/compose/runtime/SlotReader,149,245,60.82
e0ae8359e50af8d1,androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableMap/TrieNode,149,469,31.77
8921ec5a74338726,androidx/compose/foundation/pager/LazyLayoutPagerKt,147,222,66.22
83395dbcd38f6d75,androidx/compose/runtime/Recomposer$runRecomposeAndApplyChanges$2,145,300,48.33
d406b311f323c78c,androidx/compose/material3/tokens/PaletteTokens,143,184,77.72
a46335736c66a56b,com/kgurgul/cpuinfo/shared/String1_commonMainKt,140,1128,12.41
11bae480ca428370,androidx/compose/ui/node/NodeChain,139,580,23.97
a5dd2bcaf00ccccc,com/kgurgul/cpuinfo/di/ViewModelModuleKt,138,138,100.0
40194314b63a52a2,androidx/compose/foundation/lazy/LazyListMeasureKt,137,336,40.77
6edcce22d090bb10,com/kgurgul/cpuinfo/di/AndroidModuleKt,137,187,73.26
dc1f5a01334f935b,androidx/compose/material3/DefaultSingleRowTopAppBarOverride,133,187,71.12
64977303f2f15375,androidx/compose/animation/CrossfadeKt,133,222,59.91
12d2a73bba0ca0d8,androidx/compose/ui/platform/AndroidCompositionLocals_androidKt,132,173,76.3
d393c69d21d9c5a0,kotlinx/coroutines/CancellableContinuationImpl,132,382,34.55
11c8d0009b8c4538,androidx/compose/ui/graphics/drawscope/CanvasDrawScope,132,274,48.18
e31b15bedf2addc0,androidx/compose/runtime/snapshots/MutableSnapshot,131,427,30.68
486ec86c8b83dafc,androidx/compose/runtime/changelist/ComposerChangeListWriter,129,202,63.86
b857bfd0d80ec29e,androidx/compose/material3/TabRowKt$ScrollableTabRowImpl$1,129,141,91.49
0764961474579105,androidx/compose/material3/ProgressIndicatorKt,126,1301,9.68
c7374d8ea1f557d5,androidx/compose/ui/graphics/vector/PathParserKt,126,156,80.77
7018bcb984430f90,androidx/compose/animation/AnimatedContentKt,125,272,45.96
b9d7b4dad89ba6ca,androidx/compose/runtime/changelist/ChangeList,125,214,58.41
1d3bad77497d9d00,androidx/compose/runtime/snapshots/SnapshotStateObserver,124,225,55.11
01aed9b79baece31,androidx/compose/ui/node/DelegatingNode,124,199,62.31
4c8ce8f193976984,androidx/compose/foundation/pager/PagerMeasureKt,123,338,36.39
782fa8f44b36aa60,androidx/compose/ui/platform/GraphicsLayerOwnerLayer,122,247,49.39
e4144f25d9e24be2,androidx/compose/foundation/text/selection/SelectionContainerKt,118,256,46.09
0ef19bf50ad7cdf2,com/kgurgul/cpuinfo/ui/theme/ThemeKt,117,149,78.52
00df451686d9b7a7,androidx/collection/MutableScatterSet,117,393,29.77
d29f3cd34ed2695a,androidx/compose/ui/draw/PainterNode,114,202,56.44
a04ba5d474ef38bf,androidx/compose/animation/CrossfadeKt$Crossfade$5$1,114,135,84.44
97b73e7af94d3ef9,androidx/compose/foundation/layout/WindowInsetsHolder,114,161,70.81
ebca02d6a71b17f1,androidx/compose/foundation/lazy/LazyListKt,112,238,47.06
0602d5efc2ffee2c,com/kgurgul/cpuinfo/shared/String2_commonMainKt,112,537,20.86
3a5e5ca4004260ba,androidx/compose/ui/layout/LayoutNodeSubcompositionsState,111,542,20.48
8d1c87103126726e,androidx/compose/runtime/snapshots/SnapshotStateList,111,278,39.93
4b843c60d1061b07,androidx/compose/material3/internal/colorUtil/HctSolver,110,135,81.48
e7dd51096377f6b0,androidx/compose/ui/graphics/ReusableGraphicsLayerScope,109,139,78.42
88c89a42a4278ed1,androidx/compose/runtime/EffectsKt,107,194,55.15
7ec596a9512ea9b4,androidx/compose/material3/TextKt,100,1012,9.88
5e24be7f9b16ef89,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,100,195,51.28
742ac5131a3e14fe,kotlinx/coroutines/scheduling/CoroutineScheduler,99,306,32.35
64b49aa3ba9c0cfd,androidx/compose/foundation/text/BasicTextKt,97,1067,9.09
a7834095ee04fdc7,androidx/compose/material3/ShortNavigationBarKt,94,195,48.21
b5b1eb96a23fcaaa,kotlinx/coroutines/EventLoopImplBase,94,191,49.21
4cdb337ac3a141f2,androidx/compose/animation/core/AnimateAsStateKt,94,388,24.23
755d4860ee0f9993,androidx/compose/runtime/DerivedSnapshotState,93,134,69.4
a0db5e5799b9b275,androidx/compose/ui/graphics/ColorKt,93,234,39.74
cf7504484b5a3b90,androidx/compose/runtime/snapshots/SnapshotIdSet,91,332,27.41
2ce95db15c0cac83,androidx/compose/ui/text/android/TextLayout,90,349,25.79
38c16f4438cf268e,com/kgurgul/cpuinfo/ui/components/TopAppBarViewKt,90,332,27.11
977a3e1eebac02e8,androidx/compose/ui/text/SpanStyleKt,89,246,36.18
2772e48acf2261b2,androidx/compose/ui/spatial/RectList,89,324,27.47
111da97f22dc2d11,androidx/compose/foundation/text/contextmenu/internal/PlatformDefaultTextContextMenuProviders_androidKt,89,171,52.05
27262b4ab93b7383,androidx/compose/foundation/text/modifiers/TextStringSimpleNode,88,197,44.67
5862a5d13e7921df,kotlin/collections/ArrayDeque,87,381,22.83
556750710555b04c,androidx/collection/MutableScatterMap,87,264,32.95
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,86,140,61.43
c001fd864abcda2b,androidx/compose/runtime/ComposerImplKt,85,159,53.46
009dc0909d98d0ac,androidx/compose/ui/graphics/vector/PathNodeKt,85,113,75.22
ab5847472d407090,androidx/compose/animation/core/Transition$TransitionAnimationState,84,190,44.21
f3c8aadf36e04c78,androidx/compose/foundation/pager/PagerState,83,445,18.65
dd7c4b33dafa2872,androidx/compose/runtime/internal/RememberEventDispatcher,83,189,43.92
4698b03b4f12a759,androidx/activity/ComponentActivity,83,339,24.48
7b5f30e1f17161cd,androidx/compose/foundation/text/modifiers/TextAnnotatedStringNode,82,297,27.61
66a9e5f4a66e79f9,androidx/activity/compose/PredictiveBackHandlerKt,82,137,59.85
98d21316c28f8294,com/kgurgul/cpuinfo/features/information/cpu/CpuInfoScreenKt,81,173,46.82
86bb61ec6b3b962f,androidx/compose/material3/ColorScheme,81,515,15.73
babb78e0746e72d4,androidx/compose/material3/tokens/ShapeTokens,80,87,91.95
311838c526c1bcdd,androidx/compose/ui/layout/InsetsListener,79,192,41.15
329b360ad6be4681,androidx/compose/ui/unit/ConstraintsKt,79,136,58.09
ba3ee4fae151eaa3,androidx/compose/ui/graphics/layer/GraphicsLayerV29,79,167,47.31
c5903b2657e7cf9a,androidx/compose/ui/node/LookaheadCapablePlaceable,78,294,26.53
9ee6e419a7fd1607,androidx/compose/ui/graphics/Color,77,129,59.69
cf20109111ce377e,androidx/compose/ui/semantics/SemanticsProperties,77,88,87.5
ea1e16aa109e2b3c,androidx/compose/ui/text/AndroidParagraph,76,282,26.95
cb37dee469986231,androidx/navigation/internal/NavGraphImpl,76,245,31.02
a0febdd81c278695,androidx/navigation/compose/DialogHostKt,75,140,53.57
b5081c64c1be8635,kotlin/collections/CollectionsKt___CollectionsKt,75,1800,4.17
f0a5d5237a49ea38,androidx/compose/ui/layout/SubcomposeLayoutKt,75,99,75.76
de7a4dc77ea822aa,androidx/compose/foundation/lazy/layout/LazyLayoutKt,74,128,57.81
713b8f1ff6bd0d4d,androidx/datastore/core/DataStoreImpl,73,281,25.98
a6298959c79c7fbf,com/kgurgul/cpuinfo/HostActivity,73,98,74.49
c3af01a6fde44be5,androidx/compose/runtime/DerivedSnapshotState$ResultRecord,72,90,80.0
33c264d5e1b117a6,androidx/compose/foundation/text/selection/SelectionManager,70,729,9.6
bf1c6fdac31a3409,androidx/collection/MutableObjectIntMap,70,186,37.63
656a8e485c595d61,androidx/compose/runtime/snapshots/Snapshot$Companion,70,265,26.42
58c4e02eeb7b64c6,androidx/compose/ui/platform/CompositionLocalsKt,70,105,66.67
a86e63f3fbbaf2c0,androidx/compose/runtime/saveable/SaveableStateHolderImpl,69,113,61.06
1e9969d468b5380d,androidx/compose/ui/graphics/Matrix,69,192,35.94
c1e0fae8e7a3f2c7,androidx/compose/foundation/layout/BoxKt,69,146,47.26
1941b3bf2d1d9086,androidx/compose/ui/node/LayoutNodeDrawScope,69,161,42.86
fa7d121ec8d3fe45,androidx/compose/animation/core/SuspendAnimationKt,69,162,42.59
2c0da0304a7bc7a2,androidx/compose/material3/TopIconOrIconOnlyMeasurePolicy,68,88,77.27
c72e738280dcb222,androidx/compose/material3/TabRowKt$ScrollableTabRowImpl$1$1$2$1,68,68,100.0
fad0d1bd01e245fc,androidx/compose/ui/graphics/vector/VectorPainterKt,68,293,23.21
60431f6e937d1afa,androidx/compose/foundation/lazy/LazyListState,68,251,27.09
35a405a9b714bf59,androidx/compose/ui/graphics/colorspace/Rgb$Companion,68,131,51.91
0202a3463ee9e28b,androidx/navigation/NavController,68,658,10.33
9ab866dba3275728,com/kgurgul/cpuinfo/ui/components/CpuPullToRefreshBoxKt,67,159,42.14
f88b110de015102c,androidx/compose/material3/MaterialThemeKt,67,214,31.31
cde65203b83ce75f,androidx/compose/foundation/layout/RowColumnMeasurePolicyKt,66,118,55.93
77c6acb7d0792901,androidx/collection/MutableIntObjectMap,66,189,34.92
38781665c966043b,androidx/compose/runtime/SnapshotStateKt__ProduceStateKt,66,125,52.8
cbd2d9d256302016,androidx/compose/ui/graphics/drawscope/DrawScope,66,378,17.46
24ebe666ee3e6487,androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1,66,74,89.19
b6020f63a520cfa5,androidx/compose/ui/text/ParagraphStyleKt,66,115,57.39
e578859d4b64dff7,androidx/compose/ui/node/LayoutNodeLayoutDelegate,66,161,40.99
d6593f96b638c8b7,androidx/compose/material3/IconKt,66,249,26.51
ab55efb57cd921f8,androidx/compose/ui/layout/Placeable$PlacementScope,66,204,32.35
167c633bfea13653,kotlinx/coroutines/internal/LockFreeLinkedListNode,66,105,62.86
81dc869dd7c11345,androidx/compose/ui/text/MultiParagraph,65,412,15.78
f7cdc8d4b37443ba,androidx/compose/foundation/pager/PagerKt,65,533,12.2
6b0868fd5654cd54,androidx/compose/foundation/pager/PagerDefaults,65,94,69.15
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,65,283,22.97
8053029b5c66de47,androidx/compose/runtime/SlotWriter$Companion,64,115,55.65
655b50d46144e946,androidx/compose/ui/platform/AbstractComposeView,64,156,41.03
5ae7e3edc23a9994,androidx/compose/animation/core/InfiniteTransitionKt,63,115,54.78
b5c1f493549f1053,com/kgurgul/cpuinfo/ui/components/ItemValueRowKt,63,113,55.75
23371f5295dbe494,androidx/compose/material3/tokens/ColorLightTokens,63,97,64.95
bc3447afd4691cf4,androidx/compose/runtime/Pending,63,166,37.95
fa6a0412feda7a4a,androidx/compose/runtime/changelist/Operations,63,214,29.44
06d8beb6cedcd730,androidx/compose/ui/graphics/vector/GroupComponent,62,152,40.79
7b39d022c86da5e0,androidx/compose/foundation/pager/PagerStateKt,62,116,53.45
05d4ea22e0321538,kotlinx/coroutines/flow/StateFlowImpl,62,96,64.58
80a5ea28923884b1,androidx/compose/ui/platform/WindowRecomposer_androidKt,62,90,68.89
4a80d407bb976444,androidx/compose/ui/text/SpanStyle,61,510,11.96
ad5d409948be0156,androidx/navigation/NavDestination,61,245,24.9
58f946b8b5fe0ea9,androidx/compose/material3/SurfaceKt$Surface$1,61,67,91.04
8237d6097fc1660d,androidx/compose/animation/core/InfiniteTransition,61,77,79.22
81252188b5e8cc36,androidx/lifecycle/compose/LifecycleEffectKt,61,578,10.55
61b90323d16ff9a2,androidx/compose/foundation/text/modifiers/ParagraphLayoutCache,60,153,39.22
63724b760f68943d,androidx/startup/AppInitializer,60,86,69.77
e432d28d17a58201,androidx/compose/material3/tokens/ColorDarkTokens,59,97,60.82
85a32fd7913a5d39,androidx/compose/runtime/internal/ComposableLambdaImpl,59,310,19.03
9880f70e59f12d82,androidx/compose/ui/node/AlignmentLines,59,95,62.11
b1c5f63105e8de9c,androidx/compose/runtime/SlotTableKt,59,196,30.1
22c310baa12b4a07,androidx/navigation/NavDeepLink,58,414,14.01
99ea69526b4dda5d,androidx/compose/foundation/lazy/LazyListKt$rememberLazyListMeasurePolicy$1$1,57,95,60.0
a97fa445350fbf4c,kotlin/collections/ArraysKt___ArraysKt,57,10827,0.53
b48f40723f7a5819,androidx/compose/ui/graphics/colorspace/Rgb,57,162,35.19
ac8038e98fdf4db8,com/kgurgul/cpuinfo/domain/observable/CpuDataObservable$createObservable$1,57,92,61.96
2d9a03c029673f1a,androidx/compose/animation/core/VectorizedKeyframesSpec,57,155,36.77
6b08730edeedfe0d,androidx/compose/animation/core/Animatable,57,141,40.43
db8edf2bd0ef4868,androidx/compose/ui/graphics/vector/VectorComponent,57,89,64.04
30fbc7f0cb6d6244,androidx/compose/runtime/saveable/RememberSaveableKt,57,124,45.97
0ba5416c633b3723,androidx/compose/runtime/SnapshotStateKt__SnapshotFlowKt$snapshotFlow$1,57,108,52.78
99ea112a1cd097ba,androidx/compose/ui/graphics/colorspace/ColorSpaces,56,139,40.29
d6c0724336a81d18,androidx/compose/ui/Modifier$Node,56,97,57.73
5318891a90111ad0,androidx/compose/ui/text/platform/extensions/TextPaintExtensions_androidKt,56,125,44.8
3830fe877d1569dd,androidx/compose/material3/TabRowKt,56,846,6.62
f0a489f5fcfe5af2,kotlin/text/StringsKt__StringsKt,56,937,5.98
dbf7f53c552cb5b2,androidx/compose/ui/text/platform/extensions/SpannableExtensions_androidKt,55,325,16.92
70ed071004e1ce9b,androidx/compose/runtime/collection/MutableVector,55,355,15.49
c58a06338ad00954,androidx/compose/runtime/collection/ScopeMap,54,219,24.66
aa9f17d099452ee3,androidx/compose/foundation/pager/PagerMeasurePolicyKt$rememberPagerMeasurePolicy$1$1,54,82,65.85
a22c778a5c327260,androidx/compose/foundation/lazy/LazyListMeasuredItem,54,156,34.62
9385b09f468566bd,kotlinx/coroutines/internal/DispatchedContinuation,53,183,28.96
e56f1b34cf6ff49f,androidx/compose/animation/core/VectorizedFloatAnimationSpec,53,63,84.13
e7752faf6d9897ad,androidx/compose/ui/node/TraversableNodeKt,53,478,11.09
440699e5c1c0e814,org/jetbrains/compose/resources/ImageResourcesKt,53,152,34.87
00416f18ae28897f,androidx/savedstate/internal/SavedStateRegistryImpl,52,121,42.98
e16d973954ba8f18,androidx/compose/ui/platform/AndroidUiDispatcher,52,67,77.61
52c713214dc3f93e,org/jetbrains/compose/resources/vector/XmlVectorParserKt,52,249,20.88
78e87f0707135911,org/koin/core/scope/Scope,52,256,20.31
590c334d1ab06b37,androidx/compose/ui/graphics/AndroidCanvas,52,143,36.36
d8a57c1adc0b593e,androidx/compose/ui/semantics/SemanticsPropertiesKt,51,233,21.89
a99db36446c1b5e6,androidx/navigation/compose/NavBackStackEntryProviderKt,51,71,71.83
cd34a82907728861,androidx/compose/ui/graphics/vector/PathComponent,51,95,53.68
293764db3eede0ae,androidx/compose/material3/tokens/ColorSchemeKeyTokens,51,53,96.23
6b228f30ed2756f8,androidx/collection/ScatterMap,51,376,13.56
a49fee5588822a3a,androidx/compose/material3/TopAppBarMeasurePolicy,50,124,40.32
a337ee3eaf090f5d,kotlin/io/encoding/Base64,50,245,20.41
9c87ed2652a4b078,androidx/compose/material3/ColorSchemeKt$WhenMappings,50,98,51.02
3d823cd6cd26d525,androidx/collection/MutableIntSet,50,180,27.78
85d07b31e622625f,androidx/compose/animation/core/SpringEstimationKt,50,130,38.46
8220891eeb49bd02,androidx/compose/ui/node/LayoutModifierNodeCoordinator,50,157,31.85
09dc5355f1caf88f,androidx/compose/ui/graphics/vector/FastFloatParserKt,49,175,28.0
45fab3b5627cc603,androidx/emoji2/text/EmojiCompat,48,169,28.4
b2797edd5e972131,kotlinx/coroutines/channels/BufferedChannelKt,48,71,67.61
2d4fea890953b76d,androidx/compose/foundation/pager/PagerMeasurePolicyKt,48,116,41.38
78f355cca6deef1b,androidx/compose/ui/node/InnerNodeCoordinator,47,97,48.45
559a149bf07db90f,org/jetbrains/compose/resources/ResourceEnvironmentKt,47,262,17.94
84ca95309f6a64df,androidx/compose/ui/text/MultiParagraphIntrinsics,47,84,55.95
8262fe9613eaf6ec,androidx/navigation/NavBackStackEntry,47,113,41.59
2a8b268254250641,org/koin/core/registry/InstanceRegistry,47,336,13.99
82915faa1900627f,androidx/compose/ui/unit/Constraints,46,88,52.27
a2a590f72d1a714c,androidx/compose/ui/autofill/AndroidAutofillManager,46,202,22.77
e2e4773ba7abdd74,androidx/compose/foundation/layout/SizeKt,46,210,21.9
7dab130b8a78d503,androidx/compose/ui/platform/AndroidComposeViewAccessibilityDelegateCompat,46,2080,2.21
251f30a57a5c5805,androidx/navigation/internal/NavBackStackEntryImpl,46,109,42.2
d95a2cf2cde5ccb8,androidx/compose/ui/semantics/SemanticsActions,45,64,70.31
6f74ec3aa544fbfe,androidx/compose/ui/node/BackwardsCompatNode,45,283,15.9
50ff5977f2be64c6,androidx/compose/ui/node/RulerTrackingMap,45,80,56.25
8f0f06a4906f8465,androidx/compose/ui/text/android/style/LineHeightStyleSpan,44,77,57.14
1c8163d1bf037d8d,kotlin/collections/builders/ListBuilder,44,144,30.56
238353dc42e6d2d3,androidx/compose/runtime/SlotTable,43,518,8.3
2b3f5ff912ab47a9,androidx/compose/ui/graphics/BezierKt,43,445,9.66
c91bf4e555661372,kotlinx/coroutines/DispatchedTaskKt,43,88,48.86
9db5dde1b3a27260,com/kgurgul/cpuinfo/utils/AndroidShortcutManager,42,65,64.62
96e0cb81bfa5c300,androidx/compose/ui/graphics/vector/PathParser,42,82,51.22
a39b0e922e5ac637,kotlin/collections/ArraysKt___ArraysJvmKt,42,1082,3.88
4742532e37776c26,androidx/compose/ui/graphics/colorspace/ColorSpaceKt,42,103,40.78
fa7b0fa10020e59e,androidx/compose/foundation/AbstractClickableNode,42,320,13.12
