[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Calculator-You-_v3.1.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-f2eed67": Wed Sep 02 13:39:56 UTC 2026 - Wed Sep 02 13:40:17 UTC 2026
9a0e4437321bc421  185 of 794   androidx/recyclerview/widget/LinearLayoutManager
a89428449028e0fd    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
e3233f9c63280f90   43 of 301   androidx/fragment/app/BackStackRecord
21f9acf438f5cdff    1 of   7   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal
e16823019142f320   27 of 135   androidx/appcompat/app/AppCompatDelegate
9809a591dbc8be5f  120 of 188   com/forz/calculator/fragments/UnitConverterFragment
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
afa6fa3e085a65da    2 of  37   org/javia/arity/Function
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
32644374cd50045f  307 of 1316   androidx/fragment/app/FragmentManager
b5f7c78d7cc58ea0    2 of   3   com/google/android/material/textfield/EndCompoundLayout$3
ebd9f3ca8064c857   11 of  20   androidx/constraintlayout/core/widgets/Guideline$1
2a6572d30bbfcb2b    1 of   3   kotlin/jvm/internal/Lambda
a23ae37d8bf3e296    7 of   7   com/forz/calculator/fragments/adapters/ViewPageAdapter
babc9f69d89fe569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
d9da335587854d26    1 of  11   androidx/core/os/LocaleListPlatformWrapper
58ced3fd4c0a4715   23 of  27   com/google/android/material/internal/DescendantOffsetUtils
971c70fb5ccc6304   15 of  21   com/forz/calculator/fragments/MainFragment$onCreateView$7
0b08cfacb836dca7    1 of   3   androidx/recyclerview/widget/DiffUtil$1
fe96e92eb6ffb170   13 of  17   androidx/emoji2/viewsintegration/EmojiEditableFactory
a101d3f9e11443d4    1 of  11   androidx/lifecycle/ViewModelProvider$NewInstanceFactory
26697c5ee80a8204    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
cdeb84faf36e2244   66 of 598   com/forz/calculator/utils/InsertInExpression
25691937fb9ec782   11 of 138   com/forz/calculator/history/HistoryDataAdapter
c191934aae80e418    2 of   4   com/google/android/material/shape/CornerTreatment
bdb41e6d8d6426f8    3 of  40   androidx/core/view/ViewCompat$Api21Impl
7681a1a51513aa71    1 of   3   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider$2
4598cec934613776   49 of 148   com/google/android/material/textfield/DropdownMenuEndIconDelegate
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
7753917b19bb77c2   15 of  49   androidx/emoji2/viewsintegration/EmojiTextWatcher
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
4f866dfbc772e55b    1 of   1   androidx/lifecycle/viewmodel/internal/SynchronizedObject
409b7dec5b250609   19 of  31   androidx/recyclerview/widget/ViewBoundsCheck
cef52e4a51e26101   28 of  44   org/javia/arity/OptCodeGen
832d4c48a221b518    4 of   6   androidx/emoji2/viewsintegration/EmojiInputConnection$EmojiCompatDeleteHelper
1da2f24505dca265   28 of 117   androidx/activity/OnBackPressedDispatcher
b1587b27d3ea21cb    4 of 103   kotlin/random/Random
5b6ebfba4a347680    1 of   2   org/javia/arity/TokenConsumer
5e5f703bf306ad0b    1 of  13   androidx/recyclerview/widget/RecyclerView$4
2c15d85c17560376    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
55b2443c727acb99   58 of 224   androidx/fragment/app/FragmentStore
8a1392a2da7492b7    6 of  13   kotlin/text/Regex$Companion
0b8299794215289d    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
0b7a843a3076b741    7 of 119   androidx/appcompat/widget/ForwardingListener
0c07e53a0b7e623b    1 of   2   androidx/appcompat/widget/TooltipCompat$Api26Impl
d39508959e72a50d    4 of  39   kotlinx/coroutines/flow/StateFlowKt
129dc79980aa852b   20 of  55   androidx/constraintlayout/widget/Barrier
99ada92a98b628b4    5 of   5   com/forz/calculator/fragments/UnitConverterFragment$onCreateView$$inlined$sortedBy$1
3a61b8f950c482db   16 of  67   com/forz/calculator/history/DBHelper
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
d48599621075951d   63 of 282   androidx/appcompat/widget/ActionMenuPresenter
47ef186305323a2f   10 of  18   com/google/android/material/shape/MaterialShapeUtils
cb93c8a8127239d8   11 of  35   androidx/fragment/app/SpecialEffectsController$Operation$State
07eadf8a58a5f854   60 of 153   com/google/android/material/textfield/StartCompoundLayout
62a1ade9dfe8c038    4 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
c95739048177e1bc    1 of   5   androidx/profileinstaller/ProfileVersion
28e2e60e98dd7692  200 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
61ab3c34a73cc206    1 of   2   androidx/recyclerview/widget/DiffUtil$Callback
74f0c89b7522a1e1   28 of  51   androidx/appcompat/view/ContextThemeWrapper
2267346cf1ce576f   74 of 252   androidx/constraintlayout/widget/ConstraintHelper
20e1c76dc8a4e786  138 of 311   androidx/constraintlayout/core/ArrayRow
f77da7edf5dc8dfd    1 of   4   androidx/lifecycle/LiveData$1
be5edbeb4ad69fd0    9 of  20   com/google/android/material/textfield/TextInputLayout$1
bf254c6e696f9a90   13 of  21   com/forz/calculator/calculator/CalculatorViewModel
47e24c10c98fdac8    2 of   2   androidx/lifecycle/viewmodel/internal/ViewModelProviders_jvmKt
ae0a4db8ee74ed73    2 of  27   androidx/constraintlayout/widget/Guideline
df06244bd140d2b1    2 of   2   androidx/fragment/app/FragmentManager$7
ba5e9b72d184d06e    9 of  37   com/google/android/material/internal/CheckableImageButton
0a4c46baf38847b9    8 of  14   androidx/lifecycle/LiveData$LifecycleBoundObserver
928473bbd3b51a4d    2 of   4   com/google/android/material/tabs/TabLayoutMediator$ViewPagerOnTabSelectedListener
5bbaa2b63337f2f3    1 of  69   com/google/android/material/textfield/TextInputLayout$AccessibilityDelegate
13379fe9c9a8bdba    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
737577b58b94ff99    3 of   6   com/forz/calculator/converter/data/FactorUnit
13d9caf113cb9a33   14 of  23   androidx/lifecycle/ReportFragment$Companion
7010352a7b76969d    1 of   2   com/google/android/material/R$styleable
22a4499141fb2217    7 of  33   kotlin/ranges/IntProgression
1b89010753bb01ef    3 of  45   kotlin/collections/AbstractList$Companion
84df4d3c07113e28    6 of  61   androidx/core/view/AccessibilityDelegateCompat
cc493a672fba3174    1 of  13   androidx/core/view/ViewCompat$Api21Impl$1
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
808b4a569c7bb641    5 of  59   androidx/core/app/ComponentActivity
a8e5ef8d1bbac439    1 of  12   androidx/recyclerview/widget/RecyclerView$ItemAnimatorRestoreListener
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
189d1e841728c1de   39 of 318   androidx/appcompat/widget/ActionMenuView
c9808c291132046b    5 of   5   androidx/transition/TransitionValuesMaps
a1fb9428152dd80a    3 of  13   androidx/core/text/TextDirectionHeuristicsCompat$TextDirectionHeuristicImpl
0a2abf471ff85a62    4 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
7f3ffd75162e0499    7 of  11   com/google/android/material/animation/AnimationUtils
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
75415101eb9206d2    4 of   4   androidx/constraintlayout/core/Cache
0b5608634a4a487a    1 of   5   kotlinx/coroutines/internal/Symbol
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
deea807b4ccdcb5b   16 of  26   com/google/android/material/tabs/TabIndicatorInterpolator
83c8007beba8710b   19 of  59   androidx/recyclerview/widget/RecyclerView$5
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
1d01c2456e8598db   14 of 847   androidx/transition/Transition
eb1edcb6274791f4    4 of   7   com/forz/calculator/JacocoInstrument/SMSInstrumentedReceiver
