[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ClockYou-_v11.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-c75fdb3c": Wed Sep 02 13:40:43 UTC 2026 - Wed Sep 02 13:41:04 UTC 2026
39cc3e35b05337ab    1 of  28   androidx/navigation/StringNavType
56e693cb238156a9   18 of  28   androidx/compose/ui/platform/AndroidUiFrameClock
ec05b78771c21a45   17 of 142   androidx/compose/ui/text/input/ImeOptions
d0e5162c53ff153e    9 of   9   com/bnyro/clock/AppContainer
73c2134c02d72251    3 of  36   androidx/compose/ui/text/platform/extensions/PlaceholderExtensions_androidKt
60e0624492367099    3 of   4   androidx/compose/animation/ExitTransition$Companion
556750710555b04c   81 of 264   androidx/collection/MutableScatterMap
fccef1e4c879e543   12 of  25   androidx/compose/ui/text/style/BaselineShift
5c8977a728fc63c3    2 of  31   kotlin/jvm/internal/CallableReference
00aab7aeb368b47f   20 of  70   androidx/compose/runtime/CompositionLocalKt
a745f89058ed572b    8 of  22   androidx/compose/ui/text/style/ColorStyle
8462cc2ae3432b1f    6 of  10   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$2
97b7206f5e7979b9    1 of  25   kotlinx/serialization/modules/SerializersModuleBuildersKt
64da9a9b264e1815    6 of  33   kotlin/ranges/IntProgression
8120e8a3b8111188    2 of   2   androidx/compose/runtime/CancelledCoroutineContext$Key
880b726924942eec    2 of   2   com/bnyro/clock/util/services/StopwatchService$Companion
c06f4f82122b7ddd    2 of  21   androidx/compose/ui/platform/AndroidComposeView$resendMotionEventRunnable$1
04893760d95edaac    5 of  16   androidx/compose/foundation/gestures/BringIntoViewSpec$Companion
3098cd6f12b31f58    3 of  26   kotlin/collections/CollectionsKt__IterablesKt
174cd3a9c020c4db    7 of  11   androidx/compose/material3/MaterialThemeKt$MaterialTheme$1
9c47b943d7ef72f4    3 of  17   androidx/compose/runtime/ComputedValueHolder
684c2a79904df258    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
42110e63648e88dc    2 of  12   androidx/compose/ui/node/ModifierNodeElement
977a3e1eebac02e8   86 of 246   androidx/compose/ui/text/SpanStyleKt
6097b68268c1def4    2 of   3   androidx/compose/ui/text/intl/Locale$Companion
66cd38b3a6489812    9 of  23   androidx/core/view/WindowInsetsCompat$Type
3c5420875ed54221    2 of   2   androidx/compose/foundation/gestures/snapping/SnapPositionKt
9fa42d005791151e    6 of  12   com/bnyro/clock/util/Preferences
0c65c6e0476a1dc4    6 of  10   androidx/compose/ui/focus/FocusStateImpl$WhenMappings
ead14c389f31f9f7    3 of   3   androidx/compose/runtime/DerivedSnapshotState$ResultRecord$Companion
ab3a14c16be8b43c    1 of   5   androidx/compose/ui/layout/ContentScale$Companion$Crop$1
e152f11d791ff964    1 of  27   androidx/room/TriggerBasedInvalidationTracker$createFlow$1
d63d359b4ba3883c    2 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$LocalConfiguration$1
1cfc176856ae0d00    5 of   5   androidx/compose/ui/layout/ContentScale$Companion$Fit$1
c58a06338ad00954   34 of 219   androidx/compose/runtime/collection/ScopeMap
e5856f8dd39df9ab    4 of   8   androidx/compose/runtime/tooling/ComposeStackTraceMode$Companion
486dfacd8ac4a85a   13 of  60   androidx/compose/material3/Shapes
7ffc17b5cc729479    7 of  17   androidx/navigation/compose/DialogHostKt$DialogHost$2$1
eb9ae6f05c2c1105    2 of   7   kotlinx/coroutines/Unconfined
c0f25e3c9c7c72f1    2 of   3   androidx/compose/foundation/gestures/ScrollableKt$UnityDensity$1
84bcfef7605eea5d   18 of  29   androidx/compose/foundation/pager/PagerBeyondBoundsModifierKt
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
78a6992c7a9e3b58   27 of  35   androidx/compose/foundation/layout/PaddingValuesModifier
80c0bfe6b967160c    2 of   4   androidx/compose/ui/platform/InspectableValueKt$NoInspectorInfo$1
64a7f828d1c68d1b    4 of   6   androidx/compose/ui/geometry/Size$Companion
3e4c1dcc5e1e3dcd    7 of   7   kotlin/coroutines/AbstractCoroutineContextElement
6c0bde4b8a8fd89c    2 of   4   androidx/navigation/NavController$Companion
e146b402861ad308   18 of 157   androidx/collection/MutableIntList
51e32df42e30b271    8 of  10   androidx/compose/ui/input/pointer/PointerIcon_androidKt
16b11489c5ee1780   11 of  16   androidx/lifecycle/internal/SavedStateHandleImpl_androidKt
a8f5e83ce270d2e0    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
2c14bd3d97cff6bc   18 of  38   androidx/compose/runtime/changelist/Operation$InsertSlotsWithFixups
8b8ca3a2dd378546    2 of   2   androidx/compose/runtime/internal/AtomicAwaitersCount$Companion
b2b87b563f5456d8    1 of   4   com/bnyro/clock/data/database/AppDatabase$Companion$MIGRATION_1_2$1
fa7b0fa10020e59e   29 of 320   androidx/compose/foundation/AbstractClickableNode
1ad5370daa5457ea   25 of  28   com/bnyro/clock/data/database/AppDatabase_Impl
