class_id,class_name,probes_hit,probes_total,pct
e8b065122ca756de,androidx/compose/runtime/ComposerImpl,770,1592,48.37
f0226f43d030a81f,com/omelan/cofi/share/model/PrepopulateData,420,421,99.76
20ba6a10561716a5,androidx/compose/ui/node/LayoutNode,413,1174,35.18
27ee95436663f55d,androidx/compose/material3/AppBarKt,387,1784,21.69
a00332a6f0feaf1b,androidx/compose/ui/node/NodeCoordinator,354,1023,34.6
200f5bddb50a2b98,androidx/compose/runtime/CompositionImpl,328,1004,32.67
1fa8080d60ff6b60,androidx/navigation/NavController,325,1494,21.75
56041f71dca7269d,androidx/compose/ui/platform/AndroidComposeView,317,1265,25.06
288d69cb4e7a5eee,kotlinx/coroutines/channels/BufferedChannel,313,1703,18.38
e6ebe2db5aad98ec,androidx/compose/runtime/SlotWriter,299,1110,26.94
a9646607e397df61,kotlinx/coroutines/JobSupport,296,755,39.21
b0eb92a4deed654f,androidx/compose/runtime/snapshots/SnapshotKt,275,422,65.17
d1cbe0a7aa737ce6,androidx/compose/ui/node/LayoutNodeLayoutDelegate$MeasurePassDelegate,274,497,55.13
adf6bef78ba68364,androidx/fragment/app/FragmentManager,255,1386,18.4
c439c1f0fa893d27,androidx/navigation/compose/NavHostKt,254,964,26.35
00dc83d5ecb5b7ae,androidx/compose/runtime/Recomposer,221,690,32.03
d34e1d30619e6a9f,androidx/compose/animation/AnimatedVisibilityKt,220,702,31.34
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,197,1299,15.17
219661cb3b3480c8,androidx/compose/animation/EnterExitTransitionKt,193,474,40.72
1bf8e2a0ef6db2af,androidx/compose/ui/text/TextStyle,186,1399,13.3
32867ac1c109c890,androidx/compose/material3/SwipeToDismissBoxKt,175,237,73.84
b342d9a8e6b40062,com/omelan/cofi/components/RecipeInfoKt,173,333,51.95
4425fa948261b5f3,androidx/compose/ui/node/NodeKindKt,170,268,63.43
2012707d4ebb6541,androidx/compose/ui/focus/FocusInvalidationManager,169,286,59.09
e183b5a4fb561280,androidx/compose/runtime/snapshots/SnapshotIdSet,167,322,51.86
d9a7e0c4f4acb0c3,androidx/compose/runtime/snapshots/MutableSnapshot,164,379,43.27
813593c2e80c5b52,androidx/compose/foundation/lazy/layout/LazyLayoutItemAnimator,160,381,41.99
52e7bfc5bb07469d,kotlinx/coroutines/flow/SharedFlowImpl,159,362,43.92
93a93bd4bce1829c,androidx/compose/ui/node/MeasureAndLayoutDelegate,159,559,28.44
c559b0d472678369,androidx/compose/runtime/snapshots/SnapshotStateObserver$ObservedScopeMap,155,439,35.31
27d509b71fa9efbf,androidx/compose/material3/DynamicTonalPaletteKt,155,272,56.99
5aa3674f80157933,androidx/compose/material3/tokens/TypeScaleTokens,154,154,100.0
bd873f5fd6b57f1d,androidx/compose/ui/graphics/vector/PathParserKt,153,166,92.17
1fbc3bd57fc9e6be,androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableMap/TrieNode,149,469,31.77
6c19974fa3a99f43,kotlinx/coroutines/CancellableContinuationImpl,143,382,37.43
c0729722f2054c90,androidx/compose/ui/platform/AndroidCompositionLocals_androidKt,141,181,77.9
ea47e92ee7c4c514,androidx/compose/runtime/changelist/ChangeList,133,1121,11.86
82ec071369752d95,androidx/compose/material3/tokens/PaletteTokens,130,184,70.65
f23e2a100e531e94,androidx/compose/ui/platform/RenderNodeLayer,129,248,52.02
fbb0b71df58c981a,androidx/compose/animation/AnimatedContentKt,127,255,49.8
c6d89052a90d631b,androidx/compose/foundation/lazy/grid/LazyGridMeasureKt,127,300,42.33
2c18a2635c3e2d8f,androidx/compose/ui/node/NodeChain,127,613,20.72
4c6cc4d545154199,androidx/compose/runtime/SlotReader,126,227,55.51
e27257f6abfb86e1,androidx/compose/material3/tokens/TypographyTokens,122,122,100.0
4e835ebe595cd7c0,androidx/compose/runtime/RecomposeScopeImpl,122,202,60.4
42bf690aa3973072,androidx/compose/material3/ScaffoldKt,120,196,61.22
