[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Currency-_v1.58-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-e40c1027": Wed Sep 02 13:41:51 UTC 2026 - Wed Sep 02 13:42:12 UTC 2026
1a543220b768600c   17 of  23   org/billthefarmer/currency/Parser$Handler
baa2a63557838295    1 of   1   org/billthefarmer/currency/Main$Currency
b490ac0d1a34356b  159 of 621   org/billthefarmer/currency/Main
29ed845a7ae8414b    4 of   7   org/billthefarmer/currency/JacocoInstrument/SMSInstrumentedReceiver
21dfb043dbe4880f    9 of  26   org/billthefarmer/currency/Data
213015fa8f17c197   12 of  53   org/billthefarmer/currency/JacocoInstrument/JacocoInstrumentation
4fd516bdbe5a7669   22 of  31   org/billthefarmer/currency/CurrencyAdapter
9d9cbb3566ec2abe    8 of  18   org/billthefarmer/currency/Parser

