[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Droid-ify-_v0.7.6-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-363cc7ad": Wed Sep 02 17:19:55 UTC 2026 - Wed Sep 02 17:20:17 UTC 2026
0f6ca879f93a3e2d    6 of   8   androidx/recyclerview/widget/RecyclerView$Adapter$StateRestorationPolicy
a877e6db6cf0625a    4 of  20   okio/ForwardingTimeout
2882dd08b8961d1b    2 of   4   androidx/lifecycle/viewmodel/CreationExtras$Companion
27935924421b0ca5   39 of 143   kotlinx/coroutines/internal/DispatchedContinuationKt
004fd297a082c250   21 of  51   androidx/dynamicanimation/animation/SpringForce
e16823019142f320   29 of 135   androidx/appcompat/app/AppCompatDelegate
ff92934f2c520084    7 of   9   androidx/sqlite/driver/SupportSQLiteConnection
da4a335e59b900a6  134 of 571   androidx/appcompat/widget/SearchView
5949943bbd9340ed    2 of   4   androidx/work/impl/Migration_11_12
9cedafcc543db70e   33 of  55   kotlinx/coroutines/channels/ChannelSegment
0cafa113a3d9ae76    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
875202b75b7a2e8a   32 of 120   androidx/navigationevent/NavigationEventDispatcher
960ca1dfbd6e4aa4    2 of   2   kotlinx/serialization/descriptors/PrimitiveKind$LONG
bf15511bece282f6    3 of   3   androidx/work/impl/model/WorkProgressDao_Impl$Companion
3f8e69061f18f98a    2 of  19   androidx/work/impl/constraints/controllers/NetworkUnmeteredController
d1f3fc3772b44f6a    2 of   3   androidx/work/impl/utils/NetworkRequestCompat$Companion
64da9a9b264e1815    7 of  33   kotlin/ranges/IntProgression
3098cd6f12b31f58    6 of  26   kotlin/collections/CollectionsKt__IterablesKt
fd5ad9fd71d0756a    4 of   4   androidx/work/impl/model/WorkTag
7ec28c4332ae9032   42 of  84   okhttp3/Address
7d48d561f9990190    7 of  94   androidx/datastore/preferences/protobuf/Internal
a71e5e0fb3e2ead2   15 of 137   androidx/core/view/WindowInsetsCompat$Impl20
200ee90c3a7f235f  323 of 790   kotlinx/coroutines/JobSupport
3ba48aed5265c30e    2 of   3   androidx/navigationevent/NavigationEventTransitionState$Idle
008e43e10a30397b    7 of 210   androidx/datastore/preferences/protobuf/CodedInputStream$ArrayDecoder
3b92a5f76c2ba26a   12 of  20   androidx/work/ListenableFutureKt$launchFuture$1$2
edbf443862b49b1b    2 of   3   androidx/viewpager2/adapter/FragmentStateAdapter$FragmentMaxLifecycleEnforcer$1
009f03de1ad299ba   34 of  68   com/looker/droidify/Droidify
283a38b4af31ef95   32 of  89   kotlinx/serialization/json/JsonBuilder
bf942120cfa85131    1 of   9   okhttp3/internal/platform/android/ConscryptSocketAdapter$Companion$factory$1
c2bea5a8068f01a9    2 of   2   kotlinx/coroutines/scheduling/Task
b58101fdff4b4b07    1 of  10   com/google/android/material/floatingactionbutton/ExtendedFloatingActionButton$9
fbbf2a9b3fc71ed2   40 of  83   androidx/work/impl/WorkContinuationImpl
5c587dc1a340f2e8   16 of  21   kotlinx/coroutines/flow/FlowKt__DelayKt$fixedPeriodTicker$1
de0187a4234c3ada   39 of  49   okio/PriorityQueue
ef006f8c5d6b5dd1    1 of   3   com/looker/droidify/DaggerDroidify_HiltComponents_SingletonC$ActivityRetainedCImpl$SwitchingProvider
694e93e9388b121b   30 of  81   androidx/recyclerview/widget/RecyclerView$Adapter
fe96e92eb6ffb170   12 of  17   androidx/emoji2/viewsintegration/EmojiEditableFactory
d5ff4b10000afedc    1 of   2   com/looker/droidify/database/Database$RepositoryAdapter$getAllStream$$inlined$map$1$2$1
a5d7bc798a52b3c6    1 of   2   com/looker/droidify/Droidify$updatePreference$1$2$invokeSuspend$$inlined$get$1$2$1
28b3986e5ac84a29   15 of  31   androidx/datastore/preferences/protobuf/Protobuf
3c76ed04dd9bfca8   31 of  74   com/looker/droidify/database/Database$RBLogAdapter
1a77fc2eb9a87fb4    2 of  10   androidx/work/impl/RescheduleMigration
19be776e2ce50270    1 of   8   androidx/recyclerview/widget/RecyclerView$AdapterDataObserver
2331818a94d3f62e    8 of  14   com/looker/droidify/ui/appList/AppListViewModel$special$$inlined$get$1$2
10a1f489db88ffe7    2 of 279   androidx/fragment/app/DefaultSpecialEffectsController
6d45fbb12020369d    1 of  26   com/looker/droidify/service/SyncService$Job
d4034d4ad835c137    2 of   5   androidx/concurrent/futures/ResolvableFuture
b82a3093ba3bc2c9   62 of 100   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement
fde0ba4b79279ec2   29 of  46   com/fasterxml/jackson/core/util/BufferRecycler
a552af0c00e96af9   12 of  29   okhttp3/internal/http/StatusLine$Companion
60d14bafff4c3463    8 of  10   androidx/sqlite/driver/SupportSQLiteStatement
cef720a3d8e886ee    4 of   4   androidx/lifecycle/MutableLiveData
3e4c1dcc5e1e3dcd    7 of   7   kotlin/coroutines/AbstractCoroutineContextElement
83a6d83b9cf0173e    6 of   8   androidx/room/Transactor$SQLiteTransactionType
76f10e185a2ff290    4 of  13   kotlinx/coroutines/sync/Mutex$DefaultImpls
