class_id,class_name,probes_hit,probes_total,pct
64a7ea8d3483b4a2,androidx/work/impl/model/WorkSpecDao_Impl,503,1858,27.07
25d3aed2017f6204,kotlinx/coroutines/channels/BufferedChannel,472,1770,26.67
eb60c0062dbfc31a,androidx/recyclerview/widget/RecyclerView,448,2313,19.37
4b1dc506059e2741,com/looker/droidify/index/IndexV1Parser,373,413,90.31
203eee2eb265014a,androidx/fragment/app/FragmentManager,331,1442,22.95
200ee90c3a7f235f,kotlinx/coroutines/JobSupport,323,790,40.89
5b6b8cc300c893e8,com/fasterxml/jackson/core/json/UTF8StreamJsonParser,313,1554,20.14
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,283,938,30.17
0e29e6e966072a82,androidx/datastore/preferences/protobuf/MessageSchema,253,2416,10.47
f6195fee0ca31fe5,com/google/android/material/tabs/TabLayout,240,668,35.93
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,233,954,24.42
65abdbeeefe5d757,kotlinx/coroutines/flow/SharedFlowImpl,226,363,62.26
8db12c2cb5c065d8,androidx/constraintlayout/core/widgets/ConstraintWidget,223,1652,13.5
76531285fd9c2739,com/google/android/material/shape/MaterialShapeDrawable,217,558,38.89
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,204,1298,15.72
7331166c2bbae297,com/looker/droidify/ui/tabsFragment/TabsFragment,204,418,48.8
da9c297a5681dc7a,androidx/constraintlayout/widget/ConstraintLayout,199,610,32.62
a1224dfca5f3d479,androidx/fragment/app/Fragment,191,756,25.26
221098f246344d4c,com/google/android/material/button/MaterialButton,188,760,24.74
3dda660e96a91928,okio/Buffer,180,860,20.93
c53f05ec6d3ae44d,com/looker/droidify/utility/serialization/ProductSerializationKt,175,190,92.11
a2adf74b91f9467f,androidx/recyclerview/widget/RecyclerView$Recycler,174,602,28.9
4a63a0ead9b3e94a,com/google/android/material/tabs/TabLayout$TabView,168,364,46.15
7580ab9b187a58fe,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer,167,313,53.35
4a6b2f2c1564d847,androidx/recyclerview/widget/LinearLayoutManager,163,816,19.98
7c3a61d7a3cbd8f7,com/looker/droidify/database/table/DatabaseHelper,153,312,49.04
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,152,483,31.47
45ef8ea756454e0e,com/fasterxml/jackson/core/json/UTF8JsonGenerator,148,884,16.74
f01139b980ada34f,com/looker/droidify/index/RepositoryUpdater,138,239,57.74
d393c69d21d9c5a0,kotlinx/coroutines/CancellableContinuationImpl,136,382,35.6
859d8f9314a01076,okhttp3/internal/connection/RealCall,136,275,49.45
af5b8eba15ad9bd1,androidx/recyclerview/widget/RecyclerView$LayoutManager,135,684,19.74
da4a335e59b900a6,androidx/appcompat/widget/SearchView,134,571,23.47
91278e68fc2393a2,androidx/room/TriggerBasedInvalidationTracker,133,265,50.19
f4238a45bc516bbe,okhttp3/HttpUrl$Builder,130,468,27.78
5eeeefae841758b7,com/looker/droidify/datastore/PreferenceSettingsRepository,130,394,32.99
d363f60d1d339e0e,okhttp3/CipherSuite,127,130,97.69
107a04d57096f4e6,okhttp3/internal/http2/Http2Connection,123,347,35.45
3a13f3cf5d99cb04,androidx/core/app/NotificationCompatBuilder,119,334,35.63
5f5065e6d0a888cc,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,117,464,25.22
09636526383135d6,androidx/fragment/app/FragmentStateManager,113,465,24.3
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,113,530,21.32
f450e6b41b0da118,kotlin/text/StringsKt__StringsKt,113,937,12.06
742ac5131a3e14fe,kotlinx/coroutines/scheduling/CoroutineScheduler,113,306,36.93
0f8ea200d84c0e9e,com/looker/droidify/utility/serialization/ReleaseSerializationKt,112,133,84.21
b820c88a26a5f9b4,androidx/work/impl/WorkerWrapper,111,255,43.53
b803732879c69958,androidx/activity/ComponentActivity,110,317,34.7
5e24be7f9b16ef89,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,109,195,55.9
c95953cf6d985bdb,com/looker/droidify/service/SyncService,109,370,29.46
bc64e6c0219237e9,okhttp3/internal/connection/ConnectPlan,109,300,36.33
3c08514e443f768a,kotlinx/serialization/json/internal/StreamingJsonDecoder,108,257,42.02
9e759c749ab270fe,com/google/android/material/shape/ShapeAppearancePathProvider,107,129,82.95
f496717d9c12111b,androidx/fragment/app/SpecialEffectsController,107,372,28.76
713b8f1ff6bd0d4d,androidx/datastore/core/DataStoreImpl,106,281,37.72
64edad227bccf503,com/looker/droidify/database/Database$RepositoryAdapter,105,208,50.48
131c1fa296f4063d,androidx/constraintlayout/core/widgets/analyzer/Direct,105,669,15.7
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,103,629,16.38
d8b70f42fbd82868,okio/Options$Companion,102,128,79.69
9a299f2999d9f5d1,androidx/core/view/ViewCompat,102,793,12.86
9bec4d04be483302,androidx/room/RoomDatabase,102,303,33.66
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,101,380,26.58
55403275ccdbb4a9,androidx/viewpager2/widget/ViewPager2,101,242,41.74
c4aa43f20da03a72,kotlin/collections/CollectionsKt___CollectionsKt,99,1802,5.49
a5c326065a554fb6,okhttp3/internal/http2/Http2Stream,99,258,38.37
3cf18de831182b5d,androidx/appcompat/widget/ResourceManagerInternal,98,216,45.37
5acf2e39110607b5,androidx/work/impl/Processor,96,158,60.76
82b17a977c13513d,kotlinx/coroutines/selects/SelectImplementation,96,221,43.44
1ad90daff12c495a,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,96,190,50.53
b5b1eb96a23fcaaa,kotlinx/coroutines/EventLoopImplBase,95,191,49.74
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,93,140,66.43
6d26e3b781bb3a7c,okhttp3/internal/concurrent/TaskRunner,92,145,63.45
5f8a40366886ffb0,com/looker/droidify/model/Repository,92,144,63.89
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,92,282,32.62
ccfa66d3b33edd33,com/google/android/material/progressindicator/DrawableWithAnimatedVisibilityChange,90,178,50.56
f3e4368d0cb68c85,com/looker/droidify/index/IndexMerger,90,122,73.77
3da0e02ff7064397,com/google/android/material/shape/ShapeAppearanceModel,89,133,66.92
9f66db637a90334f,androidx/work/impl/model/WorkSpec,89,238,37.39
595626e251611108,okhttp3/OkHttpClient,88,185,47.57
f708964d91a6cfda,com/looker/droidify/model/Product,85,171,49.71
c5889e0484ae3a55,com/google/android/material/progressindicator/LinearDrawingDelegate,84,170,49.41
ae1c7319d8cb61a3,androidx/recyclerview/widget/DefaultItemAnimator,81,349,23.21
dfbb991885176aa6,okhttp3/internal/http2/Hpack,81,84,96.43
2ad685ed5a96952e,com/google/android/material/progressindicator/BaseProgressIndicator,80,308,25.97
14e7636e8073655e,androidx/constraintlayout/widget/ConstraintLayout$Measurer,79,209,37.8
eb39cd2ff121ba48,androidx/work/impl/foreground/SystemForegroundDispatcher,79,153,51.63
2c82034ec6a0fd46,kotlinx/serialization/json/internal/AbstractJsonLexer,78,427,18.27
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,78,292,26.71
09d43cc6f251972e,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,77,293,26.28
aa62a5d7bf2d1c30,okhttp3/ConnectionSpec,77,114,67.54
d86856d212f164c8,com/google/android/material/imageview/ShapeableImageView,76,162,46.91
199bf455c154c302,okhttp3/internal/_UtilCommonKt,76,275,27.64
2daad77b3c1b0ed0,androidx/work/impl/background/systemjob/SystemJobScheduler,75,167,44.91
5c05f2c3f4cc0733,okhttp3/internal/http2/Http2Writer,74,179,41.34
b146cd027996160e,com/looker/droidify/database/Database,73,87,83.91
c3555ec6b5fe0d92,okhttp3/internal/connection/RealConnection,73,212,34.43
d281e9d24b48e8c1,com/looker/droidify/ui/appList/AppListFragment,72,130,55.38
16cea94a84f692ce,kotlin/time/Duration,72,333,21.62
10708fd8e2b5a8b2,androidx/appcompat/view/menu/ActionMenuItemView,70,134,52.24
167c633bfea13653,kotlinx/coroutines/internal/LockFreeLinkedListNode,70,105,66.67
9a402fc3500d5430,kotlinx/coroutines/sync/SemaphoreAndMutexImpl,69,183,37.7
bc593369cadc92e6,okio/RealBufferedSource,69,345,20.0
7eecb02f69998f5a,androidx/core/view/accessibility/AccessibilityNodeInfoCompat$AccessibilityActionCompat,69,128,53.91
ec26d646ff433dad,com/google/android/material/progressindicator/DeterminateDrawable,67,153,43.79
71c2d5f26474cc64,com/google/android/material/button/MaterialButtonHelper,67,198,33.84
1311c90c5bd6bcb8,com/looker/droidify/MainActivity,67,204,32.84
c969c5ecf6771eee,okhttp3/internal/connection/RealConnectionPool,66,228,28.95
4a231fdf0a8659dc,androidx/datastore/preferences/protobuf/UnsafeUtil,66,179,36.87
48a909231ccee764,okio/ByteString,66,267,24.72
40bf7f5b5f5d6bfe,com/google/android/material/appbar/AppBarLayout$BaseBehavior,66,371,17.79
c07e45bb6da18c9b,androidx/datastore/preferences/protobuf/FieldType,65,129,50.39
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,65,283,22.97
05d4ea22e0321538,kotlinx/coroutines/flow/StateFlowImpl,65,96,67.71
d3b0a392628e0e9c,com/looker/droidify/datastore/Settings,65,407,15.97
885021734230d558,com/google/android/material/shape/ShapeAppearanceModel$Builder,65,121,53.72
8ab646412f70136c,kotlinx/serialization/json/internal/ReaderJsonLexer,63,113,55.75
45ee58ce553adb4c,okhttp3/internal/http2/Http2Stream$FramingSource,63,106,59.43
ad072f68e58dd023,androidx/core/content/res/ColorStateListInflaterCompat,63,96,65.62
367e521a8ab95364,androidx/recyclerview/widget/RecyclerView$ViewHolder,63,180,35.0
b82a3093ba3bc2c9,androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement,62,100,62.0
8f208d09ef8ad538,androidx/viewpager2/adapter/FragmentStateAdapter,62,229,27.07
91d143261cad8220,okhttp3/internal/http2/Http2Reader,62,163,38.04
e5d1845a8653563b,androidx/work/impl/background/greedy/GreedyScheduler,60,120,50.0
4f98a04d28a7930a,okhttp3/internal/_UtilJvmKt,60,227,26.43
e01a37a6825ee19a,androidx/coordinatorlayout/widget/DirectedAcyclicGraph,60,71,84.51
66c4ed3ebacdd5aa,okhttp3/internal/http2/Hpack$Reader,60,109,55.05
0212cdc9c27ed8a2,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
e6aa49bdcfe7bd49,com/looker/droidify/database/Database$UpdaterAdapter,60,115,52.17
1112ee2f1cc64706,androidx/fragment/app/FragmentStore,59,222,26.58
548dea932fdc16d2,okhttp3/internal/_HeadersCommonKt,59,162,36.42
4ee2f75399ce371e,androidx/work/impl/model/WorkSpecDao_Impl$1,59,70,84.29
