class_id,class_name,probes_hit,probes_total,pct
faecb07cc81dd792,com/android/calendar/DayView,428,1903,22.49
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,341,938,36.35
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,305,2094,14.57
32644374cd50045f,androidx/fragment/app/FragmentManager,295,1316,22.42
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,256,954,26.83
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,219,1298,16.87
d05c031ec10f5437,com/android/calendar/AllInOneActivity,202,737,27.41
fc107636aba4dcff,com/google/android/material/shape/MaterialShapeDrawable,193,570,33.86
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,187,629,29.73
cda93d66f599b117,com/google/android/material/navigation/NavigationView,184,337,54.6
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,181,825,21.94
353bc5c9c3f2c78d,androidx/fragment/app/Fragment,161,751,21.44
da4a335e59b900a6,androidx/appcompat/widget/SearchView,156,571,27.32
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,148,794,18.64
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,138,483,28.57
b2ee4e2030eed67e,androidx/room/TriggerBasedInvalidationTracker,123,266,46.24
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,113,530,21.32
7fab3bdaf5d38bdc,com/google/android/material/shape/ShapeAppearancePathProvider,110,133,82.71
6ac8ddd1660ab68e,com/android/calendar/Utils,108,775,13.94
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,105,430,24.42
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,103,292,35.27
74067032a7981ce9,androidx/recyclerview/widget/RecyclerView$LayoutManager,101,631,16.01
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,100,380,26.32
eb03522e3b18dbce,com/google/android/material/shape/ShapeAppearanceModel,98,135,72.59
b6ce93796542750c,kotlinx/coroutines/JobSupport,93,787,11.82
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,92,282,32.62
0f48900639bf7d76,androidx/preference/Preference,92,474,19.41
c84065d136308ab6,androidx/room/RoomDatabase,86,285,30.18
5ab9025a13ad6edb,androidx/lifecycle/LifecycleRegistry,83,131,63.36
1516d22695dcbb6f,kotlinx/coroutines/CancellableContinuationImpl,82,385,21.3
4614f301c96a3f2a,androidx/recyclerview/widget/RecyclerView$Recycler,82,533,15.38
1b173fe425d0d267,com/google/android/material/internal/NavigationMenuPresenter,81,160,50.62
3cf18de831182b5d,androidx/appcompat/widget/ResourceManagerInternal,79,216,36.57
21012f793c3e8420,com/google/android/material/shape/ShapeAppearanceModel$Builder,78,121,64.46
f44118b3292f5d1d,com/google/android/material/floatingactionbutton/FloatingActionButton,77,244,31.56
2a3e629ac7d06bc9,com/android/calendar/CalendarController,77,264,29.17
ad09c54276c1f843,com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuAdapter,76,230,33.04
c496254a6aa0a19e,androidx/activity/ComponentActivity,74,226,32.74
b389eab307bd77a9,androidx/appcompat/view/SupportMenuInflater$MenuState,73,111,65.77
ec412d971dd622eb,com/google/android/material/floatingactionbutton/FloatingActionButtonImpl,72,361,19.94
6b8d733f6bc97b9f,kotlinx/coroutines/channels/BufferedChannel,71,1716,4.14
40bf7f5b5f5d6bfe,com/google/android/material/appbar/AppBarLayout$BaseBehavior,68,371,18.33
fdb8af9db730e999,com/google/android/material/internal/NavigationMenuItemView,67,124,54.03
10708fd8e2b5a8b2,androidx/appcompat/view/menu/ActionMenuItemView,67,134,50.0
78d534e2e06c6594,androidx/fragment/app/SpecialEffectsController,66,166,39.76
556750710555b04c,androidx/collection/MutableScatterMap,64,264,24.24
40e6ce47d7068da4,androidx/core/content/res/ColorStateListInflaterCompat,63,96,65.62
2db0cc64e927b6b5,com/google/android/material/shape/ShapePath,61,113,53.98
63724b760f68943d,androidx/startup/AppInitializer,60,86,69.77
e01a37a6825ee19a,androidx/coordinatorlayout/widget/DirectedAcyclicGraph,60,71,84.51
