class_id,class_name,probes_hit,probes_total,pct
044ddadea10e405d,androidx/appcompat/widget/Toolbar,362,941,38.47
adf6bef78ba68364,androidx/fragment/app/FragmentManager,305,1386,22.01
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,276,1317,20.96
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,245,625,39.2
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,239,645,37.05
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,216,598,36.12
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,213,1299,16.4
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,212,1610,13.17
fcacac7cc0132973,com/heinrichreimersoftware/materialintro/app/IntroActivity,206,614,33.55
2759aeaa24f1d615,androidx/fragment/app/Fragment,167,745,22.42
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,160,825,19.39
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,138,460,30.0
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,110,274,40.15
9e680b07fe7052f0,com/easyfitness/MainActivity,108,614,17.59
25dadc5426a6e3ef,androidx/appcompat/widget/AppCompatTextHelper,104,379,27.44
8fede959487f34b3,androidx/fragment/app/FragmentStateManager,98,410,23.9
061f3c0737e40b3e,com/heinrichreimersoftware/materialintro/view/InkPageIndicator,96,222,43.24
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,94,137,68.61
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,89,527,16.89
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,86,193,44.56
c6f565e812dd7c84,com/ogaclejapan/smarttablayout/SmartTabStrip,86,143,60.14
51458b69cce0cd0c,androidx/fragment/app/SpecialEffectsController,85,153,55.56
ea5b16a6c0f6108f,androidx/appcompat/widget/ActionMenuPresenter,81,282,28.72
f74089556c98abbd,kotlin/jvm/internal/ClassReference,75,121,61.98
1d113fe46cfb0af8,com/ogaclejapan/smarttablayout/SmartTabLayout,74,168,44.05
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,74,297,24.92
2c4717c33b2ea17c,com/easyfitness/fonte/FontesFragment,71,537,13.22
ad26e5bd8b6b29a1,androidx/appcompat/widget/AppCompatSpinner,71,209,33.97
d81a6a990b19726b,androidx/appcompat/graphics/drawable/DrawerArrowDrawable,70,123,56.91
ef3f81be62cf5b0c,androidx/appcompat/app/AppCompatViewInflater,69,173,39.88
44e4ca35ad3687a0,androidx/appcompat/widget/AppCompatTextView,66,243,27.16
aa122665a1f7fd3f,androidx/activity/ComponentActivity,66,214,30.84
661d99f1f903336d,com/mikhaellopez/circularimageview/CircularImageView,66,127,51.97
cf5364aabe6fbb89,com/easyfitness/views/SingleValueInputView,66,121,54.55
8b55f84748bc303e,androidx/appcompat/view/menu/ActionMenuItemView,66,134,49.25
e5e8d05c24113431,androidx/fragment/app/FragmentStore,65,209,31.1
971374f567bb91ae,com/easyfitness/intro/MainIntroActivity,64,67,95.52
e270e2a644787839,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
4996d0c46affa84b,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,59,182,32.42
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,57,221,25.79
9272d73b6d735387,androidx/collection/ArraySet,54,219,24.66
d86ada52df5298c3,androidx/appcompat/view/SupportMenuInflater$MenuState,53,111,47.75
75ad94f961d21ab5,androidx/appcompat/widget/ToolbarWidgetWrapper,52,260,20.0
d0773c01b8739005,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,51,226,22.57
9b07b4aef28d3e54,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,50,277,18.05
b1f52c25e4e6b9db,com/easyfitness/views/WorkoutValuesInputView,49,165,29.7
9f7c50df2c6e5611,androidx/fragment/app/DefaultSpecialEffectsController,49,333,14.71
b3523ac2832e9fdf,com/heinrichreimersoftware/materialintro/slide/SimpleSlide$SimpleSlideFragment,48,87,55.17
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,46,159,28.93
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,45,508,8.86
8db84235c321ed0e,androidx/core/content/FileProvider,43,126,34.13
ec45d1beef1a05d1,androidx/core/view/ViewCompat,43,884,4.86
21b9b531ec03a9a3,androidx/appcompat/widget/ActionMenuView,42,318,13.21
43d8c63672c84924,com/easyfitness/DAO/DatabaseHelper,41,188,21.81
4dabd8d9ebe2cb8d,androidx/fragment/app/FragmentActivity,40,125,32.0
610115570643abe0,androidx/fragment/app/BackStackRecord,40,355,11.27
7674ba6f83c8d340,androidx/appcompat/widget/AppCompatEditText,38,119,31.93
5958734fbbdc1762,androidx/emoji2/text/SpannableBuilder,38,102,37.25
25cad9931e7defb6,androidx/appcompat/widget/AppCompatAutoCompleteTextView,37,95,38.95
50725aa1e1cf045b,com/easyfitness/utils/MusicController,37,202,18.32
af9b61d318e65139,androidx/lifecycle/LiveData,35,95,36.84
15fc7dbb61588ca0,androidx/appcompat/app/AppCompatActivity,34,142,23.94
1bbdec020736a791,androidx/appcompat/widget/AppCompatImageHelper,34,99,34.34
473aca648c09e69f,androidx/appcompat/widget/AppCompatCheckBox,34,91,37.36
f256ae16290e50a9,androidx/appcompat/app/ToolbarActionBar,33,153,21.57
7383bf6e5126b674,com/heinrichreimersoftware/materialintro/slide/SimpleSlide,33,122,27.05
e2ea0428be97d0c2,androidx/lifecycle/ReportFragment,32,51,62.75
753a775dbf9e6c69,androidx/cardview/widget/RoundRectDrawable,32,85,37.65
f62eeb29f97a8c2c,androidx/appcompat/widget/TintTypedArray,31,62,50.0
7f3c4943d110c273,androidx/appcompat/app/AppCompatDelegate,31,120,25.83
193db44406d3dd0c,androidx/constraintlayout/core/widgets/ConstraintAnchor,31,180,17.22
e4297ca781b1e21c,androidx/collection/SimpleArrayMap,31,266,11.65
fae0a9e9bbd5875a,androidx/appcompat/widget/ListPopupWindow,31,366,8.47
8f57e1ddcbf00291,androidx/fragment/app/FragmentPagerAdapter,31,59,52.54
18bfcce155c2c154,androidx/arch/core/internal/SafeIterableMap,30,73,41.1
d6c54273311e9574,androidx/appcompat/widget/AppCompatButton,30,140,21.43
abe50e6cd8aa338e,androidx/cardview/widget/CardView,30,84,35.71
3dc60760d31da52e,androidx/appcompat/view/menu/BaseMenuPresenter,29,64,45.31
7a0fecb02115ad76,androidx/appcompat/widget/AppCompatImageView,29,84,34.52
4bd8366d61712ff1,androidx/fragment/app/SpecialEffectsController$Operation,29,73,39.73
ef24017a4383eea6,com/easyfitness/fonte/FontesPagerFragment,29,42,69.05
b1b7bb2fdb4d182b,androidx/appcompat/view/ContextThemeWrapper,27,55,49.09
8ffed49275d6901a,androidx/appcompat/widget/AppCompatImageButton,27,81,33.33
e6c3eb535f9ed4c0,androidx/lifecycle/ViewModelProvider,27,36,75.0
f3505722758fef0e,androidx/appcompat/view/SupportMenuInflater,27,66,40.91
4ba353587aac9f75,com/easyfitness/programs/ProgramRunnerFragment,26,193,13.47
9b0b3fb5e0b1846a,androidx/appcompat/widget/AppCompatBackgroundHelper,25,85,29.41
bf492c8d23e35ccc,com/heinrichreimersoftware/materialintro/slide/SimpleSlide$Builder,25,52,48.08
cb81c30b2710eb67,androidx/appcompat/widget/ContentFrameLayout,24,93,25.81
100157731300e12e,androidx/appcompat/widget/AppCompatSeekBarHelper,23,84,27.38
cf468517b8ba0734,androidx/lifecycle/ProcessLifecycleOwner,23,37,62.16
