class_id,class_name,probes_hit,probes_total,pct
68389117fb61b577,com/nononsenseapps/feeder/ui/compose/feed/FeedScreenKt,1582,3307,47.84
df0ad7cbfde5bf3c,androidx/compose/runtime/ComposerImpl,941,1752,53.71
dab454cd971008be,androidx/compose/runtime/SlotWriter,646,1228,52.61
e8765b5f25cc9e01,androidx/compose/ui/node/LayoutNode,522,1146,45.55
e3066f9de1662f9c,androidx/compose/runtime/CompositionImpl,507,1204,42.11
2787d825f22c3780,com/nononsenseapps/feeder/ui/compose/navdrawer/NavDrawerKt,500,1113,44.92
ab69ea988c0efc14,androidx/compose/ui/platform/AndroidComposeView,464,1617,28.7
6f74824ea817238b,androidx/compose/ui/node/NodeCoordinator,431,1226,35.15
ffb8804dd695df8a,com/nononsenseapps/feeder/ui/compose/feed/FeedItemCardKt,378,796,47.49
200ee90c3a7f235f,kotlinx/coroutines/JobSupport,377,790,47.72
25d3aed2017f6204,kotlinx/coroutines/channels/BufferedChannel,373,1770,21.07
b5675e20267da840,com/nononsenseapps/feeder/ui/compose/feed/SwipeableFeedItemPreviewKt,359,626,57.35
8a0e8be6660eb279,com/nononsenseapps/feeder/ui/compose/material3/NavigationDrawerKt,350,1333,26.26
9bece83ad3349907,androidx/compose/ui/node/MeasurePassDelegate,315,510,61.76
1107e7feed9890a8,androidx/compose/material3/AppBarKt,314,2475,12.69
fc048a72829f7c6b,com/nononsenseapps/feeder/db/room/FeedDao_Impl,309,1617,19.11
f8343433a7ee4c32,androidx/navigation/internal/NavControllerImpl,308,1470,20.95
ba03aa27376ce63f,androidx/navigation/compose/NavHostKt,304,1155,26.32
f62d6dc5e5f0e499,androidx/compose/material3/tokens/TypeScaleTokens,304,304,100.0
ae94ac2b84c5e155,com/nononsenseapps/feeder/model/RssLocalSync,303,613,49.43
65872a7fa3aaccc8,com/nononsenseapps/feeder/ui/compose/pullrefresh/PullToRefreshIndicatorKt,291,364,79.95
9f6952dbfc5ed23e,androidx/compose/runtime/Recomposer,284,1009,28.15
88e5227b6f800513,androidx/compose/runtime/snapshots/SnapshotKt,272,453,60.04
3dda660e96a91928,okio/Buffer,262,860,30.47
378b821a728d7ef9,com/nononsenseapps/feeder/FeederApplication,256,284,90.14
44d713998705edcf,androidx/compose/animation/AnimatedVisibilityKt,241,685,35.18
6fa43845e91d19e2,androidx/compose/animation/core/TransitionKt,232,980,23.67
61abff22fd7da38d,androidx/compose/ui/node/MeasureAndLayoutDelegate,231,632,36.55
