class_id,class_name,probes_hit,probes_total,pct
9874c3c7909dab7f,org/mozilla/rocket/di/DaggerAppComponent,283,570,49.65
7e037b2888d3d94a,org/mozilla/focus/search/SearchEngineParser,65,96,67.71
56ad365316a49d81,org/mozilla/focus/utils/FirebaseHelper,41,124,33.06
e53deeaf977cb9b7,org/mozilla/focus/FocusApplication,39,83,46.99
c189f887eea4c743,org/mozilla/focus/search/SearchEngineManager,36,73,49.32
4897e5d4d83104f4,org/mozilla/focus/telemetry/TelemetryWrapper$init$2,34,34,100.0
8f6160ecfb412c9c,org/mozilla/focus/utils/Browsers,33,87,37.93
e481065106167129,org/mozilla/focus/widget/LocaleListPreference,28,73,38.36
e03369cd7dfb250a,org/mozilla/focus/utils/Browsers$KnownBrowser,25,26,96.15
8d8cddf70c99886e,org/mozilla/focus/locale/LocaleManager,18,72,25.0
6c011b69ee30b6ec,org/mozilla/rocket/partner/PartnerActivator,15,43,34.88
a28c6d20f091ad5b,org/mozilla/focus/JacocoInstrument/JacocoInstrumentation,12,53,22.64
557a4ecfc81bcac8,org/mozilla/focus/telemetry/TelemetryWrapper,12,970,1.24
f11aba4f91d1235c,org/mozilla/focus/telemetry/TelemetryWrapper$CustomSettingsProvider,12,26,46.15
93f5033e177085eb,org/mozilla/rocket/abtesting/LocalAbTesting,11,134,8.21
66025344367db766,org/mozilla/focus/utils/AppConstants,10,26,38.46
95fdb56ff1bd5b81,org/mozilla/rocket/persistance/History/HistoryDatabase_Impl,10,38,26.32
c1ce0a11515c0f8c,org/mozilla/rocket/persistance/History/HistoryDatabase,10,13,76.92
9b100f9cdc387a47,org/mozilla/focus/locale/Locales,9,45,20.0
d7e4902c7e54b687,org/mozilla/focus/history/BrowsingHistoryManager,9,38,23.68
c160a6a8208b3e9e,org/mozilla/rocket/partner/PartnerUtil,9,37,24.32
c363d275dc181be6,org/mozilla/focus/utils/IOUtils,8,42,19.05
dc2feefa68396bbd,org/mozilla/focus/screenshot/ScreenshotManager,8,89,8.99
d3852e3de102ed7f,org/mozilla/rocket/theme/ThemeManager$ThemeSet,8,8,100.0
cfbdcfaa7e3f623b,org/mozilla/focus/provider/SettingProvider,7,24,29.17
7f6172564cfbb352,org/mozilla/rocket/partner/PartnerActivator$Status,7,7,100.0
27b44626339a8f47,org/mozilla/rocket/theme/ThemeManager,7,33,21.21
dfb80f86d1161091,org/mozilla/focus/utils/Settings,7,123,5.69
0f7f6ef2e523d434,org/mozilla/focus/telemetry/TelemetryWrapper$CaptureCountMeasurement,6,18,33.33
e23dee9c9f92a5e5,org/mozilla/focus/provider/DownloadInfoDbHelper,6,9,66.67
d9c07510e13b4505,org/mozilla/focus/download/DownloadInfoManager,6,146,4.11
d98f51b78bd366f3,org/mozilla/focus/telemetry/TelemetryWrapper$isTelemetryEnabled$2,6,6,100.0
67b863f7ecd459b1,org/mozilla/rocket/partner/PartnerActivator$1,6,10,60.0
fd3623b78dd8ced3,org/mozilla/focus/notification/NotificationUtil,6,32,18.75
1b5b53ff3c478719,org/mozilla/rocket/partner/PartnerActivator$QueryActivationStatus,6,12,50.0
b2a4baec5a2d7e37,org/mozilla/focus/provider/ScreenshotProvider,5,23,21.74
