[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Calendar-_1.10.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-ee88b1ce": Wed Sep 02 13:45:48 UTC 2026 - Wed Sep 02 13:46:09 UTC 2026
2fe0122c6b4d8683    1 of   9   com/google/gson/internal/bind/TypeAdapters$23
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
883ce2c85f6c4d9d   25 of  30   androidx/constraintlayout/core/widgets/Optimizer
db1443c7a7f1e725   12 of  38   kotlinx/coroutines/internal/ThreadContextKt
552ac92e3004b407    4 of  34   androidx/activity/ComponentActivity$ReportFullyDrawnExecutorImpl
2882dd08b8961d1b    2 of   4   androidx/lifecycle/viewmodel/CreationExtras$Companion
8d49ac84b88bd94c    9 of   9   androidx/fragment/app/SpecialEffectsController$Companion
ff92934f2c520084    7 of   9   androidx/sqlite/driver/SupportSQLiteConnection
e16823019142f320   29 of 135   androidx/appcompat/app/AppCompatDelegate
5949943bbd9340ed    2 of   4   androidx/work/impl/Migration_11_12
901c2a9d17d7455b    7 of  16   androidx/work/ConfigurationKt
00416f18ae28897f   29 of 121   androidx/savedstate/internal/SavedStateRegistryImpl
0cafa113a3d9ae76    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
875202b75b7a2e8a   37 of 120   androidx/navigationevent/NavigationEventDispatcher
8ee31b2f7e83a355    7 of  41   androidx/work/Logger$LogcatLogger
bf15511bece282f6    3 of   3   androidx/work/impl/model/WorkProgressDao_Impl$Companion
2daad77b3c1b0ed0   72 of 167   androidx/work/impl/background/systemjob/SystemJobScheduler
3f8e69061f18f98a    2 of  19   androidx/work/impl/constraints/controllers/NetworkUnmeteredController
d1f3fc3772b44f6a    2 of   3   androidx/work/impl/utils/NetworkRequestCompat$Companion
64da9a9b264e1815    6 of  33   kotlin/ranges/IntProgression
87e1598c054cb33b    7 of  72   androidx/constraintlayout/core/SolverVariable
4802628c9b2431b1   10 of  21   org/joda/time/field/PreciseDurationDateTimeField
3098cd6f12b31f58    4 of  26   kotlin/collections/CollectionsKt__IterablesKt
8ff58a434dd5087f    1 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
fd5ad9fd71d0756a    4 of   4   androidx/work/impl/model/WorkTag
5cf24abe4ab974e8    1 of   3   androidx/core/content/res/ResourcesCompat$Api23Impl
684c2a79904df258    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
7b3a759412d0345e    1 of  13   com/google/gson/internal/bind/TypeAdapters$11
