class_id,class_name,probes_hit,probes_total,pct
64a7ea8d3483b4a2,androidx/work/impl/model/WorkSpecDao_Impl,469,1858,25.24
d9e5c34f10ed61de,androidx/fragment/app/FragmentManager,345,1346,25.63
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,299,1317,22.7
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,282,2094,13.47
8db12c2cb5c065d8,androidx/constraintlayout/core/widgets/ConstraintWidget,255,1652,15.44
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,243,954,25.47
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,236,938,25.16
131c1fa296f4063d,androidx/constraintlayout/core/widgets/analyzer/Direct,232,669,34.68
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,222,1298,17.1
da9c297a5681dc7a,androidx/constraintlayout/widget/ConstraintLayout,219,610,35.9
47a0003650063a22,org/fossify/calendar/activities/MainActivity,211,1140,18.51
b9b641d79f41727b,org/fossify/calendar/interfaces/EventsDao_Impl,181,2325,7.78
b09d80d4560cb180,androidx/fragment/app/Fragment,180,757,23.78
954c39f59db9f1f6,kotlinx/coroutines/JobSupport,177,790,22.41
cc366f025c1885dd,com/google/android/material/shape/MaterialShapeDrawable,176,525,33.52
5f5065e6d0a888cc,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,146,464,31.47
7b0b50018584ecba,org/fossify/calendar/views/MonthView,142,399,35.59
91278e68fc2393a2,androidx/room/TriggerBasedInvalidationTracker,133,265,50.19
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,127,483,26.29
c4560b4089076247,org/joda/time/chrono/AssembledChronology,127,192,66.15
b803732879c69958,androidx/activity/ComponentActivity,122,317,38.49
09d43cc6f251972e,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,114,293,38.91
092cd20fac31b6c7,androidx/fragment/app/SpecialEffectsController,114,208,54.81
efcd1b944dca4cac,androidx/fragment/app/FragmentStateManager,111,455,24.4
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,109,283,38.52
9e759c749ab270fe,com/google/android/material/shape/ShapeAppearancePathProvider,107,129,82.95
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,107,282,37.94
9bec4d04be483302,androidx/room/RoomDatabase,102,303,33.66
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,100,629,15.9
3860a6460b4b0e66,kotlinx/coroutines/CancellableContinuationImpl,98,382,25.65
b820c88a26a5f9b4,androidx/work/impl/WorkerWrapper,98,255,38.43
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,95,530,17.92
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,94,794,11.84
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,93,140,66.43
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,89,380,23.42
6d063058ee3b1936,androidx/swiperefreshlayout/widget/SwipeRefreshLayout,87,431,20.19
4e9777287ba4471c,org/fossify/calendar/extensions/ContextKt,86,870,9.89
2072d6349e9a69e8,kotlinx/coroutines/channels/BufferedChannel,84,1770,4.75
acc841d38a9e04e7,androidx/fragment/app/DefaultSpecialEffectsController,83,467,17.77
ed23e2c18290c2f7,com/google/android/material/shape/ShapeAppearanceModel,83,125,66.4
afc85c0e8ef32079,org/joda/time/chrono/BasicChronology,80,180,44.44
9f66db637a90334f,androidx/work/impl/model/WorkSpec,79,238,33.19
