[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Clock-_1.6.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-7a2cdb36": Wed Sep 02 13:46:11 UTC 2026 - Wed Sep 02 13:46:32 UTC 2026
8ded723e7ecfa91c   11 of  23   org/fossify/clock/databinding/FragmentClockBinding
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
2fe0122c6b4d8683    1 of   9   com/google/gson/internal/bind/TypeAdapters$23
883ce2c85f6c4d9d   24 of  30   androidx/constraintlayout/core/widgets/Optimizer
552ac92e3004b407    4 of  34   androidx/activity/ComponentActivity$ReportFullyDrawnExecutorImpl
2882dd08b8961d1b    2 of   4   androidx/lifecycle/viewmodel/CreationExtras$Companion
0d7c614f88a96c92    8 of  12   androidx/recyclerview/widget/AsyncDifferConfig$Builder
27935924421b0ca5   36 of 143   kotlinx/coroutines/internal/DispatchedContinuationKt
8d49ac84b88bd94c    9 of   9   androidx/fragment/app/SpecialEffectsController$Companion
e16823019142f320   29 of 135   androidx/appcompat/app/AppCompatDelegate
ff92934f2c520084    7 of   9   androidx/sqlite/driver/SupportSQLiteConnection
38a6187b00c40815   18 of 149   org/fossify/commons/views/MyRecyclerView
00416f18ae28897f   29 of 121   androidx/savedstate/internal/SavedStateRegistryImpl
15fbad64447614fb   12 of  13   org/fossify/clock/helpers/DBHelper$Companion
875202b75b7a2e8a   37 of 120   androidx/navigationevent/NavigationEventDispatcher
68ae52666b0591db   12 of  39   org/fossify/commons/helpers/AppLockManager
64da9a9b264e1815    9 of  33   kotlin/ranges/IntProgression
87e1598c054cb33b   29 of  72   androidx/constraintlayout/core/SolverVariable
3098cd6f12b31f58    4 of  26   kotlin/collections/CollectionsKt__IterablesKt
8ff58a434dd5087f    1 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
0466be0d30f94a8f    1 of   9   org/fossify/clock/adapters/StopwatchAdapter$LapDiffCallback
684c2a79904df258    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
2688539e4de1f8d7    7 of  16   org/greenrobot/eventbus/android/AndroidDependenciesDetector
7b3a759412d0345e    1 of  13   com/google/gson/internal/bind/TypeAdapters$11
a71e5e0fb3e2ead2   13 of 137   androidx/core/view/WindowInsetsCompat$Impl20
3ba48aed5265c30e    2 of   3   androidx/navigationevent/NavigationEventTransitionState$Idle
8e8faeb08912610f   27 of  72   com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior
200ee90c3a7f235f   91 of 790   kotlinx/coroutines/JobSupport
c604c8602a7a043d    3 of  24   androidx/activity/OnBackPressedCallbackInfo
ab28bd5384039a5b    2 of  15   org/fossify/commons/activities/BaseSimpleActivity$copyMoveListener$1
018b64ead7d97a9c   54 of 156   org/fossify/clock/adapters/TimerAdapter
628bb93cc81e3380    1 of  23   com/google/gson/internal/sql/SqlTimeTypeAdapter
260914101ad270e1    3 of   5   com/google/gson/internal/sql/SqlTimeTypeAdapter$1
