class_id,class_name,probes_hit,probes_total,pct
8db12c2cb5c065d8,androidx/constraintlayout/core/widgets/ConstraintWidget,437,1652,26.45
d9e5c34f10ed61de,androidx/fragment/app/FragmentManager,307,1346,22.81
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,276,1317,20.96
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,262,938,27.93
131c1fa296f4063d,androidx/constraintlayout/core/widgets/analyzer/Direct,257,669,38.42
f6195fee0ca31fe5,com/google/android/material/tabs/TabLayout,253,668,37.87
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,248,954,26.0
da9c297a5681dc7a,androidx/constraintlayout/widget/ConstraintLayout,236,610,38.69
fd60b72b3847c98b,androidx/appcompat/widget/SwitchCompat,230,571,40.28
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,222,1298,17.1
c8e1f4ba7b591481,androidx/constraintlayout/core/LinearSystem,206,510,40.39
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,199,794,25.06
5f5065e6d0a888cc,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,181,464,39.01
b09d80d4560cb180,androidx/fragment/app/Fragment,177,757,23.38
cc366f025c1885dd,com/google/android/material/shape/MaterialShapeDrawable,176,525,33.52
2c7ff72a151afa59,org/fossify/clock/activities/MainActivity,148,276,53.62
4a63a0ead9b3e94a,com/google/android/material/tabs/TabLayout$TabView,146,364,40.11
cfd70bf5ed99e849,com/google/gson/Gson,142,267,53.18
c8eda23bec3eb411,androidx/constraintlayout/core/ArrayLinkedVariables,133,201,66.17
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,127,483,26.29
e1f6e446da979687,androidx/constraintlayout/core/ArrayRow,126,311,40.51
09d43cc6f251972e,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,124,293,42.32
b803732879c69958,androidx/activity/ComponentActivity,122,317,38.49
c066a3752cfb8a75,androidx/constraintlayout/core/widgets/Chain,113,258,43.8
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,109,283,38.52
9e759c749ab270fe,com/google/android/material/shape/ShapeAppearancePathProvider,107,129,82.95
092cd20fac31b6c7,androidx/fragment/app/SpecialEffectsController,107,208,51.44
efcd1b944dca4cac,androidx/fragment/app/FragmentStateManager,106,455,23.3
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,101,380,26.58
14e7636e8073655e,androidx/constraintlayout/widget/ConstraintLayout$Measurer,98,209,46.89
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,98,629,15.58
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,95,282,33.69
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,95,530,17.92
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,93,140,66.43
200ee90c3a7f235f,kotlinx/coroutines/JobSupport,91,790,11.52
742ac5131a3e14fe,kotlinx/coroutines/scheduling/CoroutineScheduler,88,306,28.76
138606692656eeb3,org/greenrobot/eventbus/EventBus,84,248,33.87
acc841d38a9e04e7,androidx/fragment/app/DefaultSpecialEffectsController,83,467,17.77
ed23e2c18290c2f7,com/google/android/material/shape/ShapeAppearanceModel,83,125,66.4
91278e68fc2393a2,androidx/room/TriggerBasedInvalidationTracker,82,265,30.94
6e6383d4bf7b1b22,androidx/recyclerview/widget/DefaultItemAnimator,82,349,23.5
fbe995f20238168d,org/fossify/clock/fragments/StopwatchFragment,79,158,50.0
95a77429f505f04c,org/fossify/commons/extensions/ContextKt,76,1161,6.55
3cc89858b7142d4b,com/google/android/material/floatingactionbutton/FloatingActionButtonImpl,75,360,20.83
c70502aba2e1e821,com/google/android/material/floatingactionbutton/FloatingActionButton,75,234,32.05
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,74,292,25.34
5e24be7f9b16ef89,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,74,195,37.95
9a299f2999d9f5d1,androidx/core/view/ViewCompat,73,793,9.21
07bda96c879db858,com/google/android/material/materialswitch/MaterialSwitch,70,119,58.82
a78660e59a52aaca,com/google/gson/stream/JsonReader,70,547,12.8
87b96c127cafd989,org/fossify/commons/extensions/Context_stylingKt,67,275,24.36
65a14d900f9af74c,org/fossify/commons/activities/EdgeToEdgeActivity,66,142,46.48
40bf7f5b5f5d6bfe,com/google/android/material/appbar/AppBarLayout$BaseBehavior,66,371,17.79
4350dbcb24ec95c9,com/google/android/material/shape/ShapeAppearanceModel$Builder,65,108,60.19
10708fd8e2b5a8b2,androidx/appcompat/view/menu/ActionMenuItemView,65,134,48.51
42e38c89a86450da,org/fossify/clock/fragments/TimerFragment,65,193,33.68
a84e61b56ff5d815,org/fossify/clock/extensions/ContextKt,64,343,18.66
3076143d0cc457ae,com/google/gson/stream/JsonWriter,64,210,30.48
571c4d1fc1724cea,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,64,227,28.19
a83c9087e7d10617,org/fossify/clock/helpers/DBHelper,62,136,45.59
1112ee2f1cc64706,androidx/fragment/app/FragmentStore,61,222,27.48
2db0cc64e927b6b5,com/google/android/material/shape/ShapePath,61,113,53.98
922e8e64d164fa38,org/fossify/commons/extensions/Context_storageKt,61,1144,5.33
e01a37a6825ee19a,androidx/coordinatorlayout/widget/DirectedAcyclicGraph,60,71,84.51
0212cdc9c27ed8a2,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
39e75e77d71a46c4,org/fossify/commons/helpers/BaseConfig,60,406,14.78
4fe86372e4b08fb3,androidx/recyclerview/widget/DiffUtil,60,99,60.61
f450e6b41b0da118,kotlin/text/StringsKt__StringsKt,59,937,6.3
9066e61d45547985,androidx/collection/ArraySet,59,239,24.69
ad072f68e58dd023,androidx/core/content/res/ColorStateListInflaterCompat,59,96,61.46
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
fe7cb652258643f2,com/google/gson/internal/bind/TypeAdapters,58,61,95.08
bc3c85cbab8605bc,org/fossify/clock/fragments/ClockFragment,58,127,45.67
167c633bfea13653,kotlinx/coroutines/internal/LockFreeLinkedListNode,57,105,54.29
018b64ead7d97a9c,org/fossify/clock/adapters/TimerAdapter,54,156,34.62
1ef7f6de917c0a2e,androidx/appcompat/widget/AppCompatTextView,54,258,20.93
b389eab307bd77a9,androidx/appcompat/view/SupportMenuInflater$MenuState,53,111,47.75
add1df43b13b6760,androidx/collection/SimpleArrayMap,52,268,19.4
7ec10a2290167ebd,com/google/android/material/tabs/TabLayout$SlidingTabIndicator,51,126,40.48
10149144d6a03bb0,androidx/constraintlayout/core/widgets/ChainHead,49,89,55.06
b5b1eb96a23fcaaa,kotlinx/coroutines/EventLoopImplBase,49,191,25.65
45fab3b5627cc603,androidx/emoji2/text/EmojiCompat,48,169,28.4
5a5b543b85f4a0e1,androidx/recyclerview/widget/AdapterHelper,48,261,18.39
cb412adb49b70e10,org/fossify/clock/interfaces/TimerDao_Impl,47,152,30.92
03156804560703a2,org/fossify/commons/extensions/ViewKt,47,160,29.38
3d7ae811b10dcf84,org/fossify/clock/adapters/AlarmsAdapter,46,138,33.33
38040adc134f0bb3,me/grantland/widget/AutofitHelper,45,154,29.22
b82a3093ba3bc2c9,androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement,44,100,44.0
3933f4d494d1f1cd,org/fossify/commons/activities/BaseSimpleActivity,44,868,5.07
e02fe8d2bd5f16bc,androidx/room/BaseRoomConnectionManager,44,208,21.15
b8d06c4f43697794,androidx/recyclerview/widget/DiffUtil$DiffResult,43,114,37.72
189d1e841728c1de,androidx/appcompat/widget/ActionMenuView,43,318,13.52
dee005a01b9a13a0,org/greenrobot/eventbus/SubscriberMethodFinder,43,94,45.74
60300f101a5fa0e2,org/fossify/clock/fragments/AlarmFragment,43,175,24.57
69572dd5c24fa600,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper,41,107,38.32
a4f48575c5fe7e08,org/fossify/clock/views/MyTextClock,41,58,70.69
c5295a42a2ad793a,androidx/lifecycle/ClassesInfoCache,41,66,62.12
ffcb5cd392e1f7f8,androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams,41,113,36.28
e485ed37109c9fd4,com/google/gson/internal/LinkedTreeMap,41,176,23.3
028eb6a418e3cd47,com/google/android/material/appbar/HeaderScrollingViewBehavior,40,68,58.82
9646070b3f80a2c4,androidx/constraintlayout/core/PriorityGoalRow,40,57,70.18
8be72fe98a5163ed,androidx/recyclerview/widget/ViewInfoStore,40,85,47.06
ef67727ace1bac58,androidx/fragment/app/FragmentActivity,40,112,35.71
85ca33fd03037424,androidx/constraintlayout/core/widgets/ConstraintAnchor,38,180,21.11
875202b75b7a2e8a,androidx/navigationevent/NavigationEventDispatcher,37,120,30.83
067787285590155f,androidx/sqlite/driver/SupportSQLiteStatement$Companion,37,73,50.68
5862a5d13e7921df,kotlin/collections/ArrayDeque,37,381,9.71
234a124ee3ae5999,androidx/room/coroutines/PassthroughConnection,37,94,39.36
9de763b779c623a0,com/google/android/material/textview/MaterialTextView,37,45,82.22
1c8163d1bf037d8d,kotlin/collections/builders/ListBuilder,37,144,25.69
27935924421b0ca5,kotlinx/coroutines/internal/DispatchedContinuationKt,36,143,25.17
32cf122b7d7801d1,org/fossify/commons/adapters/MyRecyclerViewListAdapter,36,219,16.44
85616710c4ddbc7e,androidx/recyclerview/widget/ItemTouchHelper,35,414,8.45
4a5fc5dff879e46b,androidx/appcompat/app/AppCompatViewInflater,35,169,20.71
a76a050e17370e8b,androidx/appcompat/widget/AppCompatImageHelper,35,99,35.35
86b02bf8f3cbc9a6,org/fossify/commons/views/MyAppBarLayout,35,52,67.31
792ede3029856168,androidx/activity/result/ActivityResultRegistry,35,153,22.88
856ffe98f45aaa86,androidx/core/view/WindowInsetsCompat,34,132,25.76
f04b450d75f36a10,androidx/appcompat/view/menu/BaseMenuPresenter,33,64,51.56
33e0c49baf25c3ba,androidx/appcompat/widget/AppCompatImageView,33,84,39.29
640b22621469cfe0,com/google/gson/internal/bind/JsonElementTypeAdapter,33,68,48.53
5fde4b8403509d66,androidx/profileinstaller/ProfileVerifier,32,83,38.55
4613a77d93abe169,org/fossify/commons/adapters/MyRecyclerViewAdapter,32,207,15.46
4ae1f6b71b8b5932,androidx/fragment/app/FragmentStatePagerAdapter,32,114,28.07
a3c90b4990d36f50,androidx/recyclerview/widget/ChildHelper,32,93,34.41
5f7021cf5cec890a,androidx/appcompat/widget/TintTypedArray,31,62,50.0
0a3b9ca54fba0e35,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,31,182,17.03
4525e8e4d58ed035,androidx/appcompat/app/AppCompatActivity,30,138,21.74
c0da8612d6c53226,androidx/fragment/app/SpecialEffectsController$Operation,30,84,35.71
46c1168da01c5a34,androidx/room/TriggerBasedInvalidationTracker$syncTriggers$2$1,30,57,52.63
6e2ac7470569625c,androidx/appcompat/view/SupportMenuInflater,30,75,40.0
e16823019142f320,androidx/appcompat/app/AppCompatDelegate,29,135,21.48
00416f18ae28897f,androidx/savedstate/internal/SavedStateRegistryImpl,29,121,23.97
87e1598c054cb33b,androidx/constraintlayout/core/SolverVariable,29,72,40.28
74f0c89b7522a1e1,androidx/appcompat/view/ContextThemeWrapper,29,51,56.86
df971add4e637af9,androidx/lifecycle/Lifecycling,29,90,32.22
82c8852dcad51e65,androidx/fragment/app/BackStackRecord,29,301,9.63
d02a6761e1226db0,androidx/concurrent/futures/AbstractResolvableFuture,29,302,9.6
5f45084139ca28c8,androidx/constraintlayout/core/PriorityGoalRow$GoalVariableAccessor,29,47,61.7
01b27f695aba625e,org/fossify/clock/databases/AppDatabase$Companion,29,32,90.62
da6b069c9706317c,com/google/android/material/appbar/MaterialToolbar,28,138,20.29
5a278503dcffb84d,org/fossify/commons/helpers/ConstantsKt,28,163,17.18
8e8faeb08912610f,com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior,27,72,37.5
cbdb69dd699862cf,com/google/android/material/internal/ThemeEnforcement,27,57,47.37
4931fae812cfe23d,kotlinx/coroutines/BuildersKt__Builders_commonKt,27,46,58.7
0da5b14084c44b97,androidx/room/InvalidationTracker,27,170,15.88
362cb7cec000d0b4,com/google/android/material/drawable/DrawableUtils,26,119,21.85
63c681d9bf5cb74b,com/google/android/material/shape/ShapePath$PathArcOperation,26,32,81.25
b5e6692d95228a51,androidx/profileinstaller/ProfileInstaller,26,79,32.91
9a364b12f6350904,androidx/recyclerview/widget/AsyncListDiffer,26,41,63.41
8e2c1c0e20cd3447,com/google/gson/internal/Excluder,26,98,26.53
c0fd3ad603b80659,com/google/android/material/theme/overlay/MaterialThemeOverlay,26,36,72.22
9fd3ec392b5d0061,androidx/navigationevent/NavigationEventHandler,25,87,28.74
bf4e7517d45dd6dc,androidx/collection/LongSparseArray,25,241,10.37
2692e899c70a79dc,org/fossify/commons/extensions/ActivityKt,25,1508,1.66
d8e6a9258c4d73e9,androidx/appcompat/widget/AppCompatBackgroundHelper,25,85,29.41
990b0342e82b255f,androidx/activity/OnBackPressedCallback,25,31,80.65
883ce2c85f6c4d9d,androidx/constraintlayout/core/widgets/Optimizer,24,30,80.0
bfc3416d927b5d03,androidx/lifecycle/ProcessLifecycleOwner,24,44,54.55
6cb1814a88bf264e,androidx/appcompat/widget/ContentFrameLayout,24,93,25.81
829aa4f0268253f8,kotlinx/coroutines/DispatchedTask,24,62,38.71
e73457940f27145c,androidx/fragment/app/strictmode/FragmentStrictMode,24,160,15.0
a82e0d580d25acba,androidx/fragment/app/FragmentActivity$HostCallbacks,23,44,52.27
fe59eb63fab15a24,org/fossify/clock/helpers/Config,23,143,16.08
cdb8fcfcafb5e04f,com/google/gson/internal/bind/JsonTreeReader,23,158,14.56
75e956f1b64dd268,kotlinx/coroutines/internal/LockFreeTaskQueueCore,23,115,20.0
452f94c560171a4b,com/google/gson/internal/ConstructorConstructor,22,138,15.94
3192c2d80549321a,androidx/core/graphics/ColorUtils,22,172,12.79
84f1db4d146eb4a5,androidx/arch/core/internal/SafeIterableMap,22,73,30.14
ab0a43afb16be0bc,kotlinx/coroutines/intrinsics/UndispatchedKt,21,65,32.31
36233e9d27ad2d0a,androidx/profileinstaller/DeviceProfileWriter,21,163,12.88
4c173190d24f0515,kotlin/collections/ArraysKt___ArraysKt,21,10849,0.19
cb44c25efbff068a,org/fossify/clock/helpers/ConstantsKt,21,168,12.5
4f1d182ccb746909,com/google/android/material/tabs/TabLayout$Tab,21,70,30.0
56e5d0a01c62f75a,androidx/recyclerview/widget/OrientationHelper$2,21,25,84.0
0468538cd7ede5de,kotlin/collections/MapsKt__MapsKt,21,268,7.84
f5acbe35f71a2206,androidx/room/util/DBUtil__DBUtil_androidKt$performBlocking$1$1$invokeSuspend$$inlined$internalPerform$1,21,39,53.85
a5a3110374b8ffca,org/fossify/clock/interfaces/TimerDao_Impl$1,21,27,77.78
414f09936beb426c,androidx/coordinatorlayout/widget/ViewGroupUtils,20,27,74.07
05d4ea22e0321538,kotlinx/coroutines/flow/StateFlowImpl,20,96,20.83
348235c805e02199,androidx/fragment/app/FragmentManagerViewModel,20,156,12.82
8853fbcf32bf1ca2,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,20,252,7.94
b730f879f1fa4b1b,androidx/sqlite/db/framework/FrameworkSQLiteDatabase,20,158,12.66
efa1a9a680b27824,kotlinx/coroutines/EventLoop,20,56,35.71
317987d5f15bfec5,org/greenrobot/eventbus/SubscriberMethodFinder$FindState,19,38,50.0
d1e5dc7dfb549c2c,com/google/gson/GsonBuilder,19,134,14.18
caf4ee56fd60ca82,kotlin/collections/builders/MapBuilder,19,258,7.36
d5cf150923c628d3,androidx/lifecycle/ClassesInfoCache$CallbackInfo,19,20,95.0
0b361ec41ecf144f,androidx/navigationevent/NavigationEventHistory,19,53,35.85
cda82887317f8ba9,androidx/room/util/DBUtil__DBUtil_androidKt$performBlocking$1$1,19,25,76.0
38a6187b00c40815,org/fossify/commons/views/MyRecyclerView,18,149,12.08
581e8bc114164e8e,kotlin/jvm/internal/ClassReference,18,58,31.03
a34782cf764f4591,org/fossify/clock/models/Timer,18,100,18.0
3578f9a835decb66,androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton,18,25,72.0
9385b09f468566bd,kotlinx/coroutines/internal/DispatchedContinuation,18,183,9.84
a9bcf486c396d5f3,androidx/sqlite/util/ProcessLock,18,29,62.07
0ae12ce97b441ea2,androidx/lifecycle/SavedStateHandleSupport,18,47,38.3
1c04a4f4dd90013d,androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions,18,20,90.0
50d225cdef806f94,androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal19,18,48,37.5
8c978feb6696d587,androidx/lifecycle/viewmodel/internal/ViewModelProviderImpl,17,24,70.83
e943a060f58975cb,org/fossify/commons/extensions/IntKt,17,111,15.32
6902e6498c439f44,androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation,17,36,47.22
5c62db88b84d11b2,kotlin/coroutines/CombinedContext,17,53,32.08
10ffb33d8cc5a14f,kotlin/collections/ArraysKt___ArraysJvmKt,17,1082,1.57
23bb38b10053fc2a,androidx/viewpager/widget/ViewPager$4,17,18,94.44
f307b250dd5084c5,androidx/core/view/WindowCompat,16,29,55.17
4b504fb34801beb6,org/fossify/clock/models/Alarm,16,88,18.18
bc05f065236764fb,kotlinx/coroutines/JobSupportKt,16,23,69.57
66135a29997de9a1,org/fossify/clock/databases/AppDatabase_Impl,16,17,94.12
bf35012809bfe2e1,androidx/profileinstaller/ProfileInstallerInitializer,16,19,84.21
12f207d9e21142aa,androidx/room/util/KClassUtil,16,31,51.61
6fb50a83a6a62d9c,androidx/lifecycle/SavedStateHandlesProvider,16,95,16.84
879392c9275c6cab,org/fossify/commons/views/MyMaterialSwitch,16,35,45.71
2e9237f6475810ea,androidx/activity/OnBackPressedDispatcher,16,42,38.1
dccadb5bdb2d0be6,androidx/recyclerview/widget/ChildHelper$Bucket,16,61,26.23
62146cf7517adffd,org/fossify/clock/fragments/StopwatchFragment$updateListener$1,15,20,75.0
0acf519d5a1fd856,com/google/android/material/shadow/ShadowRenderer,15,57,26.32
6e735d6b33798331,org/fossify/clock/App,15,100,15.0
6d7359d4ef621705,com/google/android/material/appbar/ViewOffsetBehavior,15,44,34.09
ac4e76888093be8f,kotlinx/coroutines/internal/FastServiceLoader,15,126,11.9
f47e3d3ba0044778,com/google/android/material/tabs/TabIndicatorInterpolator,15,26,57.69
5e587c8009147d4a,androidx/fragment/app/DefaultSpecialEffectsController$TransitionInfo,15,53,28.3
c94eefeb309af654,kotlin/coroutines/jvm/internal/ContinuationImpl,14,19,73.68
dcfc2e0aea9c3144,org/fossify/clock/adapters/ViewPagerAdapter,14,56,25.0
3b9bc0ca3793e5a6,androidx/lifecycle/Lifecycle$Event,14,22,63.64
5938e0a6eb00ab11,kotlinx/coroutines/AbstractCoroutine,14,25,56.0
83f8f600ef115373,androidx/fragment/app/FragmentController,14,52,26.92
c42176ea2b502316,androidx/room/concurrent/CloseBarrier,14,30,46.67
5c6ba335cd0c90e9,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper,14,36,38.89
ed78e88fed5ba24f,kotlinx/coroutines/scheduling/WorkQueue,14,120,11.67
f769286f6075ac4e,androidx/sqlite/driver/SupportSQLiteStatement$OtherSQLiteStatement,14,37,37.84
b322611a5ba922dd,androidx/fragment/app/FragmentTransaction,14,112,12.5
d940a6997f97dbca,org/fossify/clock/views/AutoFitTextView,14,28,50.0
3f316e0461bc1b21,com/google/android/material/elevation/ElevationOverlayProvider,14,44,31.82
d37e0a4eeffccaef,org/fossify/clock/databinding/FragmentStopwatchBinding,14,29,48.28
aa38cbedcc5d51b8,androidx/lifecycle/ViewModelProvider,14,28,50.0
