[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Music-Player-_1.8.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-4aad9ab7": Wed Sep 02 13:47:20 UTC 2026 - Wed Sep 02 13:47:42 UTC 2026
9900fb59c256d00e   13 of 248   com/google/common/collect/CompactHashMap
79a6d2128a38d188    1 of  60   androidx/media3/common/audio/ToInt16PcmAudioProcessor
26090d37a5643e5f    4 of  11   androidx/media3/datasource/DefaultDataSource$Factory
d1f48707c2abc45e    6 of  25   androidx/media3/common/text/CueGroup
fd6001ab6c00b0cd   13 of  35   org/fossify/musicplayer/playback/SimpleEqualizer
2882dd08b8961d1b    2 of   4   androidx/lifecycle/viewmodel/CreationExtras$Companion
004fd297a082c250    5 of  51   androidx/dynamicanimation/animation/SpringForce
e16823019142f320   29 of 135   androidx/appcompat/app/AppCompatDelegate
ff92934f2c520084    6 of   9   androidx/sqlite/driver/SupportSQLiteConnection
0bd172dc99ad50ac    8 of  17   com/google/common/util/concurrent/ImmediateFuture
ad40f155440c9817   54 of 100   com/airbnb/lottie/animation/keyframe/BaseKeyframeAnimation
0cafa113a3d9ae76    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
875202b75b7a2e8a   37 of 120   androidx/navigationevent/NavigationEventDispatcher
23f6099334cb1eb8    1 of  36   org/fossify/musicplayer/models/Genre
3388ec0b5dfa8263   39 of 212   androidx/media3/exoplayer/trackselection/DefaultTrackSelector$Parameters
64da9a9b264e1815    6 of  33   kotlin/ranges/IntProgression
3098cd6f12b31f58    4 of  26   kotlin/collections/CollectionsKt__IterablesKt
8ff58a434dd5087f   13 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
cdfa3eb55a89f9db   19 of  37   org/fossify/musicplayer/databinding/ActivityMainBinding
684c2a79904df258    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
2688539e4de1f8d7    7 of  16   org/greenrobot/eventbus/android/AndroidDependenciesDetector
a71e5e0fb3e2ead2   13 of 137   androidx/core/view/WindowInsetsCompat$Impl20
3ba48aed5265c30e    2 of   3   androidx/navigationevent/NavigationEventTransitionState$Idle
333fd79f699cfd18    1 of   1   org/fossify/musicplayer/models/Events$PlaylistsUpdated
f25b5c78e4c4aac1    2 of  34   kotlinx/coroutines/AbstractTimeSourceKt
161afb9158f25551    6 of   8   com/airbnb/lottie/LottieDrawable$OnVisibleAction
09f550d6c5d46cdc    2 of  11   org/fossify/musicplayer/interfaces/QueueItemsDao_Impl$1
fe96e92eb6ffb170   12 of  17   androidx/emoji2/viewsintegration/EmojiEditableFactory
29a839e5e91c596c    8 of  29   org/fossify/commons/adapters/MyRecyclerViewAdapter$ViewHolder
eb9ae6f05c2c1105    2 of   7   kotlinx/coroutines/Unconfined
b82a3093ba3bc2c9   48 of 100   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
60d14bafff4c3463    8 of  10   androidx/sqlite/driver/SupportSQLiteStatement
817d6019b2d383e6    1 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
3e4c1dcc5e1e3dcd    7 of   7   kotlin/coroutines/AbstractCoroutineContextElement
83a6d83b9cf0173e    6 of   8   androidx/room/Transactor$SQLiteTransactionType
a8f5e83ce270d2e0    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
59df544d2df9e009    1 of   5   androidx/dynamicanimation/animation/DynamicAnimation$8
c94eefeb309af654   13 of  19   kotlin/coroutines/jvm/internal/ContinuationImpl
8c978feb6696d587   17 of  24   androidx/lifecycle/viewmodel/internal/ViewModelProviderImpl
09d43cc6f251972e  126 of 293   androidx/constraintlayout/core/widgets/analyzer/BasicMeasure
8c832787f1ba1ac9    5 of  21   com/google/android/material/appbar/AppBarLayout$Behavior
0c07e53a0b7e623b    1 of   2   androidx/appcompat/widget/TooltipCompat$Api26Impl
ce3e5472c528cf19   10 of 175   androidx/media3/exoplayer/analytics/DefaultPlaybackSessionManager
764bb42d0382b19b    1 of  15   com/google/android/material/shape/RelativeCornerSize
9c67dfd42c7c7fb0    7 of  22   kotlin/internal/ProgressionUtilKt
cf1d27d7b4ff7cb4    2 of  26   com/google/android/material/appbar/AppBarLayout$BaseBehavior$SavedState
4086d8c8ca51c29e    1 of   5   androidx/profileinstaller/ProfileVerifier$CompilationStatus
3899c3311e9a25b1    6 of  50   androidx/core/view/WindowInsetsCompat$Impl
dcfad3eb8b5aa4cf    6 of  92   androidx/media3/common/Timeline$Period
11547f9a2b14455c    1 of   5   kotlin/TuplesKt
bef6c048a9df67e9   14 of  31   androidx/recyclerview/widget/ViewBoundsCheck
2a0ba34228542197    2 of   2   org/fossify/musicplayer/playback/MediaSessionCallbackKt
c4aa43f20da03a72   17 of 1802   kotlin/collections/CollectionsKt___CollectionsKt
a8fb22d2f3b3e915    9 of  15   androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement$ensureCursor$1
dcdfb7476bff90e8   10 of  14   androidx/core/view/WindowInsetsCompat$TypeImpl30
733747e2a509714c   47 of 219   androidx/media3/common/TrackSelectionParameters$Builder
ac17398d6a7eff74    7 of 794   androidx/media3/session/LegacyConversions
db78fb04b64886a5    3 of   7   androidx/core/view/GestureDetectorCompat
48a5d8ebf4fd9427    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
1a5b174a36936b17    2 of   7   androidx/media3/common/Timeline$1
a9e083d94cb4961a    2 of  15   org/fossify/commons/extensions/EditTextKt
62a1ade9dfe8c038    2 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
3f24d1c10aecb496   52 of 137   androidx/media3/common/ForwardingPlayer
80b3a81dd3c26bcc   19 of 204   androidx/collection/SparseArrayCompat
a9b95ffa260b90e8   20 of  96   androidx/media3/session/ConnectionState
28e2e60e98dd7692  222 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
b0ad0792e73f70a4    3 of  28   androidx/media3/session/MediaLibraryService$MediaLibrarySession
70bc17d04f6198a1    2 of  26   androidx/media3/exoplayer/audio/MediaCodecAudioRenderer$AudioSinkListener
86a8d077f745912b    2 of  43   androidx/media3/session/MediaControllerImplBase$SurfaceCallback
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
e4304ea822b4e89a    5 of   7   org/fossify/musicplayer/activities/SimpleControllerActivity$maybePreparePlayer$lambda$2$$inlined$maybePreparePlayer$1$1
67ac667279e86881    1 of  21   androidx/media3/exoplayer/DecoderCounters
b6c23595800653e8    9 of  16   androidx/lifecycle/Lifecycle$Event$WhenMappings
a8f47c51316bb574    3 of   3   org/fossify/musicplayer/interfaces/PlaylistsDao_Impl$Companion
d5f2c85934776967    2 of   5   androidx/core/view/GravityCompat
1b7a88c1af456c42    4 of  11   androidx/core/view/PointerIconCompat
df1a5eb11c6dad05    4 of   4   org/fossify/musicplayer/fragments/ArtistsFragment$special$$inlined$viewBinding$1
e3485f6f9a1b56f8    1 of   3   com/google/android/material/progressindicator/BaseProgressIndicator$2
d5ee94b3cd1a8c8e    9 of  18   androidx/media3/session/legacy/PlaybackStateCompat$Builder
69572dd5c24fa600   41 of 107   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
91278e68fc2393a2   82 of 265   androidx/room/TriggerBasedInvalidationTracker
8dcfba22c699b1a4    2 of   2   org/fossify/musicplayer/playback/player/PlayerListenerKt
a7b8bd0bbac850aa    4 of  15   org/fossify/commons/databinding/BottomTablayoutItemBinding
3b67a38fa6d70eed    8 of  17   org/fossify/musicplayer/databinding/FragmentArtistsBinding
d8a938adb86b98b8    2 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
fe5faf93f09f7188    1 of   2   kotlinx/coroutines/StandaloneCoroutine
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
cdb7890971d6c58e    6 of  21   kotlinx/coroutines/JobImpl
e01240606dd57d4c    1 of   5   androidx/media3/session/legacy/MediaSessionCompat$MediaSessionImplApi28
189d1e841728c1de   43 of 318   androidx/appcompat/widget/ActionMenuView
45dd8a866ff5405c    2 of   2   androidx/room/InvalidationTracker$Companion
954c39f59db9f1f6   90 of 790   kotlinx/coroutines/JobSupport
d404e4cacbf58bc5    2 of   5   kotlinx/coroutines/flow/ReadonlyStateFlow
5bbea3fdcff3574e    1 of   3   com/airbnb/lottie/utils/Utils$2
f7d1152d5fab3da9   10 of 122   org/fossify/commons/extensions/IntKt
b699770258264942    1 of   1   androidx/media3/common/util/Clock
14529e0a7c9fd7c0   24 of 106   org/fossify/musicplayer/interfaces/AlbumsDao_Impl
ef5202fac46c18ca    3 of  15   kotlin/collections/EmptyIterator
85ca33fd03037424   36 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
f593c7f4a8a93bdd    2 of   5   androidx/media3/common/util/Log$Logger$1
e22a516a3cc88e9b    9 of  16   org/fossify/musicplayer/helpers/AudioHelperKt
ebcf277c1885f521   43 of  69   org/fossify/musicplayer/helpers/SimpleMediaController
d32afce360207ef1   11 of  72   com/google/android/material/resources/MaterialResources
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
66142119002e663e    1 of  64   androidx/recyclerview/widget/ItemTouchHelper$2
efcc740e76ae9c49    1 of  10   androidx/fragment/app/FragmentManager$9
ec50f3173f8f51ed    4 of   4   org/fossify/musicplayer/activities/SimpleControllerActivity$maybePreparePlayer$lambda$2$$inlined$maybePreparePlayer$1$1$1
595a534fad2ca61e    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
e8c268b05098b1cd   10 of  10   com/google/android/material/shape/ShapePath$PathLineOperation
57388eb4aedab67d   75 of 244   androidx/media3/common/TrackSelectionParameters
13b883b5bc75ed53    7 of 107   androidx/media3/exoplayer/source/DefaultMediaSourceFactory$DelegateFactoryLoader
64b051f476df52b6    1 of   6   com/google/android/material/progressindicator/BaseProgressIndicator$4
e5017f791812f345    9 of  42   androidx/media3/exoplayer/SeekParameters
a3ce93da1a765b54    1 of   3   org/fossify/commons/helpers/BaseConfig$colorPickerRecentColorsFlow$1
82bdf917ab2f91bd    2 of  11   androidx/lifecycle/ViewTreeViewModelStoreOwner
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
1e077a104cdaf98d    3 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
d02ae90425707d1c    9 of  10   androidx/media3/session/legacy/MediaSessionManager
6329067e5ee4aaf1    2 of  30   kotlinx/coroutines/CoroutineScopeKt
03e1252d59b64e3e    3 of   6   androidx/media3/decoder/CryptoInfo$PatternHolderV24
8c63b69dc60a9db8    7 of  15   androidx/emoji2/viewsintegration/EmojiTransformationMethod
d34b7d0ce787b88c    2 of  11   org/fossify/commons/adapters/MyRecyclerViewAdapter$setupDragListener$1
6001310f01ed21ad    2 of   7   kotlin/coroutines/jvm/internal/CompletedContinuation
362cb7cec000d0b4   10 of 119   com/google/android/material/drawable/DrawableUtils
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
97a264e5557eb761    7 of   8   androidx/lifecycle/LifecycleDispatcher
0cf185f77665fe3a   19 of 922   androidx/media3/exoplayer/mediacodec/MediaCodecRenderer
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
162d3216f02f6549    2 of   9   org/fossify/musicplayer/interfaces/ArtistsDao_Impl$1
a1da2056dfe45f36    3 of  11   com/airbnb/lottie/animation/keyframe/ValueCallbackKeyframeAnimation
e33cf84b79ca53e2    6 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
8dc6c2e5c20bdc4a   55 of 340   com/airbnb/lottie/LottieCompositionFactory
c1c1edbbb7674a7e   14 of  25   kotlinx/coroutines/AbstractCoroutine
c740cb2e020aff0d    1 of   5   org/fossify/musicplayer/fragments/AlbumsFragment$gotAlbums$lambda$7$$inlined$sortedBy$2
939c83091985e87c   14 of  49   androidx/emoji2/viewsintegration/EmojiTextWatcher
a940726f4f5c4503    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
d338587459fb3333   16 of  34   androidx/media3/common/util/BackgroundThreadStateHandler
8db12c2cb5c065d8  339 of 1652   androidx/constraintlayout/core/widgets/ConstraintWidget
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
482b054e11f4fd1b   13 of 127   kotlin/jvm/internal/Intrinsics
205da1849992f9c0    6 of  29   androidx/core/view/WindowInsetsControllerCompat
8bbc20c2f9b52346    9 of  16   androidx/lifecycle/DefaultLifecycleObserverAdapter$WhenMappings
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
028eb6a418e3cd47   40 of  68   com/google/android/material/appbar/HeaderScrollingViewBehavior
067787285590155f   37 of  73   androidx/sqlite/driver/SupportSQLiteStatement$Companion
f171454b5ae7bf49   20 of 435   androidx/media3/exoplayer/audio/MediaCodecAudioRenderer
d3e542e4099d5904   12 of  38   androidx/media3/datasource/DataSourceBitmapLoader
d9b88a9b5e8b6c32    4 of  17   androidx/media3/session/SessionUtil
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
cfa78d22f4c887ed   12 of  18   androidx/room/coroutines/RunBlockingUninterruptible_androidKt$runBlockingUninterruptible$1$1
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
029b812baa3f982e    5 of  32   org/greenrobot/eventbus/EventBusBuilder
939412c13069609a    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
7627f9f3d8a206de    2 of  18   kotlin/internal/PlatformImplementations
e0aabded8f8ed361   29 of  86   com/airbnb/lottie/animation/content/FillContent
92f4ae5a40144d15    9 of  11   com/google/common/util/concurrent/AbstractFuture$UnsafeAtomicHelper$1
a1b4e35a116ec22f    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
514e34ca9b6d6f50  174 of 423   org/fossify/musicplayer/activities/MainActivity
d1b541c86123e0e5   39 of  71   androidx/media3/common/util/NetworkTypeObserver
65ff3963a5f6d8d7    2 of  10   androidx/core/view/animation/PathInterpolatorCompat
411d93d290474336    8 of  17   org/fossify/musicplayer/databinding/FragmentAlbumsBinding
d0bf8907a6b77ece    8 of  16   androidx/media3/common/DeviceInfo$Builder
8a715f0de863bcdc    8 of  31   androidx/recyclerview/widget/RecyclerView$State
e8ba28df286ca9c3    1 of   3   com/airbnb/lottie/utils/Utils$1
8260179191cf05f0   28 of  48   com/airbnb/lottie/value/Keyframe
df971add4e637af9    9 of  90   androidx/lifecycle/Lifecycling
4a6f8f7cef0c8bcd   20 of 128   androidx/dynamicanimation/animation/DynamicAnimation
bfc3416d927b5d03   20 of  44   androidx/lifecycle/ProcessLifecycleOwner
b301aac85783bf9c    7 of  23   androidx/collection/internal/LruHashMap
4cfb41abae31b2b7    3 of  21   kotlinx/coroutines/Job$DefaultImpls
4aa47e63553ca02c   18 of 149   org/fossify/commons/views/MyRecyclerView
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
ca5906d594ac09fa   12 of  17   androidx/room/util/SQLiteConnectionUtil
4a02a745dcb1602a    1 of   1   androidx/lifecycle/LifecycleRegistry_androidKt
f09be23cf933ea48    4 of   8   kotlinx/coroutines/EventLoopImplPlatform
f07de814c889a102    2 of   7   org/fossify/commons/extensions/TabLayoutKt
d8d41a13bd1a8e37    2 of   2   androidx/activity/ComponentActivity$Companion
0c0fab828744e123    4 of  36   androidx/media3/common/util/StuckPlayerDetector$StuckBufferingDetector
46e75fee4caf6449   95 of 366   com/airbnb/lottie/LottieAnimationView
af5955c6f202a967    2 of   2   kotlin/collections/builders/SetBuilder$Companion
2bd4298b5266a1c5    1 of   4   androidx/room/InvalidationTracker$implementation$1
4890a6ca0fa02004    7 of   8   com/airbnb/lottie/model/content/ShapeFill
8ee21dde7fde8eeb    1 of  32   androidx/media3/common/audio/BaseAudioProcessor
7ed4f49952c10a87    5 of  11   com/google/android/material/animation/AnimationUtils
9482051e02f33163    5 of  96   com/google/common/collect/Ordering
