[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Notes-_1.7.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-82cc0828": Wed Sep 02 13:47:44 UTC 2026 - Wed Sep 02 13:48:05 UTC 2026
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
552ac92e3004b407    4 of  34   androidx/activity/ComponentActivity$ReportFullyDrawnExecutorImpl
2882dd08b8961d1b    2 of   4   androidx/lifecycle/viewmodel/CreationExtras$Companion
db1443c7a7f1e725   12 of  38   kotlinx/coroutines/internal/ThreadContextKt
8d49ac84b88bd94c    9 of   9   androidx/fragment/app/SpecialEffectsController$Companion
e16823019142f320   29 of 135   androidx/appcompat/app/AppCompatDelegate
ff92934f2c520084    7 of   9   androidx/sqlite/driver/SupportSQLiteConnection
00416f18ae28897f   29 of 121   androidx/savedstate/internal/SavedStateRegistryImpl
875202b75b7a2e8a   37 of 120   androidx/navigationevent/NavigationEventDispatcher
68ae52666b0591db   16 of  39   org/fossify/commons/helpers/AppLockManager
1a4f789248c3aa06    2 of  15   org/fossify/commons/extensions/EditTextKt
64da9a9b264e1815    6 of  33   kotlin/ranges/IntProgression
3098cd6f12b31f58    4 of  26   kotlin/collections/CollectionsKt__IterablesKt
684c2a79904df258    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
a71e5e0fb3e2ead2   13 of 137   androidx/core/view/WindowInsetsCompat$Impl20
3ba48aed5265c30e    2 of   3   androidx/navigationevent/NavigationEventTransitionState$Idle
8e8faeb08912610f   33 of  72   com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior
c604c8602a7a043d    3 of  24   androidx/activity/OnBackPressedCallbackInfo
ab28bd5384039a5b    2 of  15   org/fossify/commons/activities/BaseSimpleActivity$copyMoveListener$1
f25b5c78e4c4aac1    2 of  34   kotlinx/coroutines/AbstractTimeSourceKt
