class_id,class_name,probes_hit,probes_total,pct
8db12c2cb5c065d8,androidx/constraintlayout/core/widgets/ConstraintWidget,313,1652,18.95
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,271,1317,20.58
f6195fee0ca31fe5,com/google/android/material/tabs/TabLayout,250,668,37.43
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,244,1298,18.8
131c1fa296f4063d,androidx/constraintlayout/core/widgets/analyzer/Direct,241,669,36.02
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,236,938,25.16
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,226,954,23.69
da9c297a5681dc7a,androidx/constraintlayout/widget/ConstraintLayout,221,610,36.23
cc366f025c1885dd,com/google/android/material/shape/MaterialShapeDrawable,209,525,39.81
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,199,2094,9.5
5f5065e6d0a888cc,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,148,464,31.9
d9e5c34f10ed61de,androidx/fragment/app/FragmentManager,148,1346,11.0
4a63a0ead9b3e94a,com/google/android/material/tabs/TabLayout$TabView,146,364,40.11
474bbf91cc4617d4,org/fossify/voicerecorder/fragments/PlayerFragment,129,377,34.22
0a3628498dd117fc,org/fossify/voicerecorder/activities/MainActivity,124,290,42.76
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,123,483,25.47
b803732879c69958,androidx/activity/ComponentActivity,116,317,36.59
d3376251c7f1d2ba,com/google/android/material/progressindicator/BaseProgressIndicator,116,294,39.46
09d43cc6f251972e,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,115,293,39.25
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,113,629,17.97
286fa0873be127cc,androidx/appcompat/app/AlertController,110,326,33.74
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,109,283,38.52
9e759c749ab270fe,com/google/android/material/shape/ShapeAppearancePathProvider,107,129,82.95
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,100,380,26.32
2844f01c96747fa7,com/google/android/material/button/MaterialButton,99,519,19.08
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,93,140,66.43
ccfa66d3b33edd33,com/google/android/material/progressindicator/DrawableWithAnimatedVisibilityChange,93,178,52.25
bea1df537a3c7e8b,androidx/appcompat/widget/AlertDialogLayout,93,122,76.23
14e7636e8073655e,androidx/constraintlayout/widget/ConstraintLayout$Measurer,92,209,44.02
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,92,530,17.36
138606692656eeb3,org/greenrobot/eventbus/EventBus,92,248,37.1
ed23e2c18290c2f7,com/google/android/material/shape/ShapeAppearanceModel,87,125,69.6
c8e1f4ba7b591481,androidx/constraintlayout/core/LinearSystem,86,510,16.86
3cf18de831182b5d,androidx/appcompat/widget/ResourceManagerInternal,78,216,36.11
7a6dea89b0f7ab24,com/qtalk/recyclerviewfastscroller/RecyclerViewFastScroller,74,339,21.83
9ee9465e92371f10,org/fossify/commons/extensions/ContextKt,71,1175,6.04
fcedadf2b3d8e04d,org/fossify/commons/extensions/Context_storageKt,67,1144,5.86
2db0cc64e927b6b5,com/google/android/material/shape/ShapePath,67,113,59.29
feb392a4bd7c013d,org/fossify/voicerecorder/fragments/RecorderFragment,66,166,39.76
028f748ca9c04da4,org/fossify/commons/extensions/Context_stylingKt,66,275,24.0
9a299f2999d9f5d1,androidx/core/view/ViewCompat,65,793,8.2
4350dbcb24ec95c9,com/google/android/material/shape/ShapeAppearanceModel$Builder,65,108,60.19
9066e61d45547985,androidx/collection/ArraySet,65,239,27.2
