class_id,class_name,probes_hit,probes_total,pct
e1323ee422b7e63e,org/jellyfin/mobile/app/AppModuleKt,189,326,57.98
9a5f21b94e5d9152,kotlin/jvm/internal/ClassReference,76,121,62.81
25dd2db8f77f53da,leakcanary/internal/InternalLeakCanary,64,163,39.26
63724b760f68943d,androidx/startup/AppInitializer,60,86,69.77
5a8ca0da7d33b126,androidx/lifecycle/LifecycleRegistry,54,149,36.24
2aded622a6a4e711,leakcanary/internal/LeakCanaryFileProvider$Companion,42,121,34.71
3bddc2797a5e94c7,leakcanary/ServiceWatcher,42,81,51.85
3dca2d07df068ce5,shark/AndroidReferenceMatchers$Companion,38,45,84.44
dc21a0b6845496c9,org/koin/core/registry/InstanceRegistry,35,195,17.95
12fa841cbeff4f16,kotlin/collections/CollectionsKt___CollectionsKt,33,1803,1.83
d399b53a88e6e55c,leakcanary/AppWatcher,33,52,63.46
d38ba12c1f831b5c,leakcanary/FragmentAndViewModelWatcher,28,36,77.78
5d01ca41a2619499,org/jellyfin/mobile/data/DatabaseModuleKt,27,45,60.0
32d673aefd248236,leakcanary/LeakCanary$Config,26,157,16.56
a0ab5316d1bac995,androidx/emoji2/text/EmojiCompat,24,165,14.55
dcace403a30ac44a,org/koin/core/definition/BeanDefinition,24,84,28.57
97644b5cbf99c6c5,org/koin/core/Koin,23,198,11.62
175a70cdc6154f66,org/jellyfin/mobile/app/ApiModuleKt,19,32,59.38
7e0527fd758e50b7,org/koin/core/module/Module,18,125,14.4
b44b9cb5497d2306,kotlinx/coroutines/flow/StateFlowImpl,18,96,18.75
c1af5134824a09d3,shark/ObjectInspectors$Companion,18,18,100.0
ed0b4ae160e92e29,org/koin/core/registry/ScopeRegistry,17,54,31.48
e4e000c0dc8f2d15,curtains/internal/WindowManagerSpy,17,35,48.57
acd66831b6d39d7d,shark/AndroidObjectInspectors$Companion,17,18,94.44
7d5be09ad1f9c4a3,org/jellyfin/mobile/JellyfinApplication,15,17,88.24
85b526359ad33e6a,leakcanary/AndroidLeakFixes$Companion,14,54,25.93
d35ec0b387ae1714,shark/AndroidReferenceMatchers$REFERENCES,14,14,100.0
2b879e15be0afa6e,org/koin/android/ext/koin/KoinExtKt$androidContext$1,13,15,86.67
7eb5fe2b219edba4,kotlin/text/StringsKt__StringsKt,13,922,1.41
07c506f5ac29b601,androidx/lifecycle/ProcessLifecycleOwner,13,44,29.55
