[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Kiwix-_3.11.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-56f3a44f": Wed Sep 02 17:20:22 UTC 2026 - Wed Sep 02 17:20:44 UTC 2026
7f4ef10f220c9c4e    3 of   3   shark/AndroidReferenceMatchers$AW_CONTENTS__A0
d14afec0e3ce4c47    1 of   2   androidx/fragment/R$styleable
1a7a75cee434db84    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ResetElevationAnimation
04429eeb25a12f0d    1 of  13   org/kiwix/kiwixmobile/core/dao/entities/StringToLocaleConverter
39dd25f03c8ae0a1   60 of 330   kotlin/collections/ArrayDeque
e3233f9c63280f90   53 of 301   androidx/fragment/app/BackStackRecord
9b18c0723ecfc5ad    1 of   3   shark/AndroidObjectInspectors$COMPOSITION_IMPL
816b639f7ed76c2b    8 of  13   androidx/recyclerview/widget/OrientationHelper
affa79ac718947d5    7 of   7   org/kiwix/kiwixmobile/main/KiwixMainActivity$cachedComponent$2
62301d8e4b15c4bb    2 of  12   androidx/navigation/NavType$Companion$FloatType$1
996881d8ad00d5a2    6 of   6   org/kiwix/kiwixmobile/core/di/components/DaggerCoreComponent$Builder
379cd72ee994b930   15 of  22   org/kiwix/kiwixmobile/core/ServiceWorkerInitialiser
8ff58a434dd5087f    1 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
e79bd8199411ab8c    3 of   3   shark/AndroidReferenceMatchers$ACCOUNT_MANAGER__AMS_TASK__RESPONSE
ebd9f3ca8064c857   11 of  20   androidx/constraintlayout/core/widgets/Guideline$1
8a08215081019a7b    2 of  16   okhttp3/TlsVersion$Companion
45f74ca36613ef6d   16 of  29   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$lazyDelegate$1
1a05c661c97fa531   44 of  50   com/tonyodev/fetch2/fetch/FetchModulesBuilder$Modules
016b19b9eccaf434    2 of   4   com/tonyodev/fetch2/database/migration/MigrationFiveToSix
556b3241987cbf7a    1 of   4   androidx/webkit/internal/ApiFeature$P
825b2c27374df91d    2 of   5   org/kiwix/kiwixmobile/di/modules/KiwixModule_ProvideLocationManager$kiwix_debugFactory
c7c5d0044cddab33    3 of  73   androidx/core/util/Preconditions
2fa053863872b47b    2 of   5   org/kiwix/kiwixmobile/core/webserver/KiwixServer_Factory_Factory
1cd21b90fa6e8d18    2 of  10   shark/AndroidReferenceMatchers$IMM_CURRENT_INPUT_CONNECTION$add$1
7a1027d2e4c9a93c    2 of   2   okhttp3/EventListener$Companion
b4ae71ba7036451a    2 of  18   okhttp3/RequestBody
7f43f79e16901e75   11 of  31   kotlinx/coroutines/internal/LockFreeTaskQueue
45878af2ecb943f5    1 of   9   androidx/appcompat/app/ToolbarActionBar$ToolbarMenuCallback
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
ef79bf99c7be1761    7 of  12   leakcanary/internal/InternalLeakCanary$invoke$2$1
27a11b05bb80d764    3 of   6   leakcanary/LazyForwardingEventListener
5653917c3ba01ccb    2 of   7   shark/AndroidReferenceMatchers$BLOCKING_QUEUE$add$1
58fb31681584cc52    2 of   7   shark/AndroidReferenceMatchers$VIEW_GROUP__M_PRE_SORTED_CHILDREN$add$1
3e7c3ab484b0203d    3 of   3   okhttp3/internal/platform/android/BouncyCastleSocketAdapter$Companion
eef0aa4282620698    1 of   5   androidx/recyclerview/widget/RecyclerView$2
459211cd10441452    3 of   3   shark/AndroidReferenceMatchers$MAIN
415e7f9ace1fd090    2 of   7   kotlinx/coroutines/Unconfined
92c68032fdd22f6d    1 of   7   com/google/android/material/bottomappbar/BottomAppBar$SavedState$1
445f02aa3ab35c08    1 of   3   org/kiwix/kiwixmobile/di/components/DaggerKiwixComponent$KiwixComponentImpl$HistoryRoomDaoProvider
480c9dd1ea36efa4    8 of  10   org/kiwix/kiwixmobile/intro/IntroPagerAdapter
f738e3812650c2b9    5 of   5   org/kiwix/kiwixmobile/core/di/modules/JNIModule_ProvidesJNIKiwixFactory
817d6019b2d383e6    1 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
5a934a214f9fcf7f   75 of 121   kotlin/jvm/internal/ClassReference
1da0c8ffd7f872f2    2 of   7   shark/AndroidReferenceMatchers$MEDIA_SCANNER_CONNECTION$add$1
be97366ca692de30   10 of 117   androidx/core/graphics/drawable/DrawableCompat
3e8ccf4c213080ab    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuTextItem
5a74ac5a47615111   46 of 177   kotlinx/coroutines/EventLoopImplBase
5b499fd3ce0d5af6   11 of  23   kotlin/io/FileTreeWalk$FileTreeWalkIterator$BottomUpDirectoryState
f223c50c68592f15    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
b066c24eb42f0663   19 of 127   androidx/sqlite/db/framework/FrameworkSQLiteDatabase
af1394f4946e3fed   14 of  21   androidx/arch/core/internal/SafeIterableMap$ListIterator
9b0b3fb5e0b1846a   35 of  85   androidx/appcompat/widget/AppCompatBackgroundHelper
7385b17f3a0a689c    7 of  40   kotlinx/coroutines/sync/SemaphoreKt
39188882d94b48bf    8 of  36   androidx/appcompat/widget/RtlSpacingHelper
eddf2fd63f594d3f    2 of  17   kotlin/internal/PlatformImplementations
e6d263891972dc59    1 of  10   androidx/recyclerview/widget/RecyclerView$LayoutManager$1
f19a6a8763b678d8    1 of   4   shark/AndroidReferenceMatchers$Companion$libraryLeak$1
750168ddf523488b    1 of   2   org/kiwix/kiwixmobile/core/main/CoreReaderFragment_ViewBinding$9
