class_id,class_name,probes_hit,probes_total,pct
32644374cd50045f,androidx/fragment/app/FragmentManager,404,1316,30.7
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,376,1610,23.35
436e05541b6180ea,androidx/navigation/NavController,370,1213,30.5
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,363,1317,27.56
1ca61f8b9b4c2223,androidx/recyclerview/widget/RecyclerView,344,2048,16.8
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,275,645,42.64
1266ec3ce0747e9d,org/kiwix/kiwixmobile/core/main/CoreReaderFragment,266,1532,17.36
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,236,598,39.46
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,233,825,28.24
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,229,1299,17.63
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,227,954,23.79
0f208bbc617df98c,org/kiwix/kiwixmobile/intro/CustomPageIndicator,215,297,72.39
a2afdb6ba6b57de1,com/google/android/material/shape/MaterialShapeDrawable,213,423,50.35
353bc5c9c3f2c78d,androidx/fragment/app/Fragment,209,751,27.83
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,200,508,39.37
5feebb286bc06819,com/google/android/material/navigation/NavigationBarItemView,178,392,45.41
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,164,430,38.14
6ad99a5106a0ddc1,androidx/recyclerview/widget/LinearLayoutManager,162,790,20.51
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,154,625,24.64
b2a59f238e0c4ef0,com/google/android/material/navigation/NavigationView,153,272,56.25
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,149,460,32.39
6120c23f1960e8a1,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,144,182,79.12
044ddadea10e405d,androidx/appcompat/widget/Toolbar,142,941,15.09
bd7f67d34f987e92,okhttp3/CipherSuite,126,130,96.92
811008d113b7e4d3,io/objectbox/flatbuffers/FlatBufferBuilder,126,271,46.49
bd28bebc7cc14dea,androidx/navigation/NavDestination,122,324,37.65
159d252decab2733,org/kiwix/kiwixmobile/core/dao/entities/MyObjectBox,122,123,99.19
6bd15b036d2fdffd,com/google/android/material/navigation/NavigationBarMenuView,121,347,34.87
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,121,311,38.91
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,120,274,43.8
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,116,201,57.71
25dadc5426a6e3ef,androidx/appcompat/widget/AppCompatTextHelper,112,379,29.55
3068484856f5a21a,androidx/recyclerview/widget/RecyclerView$LayoutManager,111,651,17.05
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
7c3a75b3c206a23a,org/kiwix/kiwixmobile/main/KiwixMainActivity,105,165,63.64
a31df95a90983457,kotlinx/coroutines/scheduling/CoroutineScheduler,103,310,33.23
f6304eb7c74f6ac4,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,101,197,51.27
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,99,137,72.26
7977247b2e066450,okio/Options$Companion,97,137,70.8
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,96,193,49.74
5afe8c47c5d2557e,com/google/android/material/shape/ShapeAppearanceModel,96,118,81.36
ec45d1beef1a05d1,androidx/core/view/ViewCompat,93,884,10.52
194e8f7af110c818,org/kiwix/kiwixmobile/core/di/components/DaggerCoreComponent$CoreComponentImpl,84,128,65.62
91bb45948d1149b3,com/google/android/material/navigation/NavigationBarView,83,167,49.7
31e67970ff87e849,androidx/recyclerview/widget/RecyclerView$Recycler,83,530,15.66
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,82,527,15.56
cd750f4355ebafb4,androidx/navigation/NavInflater,80,201,39.8
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,80,221,36.2
496a056255a12c2e,leakcanary/internal/InternalLeakCanary,79,163,48.47
d0773c01b8739005,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,76,226,33.63
5a934a214f9fcf7f,kotlin/jvm/internal/ClassReference,75,121,61.98
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,74,297,24.92
f31e5f9dca417b81,com/google/android/material/button/MaterialButton,74,384,19.27
aa122665a1f7fd3f,androidx/activity/ComponentActivity,73,214,34.11
55b2443c727acb99,androidx/fragment/app/FragmentStore,73,224,32.59
ef3f81be62cf5b0c,androidx/appcompat/app/AppCompatViewInflater,72,173,41.62
