[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Lexica-_v3.13.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-a3d8b20d": Wed Sep 02 13:50:24 UTC 2026 - Wed Sep 02 13:50:44 UTC 2026
8c5db3bf3ee7e304    1 of   2   androidx/core/view/ViewCompat$1
cb5c551300f5c6b8    6 of   6   androidx/appcompat/app/AppCompatActivity$2
ea2b5cf3f7dc0907   11 of  85   androidx/appcompat/widget/DrawableUtils
05966d17d06cdaeb   12 of  19   androidx/arch/core/executor/ArchTaskExecutor
4fb7ee738732d0f0    2 of  45   androidx/room/util/DBUtil
c02c54fc32a0c476    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
23882fba9899e6ac    4 of   5   androidx/savedstate/SavedStateRegistry$1
4511a2f083f6ea10   20 of  65   com/serwylo/lexica/db/ResultDao_Impl
ad286e82a1a77e0a    3 of  14   com/google/android/material/shape/AdjustedCornerSize
04c17344f75c64d3    1 of   2   androidx/fragment/app/FragmentManager$1
e5126958eab1f8f1   40 of  49   com/serwylo/lexica/lang/Catalan
5eb8070f59b26a0f    2 of 187   androidx/core/graphics/ColorUtils
180be2777b3bdf4d    1 of   5   androidx/fragment/app/DialogFragment$2
a3b8fbd887525739    2 of   2   kotlin/UNINITIALIZED_VALUE
6f3a165a8f16b47a    5 of   5   androidx/lifecycle/LifecycleRegistry$ObserverWithState
094f74b91b268edd    9 of  18   androidx/constraintlayout/solver/Pools$SimplePool
720b9e74cb96afe6    5 of   8   androidx/fragment/app/FragmentActivity$2
5c0849296ea9539b    2 of  29   androidx/fragment/app/FragmentFactory
a5d6a7db68893497   59 of 247   androidx/constraintlayout/widget/ConstraintLayout$LayoutParams
069f6997edc38ad8    4 of 10166   kotlin/collections/ArraysKt___ArraysKt
63da8cad8df0b492    1 of   2   androidx/activity/result/contract/ActivityResultContract
26757b2d6fbbaef5    5 of  49   com/google/android/material/ripple/RippleUtils
b28275a362b95b8f   24 of  28   com/serwylo/lexica/Changelog
345196dd66cd3a59    2 of  18   androidx/core/view/ViewCompat$Api21Impl
1ccc4a493202b69c    2 of  37   androidx/core/view/LayoutInflaterCompat
