[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-5dd601e2": Wed Sep 02 13:50:46 UTC 2026 - Wed Sep 02 13:51:07 UTC 2026
f81d221d9851b250   14 of  32   com/leinardi/android/speeddial/SpeedDialView$InstanceState
d14afec0e3ce4c47    1 of   2   androidx/fragment/R$styleable
a89428449028e0fd    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
9287b3f198d099af   13 of  15   org/proninyaroslav/libretorrent/ui/main/drawer/DrawerExpandableAdapter$ItemViewHolder
ee7989ac6fb5886a    4 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$15
e16823019142f320   22 of 135   androidx/appcompat/app/AppCompatDelegate
da4a335e59b900a6  164 of 571   androidx/appcompat/widget/SearchView
19c8e0f9881fc123    3 of  33   org/libtorrent4j/swig/torrent_delete_failed_alert
b9c582bbc9568227    1 of   2   org/libtorrent4j/alerts/Alerts$63
f91958a935b28413    1 of   5   androidx/recyclerview/selection/DefaultSelectionTracker$RangeCallbacks
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
87f2110296aa804f    1 of   2   org/libtorrent4j/alerts/Alerts$79
25deb3d1bd1efb09    2 of   3   io/reactivex/internal/operators/flowable/AbstractFlowableWithUpstream
3d5df6c1d28ec909   11 of  13   androidx/work/impl/CleanupCallback
3d69b880e036e5c4   10 of  25   org/libtorrent4j/swig/log_alert
6000fa92b015aa9a    1 of   6   com/leinardi/android/speeddial/FabWithLabelView$2
e49b0f39bb2e30a8    1 of  16   org/proninyaroslav/libretorrent/ui/main/MainFragment$2
edc096ff95eb5ef1    7 of  41   org/libtorrent4j/swig/entry
3223803585d9f7e8   23 of  33   androidx/cardview/widget/CardViewApi21Impl
b5ec5799bf675d39    1 of   2   org/proninyaroslav/libretorrent/core/storage/DatabaseMigration$7
04092c9587c7af70    1 of   2   org/libtorrent4j/alerts/Alerts$82
d9da335587854d26    1 of  11   androidx/core/os/LocaleListPlatformWrapper
20c2b0ec6949994b    6 of  16   org/libtorrent4j/swig/libtorrent_jni
eeb4eeac19fb09ce    1 of   2   org/libtorrent4j/alerts/Alerts$36
e1da2b3e92e6c82f    5 of  10   io/reactivex/internal/util/ArrayListSupplier
11b61902d653eed7    2 of   2   androidx/sqlite/db/SupportSQLiteOpenHelper$Callback$Companion
0b049a8aacea0d54    8 of  15   io/reactivex/internal/operators/single/SingleFlatMap$SingleFlatMapCallback
480a4a336e2f7c24    8 of   8   org/proninyaroslav/libretorrent/ui/main/drawer/DrawerGroup
fe96e92eb6ffb170   13 of  17   androidx/emoji2/viewsintegration/EmojiEditableFactory
a101d3f9e11443d4    4 of  11   androidx/lifecycle/ViewModelProvider$NewInstanceFactory
4e1ed89ca41e22a5  139 of 226   org/acra/config/CoreConfigurationBuilder
26697c5ee80a8204    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
5927fe7e3a2b1d4c    3 of  45   kotlin/collections/AbstractList$Companion
f62fa551aae269dd    2 of  28   androidx/work/impl/constraints/trackers/StorageNotLowTracker
679566d3f0273125   11 of  14   org/proninyaroslav/libretorrent/core/settings/SessionSettings$EncryptMode
bfc7640670f4ab7f   10 of  15   androidx/recyclerview/widget/ListAdapter
c874258f66349b85    2 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
4f866dfbc772e55b    1 of   1   androidx/lifecycle/viewmodel/internal/SynchronizedObject
205f0dd40c10a1ce   16 of  87   androidx/core/app/NotificationCompat$Action$Builder
03417b05c3db7bc6   28 of  87   androidx/room/RoomOpenHelper
409b7dec5b250609    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
a5f606519228e1d2    3 of  25   org/libtorrent4j/swig/file_progress_alert
6f9e235a967d3ae7    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ElevateToPressedTranslationZAnimation
650c57560300613b    6 of  20   org/acra/collector/TimeCollector
ab69d291e0b93920   84 of 486   androidx/databinding/ViewDataBinding
7cf5ede4e52e145d    1 of   2   org/libtorrent4j/alerts/Alerts$4
78a85c2b9abe4e5f    7 of 150   com/h6ah4i/android/widget/advrecyclerview/animator/GeneralItemAnimator
5e5f703bf306ad0b    2 of  13   androidx/recyclerview/widget/RecyclerView$4
2c15d85c17560376    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
7746781e6ecb11fe    3 of   5   org/proninyaroslav/libretorrent/core/collections/FixedRingBuffer$FixedRingBufferIterator
98449dbf317124e5    1 of   2   org/libtorrent4j/alerts/Alerts$20
ca0be1928140caab    2 of   4   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$broadcastReceiver$1
8a1392a2da7492b7    2 of  13   kotlin/text/Regex$Companion
296543ef54a27e5a    9 of  11   org/libtorrent4j/PortmapTransport
c88c7e9b642ea24d    1 of   2   org/libtorrent4j/alerts/Alerts$31
333b44dc9e76f9e5    2 of   2   androidx/activity/ComponentActivity$1$1
0c07e53a0b7e623b    1 of   2   androidx/appcompat/widget/TooltipCompat$Api26Impl
954ef46e8eae1ff3    3 of  31   org/libtorrent4j/swig/peer_disconnected_alert
d1ff91d35d8dcddf    1 of   2   org/libtorrent4j/alerts/Alerts$88
d39508959e72a50d    4 of  39   kotlinx/coroutines/flow/StateFlowKt
45279b4ad1251fc1   12 of  81   kotlin/io/TextStreamsKt
24d40969b6b69b82    9 of   9   io/reactivex/internal/queue/MpscLinkedQueue$LinkedQueueNode
0e14373005dafc74    3 of  25   org/libtorrent4j/swig/file_completed_alert
47ef186305323a2f   11 of  18   com/google/android/material/shape/MaterialShapeUtils
729bee175e9aa283    5 of  14   io/reactivex/disposables/Disposables
ad99aa59c3de5486   12 of  29   androidx/lifecycle/SavedStateViewModelFactoryKt
62a1ade9dfe8c038    4 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
