[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Markor-_v2.16.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-5dc8c90d": Wed Sep 02 13:51:11 UTC 2026 - Wed Sep 02 13:51:32 UTC 2026
4302f4cf7bef9822    7 of  83   androidx/lifecycle/Lifecycling
1f5c05ab77a8ed5f   57 of 239   com/google/android/material/floatingactionbutton/FloatingActionButton
5ac5c5ddb3f760ef    2 of   3   com/google/android/material/navigation/NavigationBarItemView$ActiveIndicatorUnlabeledTransform
8c09a1e6f5d93c3e    2 of   2   androidx/savedstate/SavedStateRegistry$Companion
04c17344f75c64d3    1 of   2   androidx/fragment/app/FragmentManager$1
ce86a715c76906f7    8 of  14   androidx/appcompat/widget/AppCompatEmojiTextHelper
0f0247c0f7364ff9    6 of  10   androidx/fragment/app/FragmentStateManager$2
720b9e74cb96afe6    5 of   8   androidx/fragment/app/FragmentActivity$2
36f5af3c0fea0a2c    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
4001e07c813e7551    7 of   9   androidx/lifecycle/ProcessLifecycleInitializer
8fb0281449d47662  218 of 1299   androidx/appcompat/app/AppCompatDelegateImpl
7b523921b4a41ac5    2 of  13   androidx/core/util/Pools$SimplePool
5c0849296ea9539b    2 of  29   androidx/fragment/app/FragmentFactory
960e2f771510187f    1 of   9   androidx/activity/result/ActivityResultRegistry$3
26757b2d6fbbaef5    5 of  49   com/google/android/material/ripple/RippleUtils
1f517e893d91a051    2 of   6   androidx/lifecycle/DefaultLifecycleObserver
104404d496814e09    8 of  53   androidx/core/os/TraceCompat
8ff58a434dd5087f    1 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
7d42a727a12f3754    1 of   5   androidx/appcompat/widget/ResourceManagerInternal$ColorFilterLruCache
8caa42cc739a91e2    1 of   7   androidx/core/view/ViewCompat$Api24Impl
407a3f0d640f0f58    2 of  11   kotlin/LazyKt__LazyJVMKt
842f06f411842f7e   10 of 122   kotlin/jvm/internal/Intrinsics
e9f05d215e262ad6    1 of   4   com/google/android/material/shape/CornerTreatment
2b0c3d7d7d1fd34d    1 of   2   androidx/arch/core/executor/ArchTaskExecutor$1
d918784fecf53181    1 of   4   androidx/core/view/ViewCompat$Api20Impl
160858532d106b6f   98 of 428   com/google/android/material/shape/MaterialShapeDrawable
f3963239a050f5d8  272 of 1317   androidx/viewpager/widget/ViewPager
e1ace9cd0c3b8472    1 of  43   com/google/android/material/internal/BaselineLayout
719f89f6638a6fc9    1 of   1   androidx/fragment/app/FragmentManagerImpl
c7c5d0044cddab33    4 of  73   androidx/core/util/Preconditions
7272615a4d3a1222    1 of   6   androidx/fragment/app/FragmentManager$2
c96ced8e05128dc1    2 of   3   androidx/emoji2/text/EmojiCompat$CompatInternal19$1
903ed7ba045c3beb   11 of  29   androidx/fragment/app/FragmentViewLifecycleOwner
0832959905ab7035    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
74f01197b1b154e3    2 of   3   androidx/fragment/app/FragmentTransaction$Op
24e8edd83a417747    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
3d08d969d4213878   69 of 119   com/google/android/material/shape/ShapeAppearanceModel
45878af2ecb943f5    1 of   9   androidx/appcompat/app/ToolbarActionBar$ToolbarMenuCallback
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
9387a01adac07566    2 of   7   androidx/viewpager2/widget/ViewPager2$DataSetChangeObserver
d2d1c4862d04db6e   38 of 402   com/google/android/material/appbar/AppBarLayout
9e42b92c69ade2fe   11 of  70   androidx/recyclerview/widget/RecyclerView$RecycledViewPool
8267bcb110ba022d    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ElevateToHoveredFocusedTranslationZAnimation
985365ec685bb9a0    7 of  15   androidx/emoji2/viewsintegration/EmojiTransformationMethod
44e4ca35ad3687a0   62 of 243   androidx/appcompat/widget/AppCompatTextView
259d2bd00f929596    1 of  31   androidx/activity/ComponentActivity$2
2efa337b574dc285    5 of   6   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
9595b65dba34e5b6    1 of   2   kotlin/collections/ArraysUtilJVM
73e85755a8694898    9 of  28   androidx/viewpager/widget/PagerAdapter
da68939e216794dc    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
f8328f0b964d053b    2 of   2   androidx/savedstate/Recreator$Companion
74843d0a44522993    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
e4109e84c10537c1    1 of   7   androidx/viewpager2/widget/ViewPager2$4
858d4eb4116ede07   12 of  87   androidx/core/view/MenuItemCompat
f62eeb29f97a8c2c   32 of  62   androidx/appcompat/widget/TintTypedArray
b1b4b32c8dd97b10    1 of  12   com/google/android/material/bottomnavigation/BottomNavigationView$1
817d6019b2d383e6    2 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
20f61afd81dfa385    1 of   7   com/google/android/material/internal/ParcelableSparseArray$1
5b864ba2b1a9f5df    8 of  71   androidx/tracing/Trace
792965b97d5bed9e    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
08b559514db02002    6 of  62   androidx/recyclerview/widget/RecyclerView$Adapter
eb24eea7b2aee37b    1 of   9   androidx/customview/view/AbsSavedState$2
83e2320f61b32407    1 of   4   androidx/core/content/ContextCompat$Api21Impl
be97366ca692de30    7 of 117   androidx/core/graphics/drawable/DrawableCompat
d4c5b7940b9b5894    3 of   6   androidx/fragment/app/Fragment$5
1fbc2404c007d7dc    9 of  16   androidx/lifecycle/FullLifecycleObserverAdapter$1
f223c50c68592f15    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
f08f5c2e83cab308    1 of   2   androidx/fragment/app/SpecialEffectsController$Operation$1
af1394f4946e3fed   10 of  21   androidx/arch/core/internal/SafeIterableMap$ListIterator
9cfa8bf60f6dfc05    1 of   9   androidx/appcompat/app/AppCompatDelegateImpl$3
01121f216a50a807    4 of  23   androidx/core/util/ObjectsCompat
9b0b3fb5e0b1846a   20 of  85   androidx/appcompat/widget/AppCompatBackgroundHelper
39188882d94b48bf    7 of  36   androidx/appcompat/widget/RtlSpacingHelper
9d8530dee7247e0f    7 of  11   androidx/core/app/CoreComponentFactory
6a8321ec1cadcfb2    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
09010609143bf341   11 of  22   com/google/android/material/stateful/ExtendableSavedState
f0e5068bddbd63a6    1 of  88   androidx/core/graphics/TypefaceCompatApi29Impl
cca066dd09642b6f    4 of  37   androidx/appcompat/widget/ThemeUtils
b81042fa480d8a9f    1 of  10   androidx/fragment/app/FragmentManager$10
2719d2d6056bb4dc    1 of  59   androidx/recyclerview/widget/SimpleItemAnimator
4d9ea98ba2f8ea94   28 of 100   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider
a3d0757233bfad64  158 of 354   com/google/android/material/navigation/NavigationBarItemView
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
314f65e670bc0891    2 of  46   kotlin/collections/MapsKt__MapsJVMKt
6231d92037e51c71    1 of  10   androidx/lifecycle/ViewTreeViewModelStoreOwner
bef6c048a9df67e9    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
