[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/MyExpenses-_r879-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-771a8099": Wed Sep 02 13:51:57 UTC 2026 - Wed Sep 02 13:52:19 UTC 2026
4d4e145285987c84    3 of   3   org/totschnig/myexpenses/activity/BaseActivity$special$$inlined$viewModels$default$8
d073e0dcb5edc542    2 of   4   kotlinx/coroutines/CoroutineExceptionHandler$DefaultImpls
f67939b2322e9de5   23 of  26   androidx/compose/material3/MotionScheme$StandardMotionSchemeImpl
bc8ad897e964ad79   25 of  77   androidx/compose/ui/text/font/FontListFontFamilyTypefaceAdapterKt
d2e37d117818d7eb    6 of  29   androidx/compose/ui/FrameRateCategory
0f6ca879f93a3e2d    6 of   8   androidx/recyclerview/widget/RecyclerView$Adapter$StateRestorationPolicy
5dacc27b0a501584    1 of  12   org/totschnig/myexpenses/sync/GenericAccountService
f3d7f2237a29bbd8    3 of   3   androidx/compose/animation/core/TwoWayConverterImpl
859d67cf0632e467    5 of  30   org/slf4j/helpers/Util
7689fc1b632ae9b0    7 of  20   kotlin/SafePublicationLazyImpl
420a5e63ec1b707a    7 of   9   androidx/core/view/ViewGroupKt$iterator$1
5baf9a267558b4d9    3 of   3   androidx/compose/ui/state/ToggleableStateKt
c075961687683107    5 of  35   ch/qos/logback/core/helpers/CyclicBuffer
dc4d0616c1a91bfc    3 of  18   androidx/compose/ui/text/font/FontSynthesis$Companion
5c8977a728fc63c3    6 of  31   kotlin/jvm/internal/CallableReference
b386397aba61d088    3 of  19   androidx/compose/ui/text/font/AsyncTypefaceCache$AsyncTypefaceResult
226feaa03f7c37a5    7 of  15   com/google/android/material/textfield/EndCompoundLayout$2
df1df0af6e4fa1e5    3 of  86   androidx/compose/foundation/layout/FlowRowOverflow$Companion
bf15511bece282f6    3 of   3   androidx/work/impl/model/WorkProgressDao_Impl$Companion
