class_id,class_name,probes_hit,probes_total,pct
b1c39ebd9218bd13,org/totschnig/myexpenses/viewmodel/data/FontAwesomeIconsKt,1855,1855,100.0
1fc84ac487f6189c,com/google/android/material/textfield/TextInputLayout,534,1533,34.83
955cec0690f5b04d,androidx/compose/ui/node/LayoutNode,428,1276,33.54
b2fa4faefefcda21,androidx/compose/ui/platform/AndroidComposeView,416,1967,21.15
f20445d03ac59efe,androidx/compose/runtime/GapComposer,413,1782,23.18
eb60c0062dbfc31a,androidx/recyclerview/widget/RecyclerView,349,2313,15.09
0300157b3faaad96,androidx/compose/ui/node/NodeCoordinator,334,1400,23.86
f4a670eba136861e,com/google/android/material/internal/CollapsingTextHelper,316,598,52.84
8db12c2cb5c065d8,androidx/constraintlayout/core/widgets/ConstraintWidget,306,1652,18.52
f62d6dc5e5f0e499,androidx/compose/material3/tokens/TypeScaleTokens,304,304,100.0
0a95bbf09a81e7f3,androidx/appcompat/widget/SwitchCompat,293,568,51.58
59b476e8fef981d5,org/totschnig/myexpenses/compose/transactions/ItemRenderer,291,843,34.52
ec9b497499a05c64,androidx/compose/ui/node/MeasurePassDelegate,269,588,45.75
46e011bdac33b971,androidx/compose/foundation/layout/FlowLayoutKt,265,1057,25.07
a243da3d54436950,androidx/compose/runtime/composer/gapbuffer/SlotWriter,262,1245,21.04
312510497b9d2a9e,androidx/fragment/app/FragmentManager,262,1441,18.18
29a02267703b8a2c,androidx/appcompat/widget/Toolbar,239,942,25.37
db21cfc23255961f,androidx/compose/runtime/snapshots/SnapshotKt,236,458,51.53
9dcba29b3b2e2ffe,androidx/compose/material3/tokens/TypographyTokens,227,242,93.8
2c9821b372663804,org/totschnig/myexpenses/preference/PrefKey,226,233,97.0
6b8d733f6bc97b9f,kotlinx/coroutines/channels/BufferedChannel,219,1716,12.76
fc107636aba4dcff,com/google/android/material/shape/MaterialShapeDrawable,218,570,38.25
7ec596a9512ea9b4,androidx/compose/material3/TextKt,216,1012,21.34
da9c297a5681dc7a,androidx/constraintlayout/widget/ConstraintLayout,211,610,34.59
54b58e2af127d3ee,androidx/appcompat/app/AppCompatDelegateImpl,198,1224,16.18
d715b57704c1c266,androidx/compose/runtime/Recomposer,193,923,20.91
