[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-6d2857a8": Wed Sep 02 13:52:51 UTC 2026 - Wed Sep 02 13:53:18 UTC 2026
bceb71f516d45bc8   16 of  27   openfoodfacts/github/scrachx/openfood/repositories/TaxonomiesManager$getTaxonomyData$2
72bdf59a8691a1b5   12 of  18   okhttp3/internal/http2/ErrorCode
0631f9b95a1ab597    3 of  14   kotlin/reflect/jvm/internal/impl/resolve/scopes/receivers/ImplicitClassReceiver
39dd25f03c8ae0a1   29 of 330   kotlin/collections/ArrayDeque
a417896b603cad48    9 of 117   kotlin/reflect/jvm/internal/KCallableImpl
7dba57233da8b739    1 of   8   kotlin/reflect/jvm/internal/KCallableImpl$_typeParameters$1
095ffee5e9dc1e6c    2 of  14   dagger/internal/DaggerCollections
ee6b80551031ee04    1 of   2   openfoodfacts/github/scrachx/openfood/features/simplescan/SimpleScanViewModel_HiltModules$KeyModule
09aa107ee0e1293b   36 of  95   androidx/work/impl/background/greedy/GreedyScheduler
a630ba0153da7fe4    4 of   9   kotlin/reflect/jvm/internal/impl/resolve/scopes/LazyScopeAdapter
73884e0506a8eb35    3 of   6   kotlin/reflect/jvm/internal/impl/utils/SmartSet$Companion
20d4560e4c3b7af3    1 of   2   com/google/android/material/snackbar/BaseTransientBottomBar$SnackbarBaseLayout$1
d3c2933f787ef890    1 of  33   com/squareup/picasso/RequestHandler
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
a61efe724d1ad562   11 of  30   okhttp3/Route
7f9c2a2afe5cdbf3   10 of  13   kotlinx/coroutines/CoroutineDispatcher
2b40fd0ac8f85ea8   70 of 377   com/fasterxml/jackson/databind/util/ClassUtil
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
dbbfbbc811cf61a5    6 of   7   openfoodfacts/github/scrachx/openfood/models/entities/store/StoreNameDao$Properties
2688539e4de1f8d7    6 of  16   org/greenrobot/eventbus/android/AndroidDependenciesDetector
3deedead4a91f9f3    1 of   3   kotlin/reflect/jvm/internal/KClassImpl$Data$allStaticMembers$2
c6577d64841c1f0c   45 of  89   androidx/room/RoomDatabase
7c586f3cee399d7e    6 of   7   com/fasterxml/jackson/module/kotlin/KotlinNamesAnnotationIntrospectorKt
52e4cc570c56d2c2   27 of  29   kotlin/reflect/jvm/internal/impl/builtins/StandardNames
6e769241fdfd61e2    3 of  11   kotlin/reflect/jvm/internal/impl/protobuf/UnmodifiableLazyStringList
36b47a0dc4047891    2 of   6   androidx/work/impl/utils/futures/DirectExecutor
c7c5d0044cddab33    2 of  73   androidx/core/util/Preconditions
04f88c97ab02f342    5 of  37   kotlin/reflect/jvm/internal/ReflectionFactoryImpl
cfc129760bdd5d5b    3 of   3   kotlin/reflect/jvm/internal/impl/metadata/jvm/JvmProtoBuf$JvmFieldSignature$1
9ac2ef9d800a5564    1 of   2   androidx/activity/ComponentActivity$Api19Impl
9e2299338594b2b7    1 of  14   kotlin/reflect/jvm/internal/impl/utils/Jsr305State$description$2
46b0504dbc897a47   35 of  51   kotlin/reflect/jvm/internal/impl/serialization/deserialization/ClassDeserializer
84512805161d1a7f   18 of  22   openfoodfacts/github/scrachx/openfood/features/splash/SplashActivity$hideLoading$2
ac1aa0e5252529e1   15 of  83   androidx/sqlite/db/framework/FrameworkSQLiteDatabase
0753dd9aa93383c6   31 of 394   com/fasterxml/jackson/core/base/ParserBase
2cfc37a14920a23d    2 of  24   kotlin/reflect/jvm/internal/impl/types/DisjointKeysUnionTypeSubstitution
697c4375436b5920    1 of   1   okhttp3/internal/io/FileSystem
8e95561f82701abe    6 of   7   kotlin/reflect/jvm/internal/impl/load/java/lazy/LazyJavaTypeParameterResolver$resolve$1
da75c134b6930d9e    7 of   9   androidx/work/impl/WorkerWrapper$Builder
d1ead569c03604f9    3 of   4   io/sentry/internal/modules/NoOpModulesLoader
fd744a4304e7439e   85 of 160   kotlin/reflect/jvm/internal/impl/metadata/ProtoBuf$ValueParameter
8f27ab0289c94da2    2 of   2   openfoodfacts/github/scrachx/openfood/features/welcome/Hilt_WelcomeActivity$1
a0b91f6950f56f6a    4 of  11   com/fasterxml/jackson/databind/deser/Deserializers$Base
6be52ec71dcf28a2   15 of  27   com/fasterxml/jackson/annotation/JsonAutoDetect$1
c5836f3b6de8a701    7 of  25   kotlin/reflect/jvm/internal/impl/types/AbstractTypeConstructor
817d6019b2d383e6    1 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
cef720a3d8e886ee    3 of   4   androidx/lifecycle/MutableLiveData
facc9603b55589c9    1 of   4   openfoodfacts/github/scrachx/openfood/models/DaoMaster$OpenHelper
5ca50679d27808f2    1 of  41   com/google/android/gms/internal/mlkit_common/zzad
f9dbdebf28b78f8a   11 of  24   kotlinx/coroutines/CoroutineStart
