class_id,class_name,probes_hit,probes_total,pct
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,272,645,42.17
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,263,1610,16.34
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,224,598,37.46
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,199,1298,15.33
749b487d3e1a343d,com/sothree/slidinguppanel/SlidingUpPanelLayout,178,615,28.94
39a72b8f7e391664,com/darkempire78/opencalculator/activities/MainActivity,167,994,16.8
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,149,460,32.39
32644374cd50045f,androidx/fragment/app/FragmentManager,116,1316,8.81
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,113,274,41.24
da3bd92272cbd456,com/google/gson/Gson,110,238,46.22
a9646607e397df61,kotlinx/coroutines/JobSupport,91,755,12.05
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,90,380,23.68
a31df95a90983457,kotlinx/coroutines/scheduling/CoroutineScheduler,88,310,28.39
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,83,193,43.01
f6304eb7c74f6ac4,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,77,197,39.09
8bc98693d0547e2a,com/google/android/material/button/MaterialButton,72,386,18.65
bd5a8197bf13b8be,com/darkempire78/opencalculator/databinding/ActivityMainBinding,65,123,52.85
075fefc736c60661,com/google/gson/internal/$Gson$Types,63,201,31.34
c496254a6aa0a19e,androidx/activity/ComponentActivity,61,226,26.99
e270e2a644787839,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
3cf6f9a1586edf50,com/google/gson/internal/bind/TypeAdapters,60,63,95.24
63724b760f68943d,androidx/startup/AppInitializer,60,86,69.77
d0773c01b8739005,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,59,226,26.11
355df990ae974d64,androidx/core/content/res/ColorStateListInflaterCompat,58,96,60.42
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,51,508,10.04
246db4a645312647,com/google/android/material/shape/ShapeAppearanceModel$Builder,51,108,47.22
a0ab5316d1bac995,androidx/emoji2/text/EmojiCompat,50,165,30.3
224d020298aec18f,androidx/collection/ArraySet,49,239,20.5
8ff21dc0a4d7e420,kotlinx/coroutines/internal/LockFreeLinkedListNode,47,107,43.93
1ef7f6de917c0a2e,androidx/appcompat/widget/AppCompatTextView,47,258,18.22
4a5fc5dff879e46b,androidx/appcompat/app/AppCompatViewInflater,46,169,27.22
55511ebfd91296ef,com/darkempire78/opencalculator/MyPreferences,44,98,44.9
5afe8c47c5d2557e,com/google/android/material/shape/ShapeAppearanceModel,44,118,37.29
b7c0a2a05ad84f6a,com/google/android/material/color/DynamicColors,42,122,34.43
db7ddf4d0167e2f9,androidx/appcompat/widget/AppCompatEditText,41,125,32.8
9c8089427f1773bc,androidx/emoji2/text/SpannableBuilder,38,102,37.25
a76a050e17370e8b,androidx/appcompat/widget/AppCompatImageHelper,36,99,36.36
0c3706b71ac229cb,androidx/appcompat/widget/AppCompatButton,35,140,25.0
93f72387ec4614a2,com/google/android/material/button/MaterialButtonHelper,34,193,17.62
208426174b1000a3,kotlinx/coroutines/internal/DispatchedContinuationKt,34,138,24.64
193db44406d3dd0c,androidx/constraintlayout/core/widgets/ConstraintAnchor,33,180,18.33
1da2f24505dca265,androidx/activity/OnBackPressedDispatcher,32,117,27.35
5237887f4473c81a,com/google/gson/stream/JsonWriter,32,185,17.3
54b8e061f4911ecb,androidx/appcompat/app/AppCompatActivity,32,142,22.54
91dfb4c40af73733,kotlinx/coroutines/DispatchedTask,31,90,34.44
054467a83e991a29,androidx/profileinstaller/ProfileVerifier,31,69,44.93
84bde0f7628f84b5,androidx/fragment/app/FragmentActivity,31,112,27.68
8e4e4c17b8365e3f,com/google/android/material/textview/MaterialTextView,30,45,66.67
8fc35169a2060de8,androidx/recyclerview/widget/DefaultItemAnimator,30,349,8.6
d8e6a9258c4d73e9,androidx/appcompat/widget/AppCompatBackgroundHelper,30,85,35.29
e9915d1bf6b675c3,androidx/constraintlayout/core/widgets/Guideline,29,131,22.14
84f1db4d146eb4a5,androidx/arch/core/internal/SafeIterableMap,28,73,38.36
feddcab31214edd6,androidx/core/view/ViewCompat,27,775,3.48
9302d043ac912bc4,androidx/profileinstaller/ProfileInstaller,26,81,32.1
74f0c89b7522a1e1,androidx/appcompat/view/ContextThemeWrapper,26,51,50.98
2ce09e55890c4dd9,androidx/appcompat/widget/AppCompatImageButton,25,81,30.86
4d346e66e07e8a82,com/google/gson/internal/Excluder,24,122,19.67
11a2c4cad07b6b1a,com/darkempire78/opencalculator/TextSizeAdjuster,24,46,52.17
6cb1814a88bf264e,androidx/appcompat/widget/ContentFrameLayout,24,93,25.81
8853fbcf32bf1ca2,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,22,252,8.73
e16823019142f320,androidx/appcompat/app/AppCompatDelegate,21,135,15.56
99d3ca4c276c0950,androidx/profileinstaller/DeviceProfileWriter,21,149,14.09
37c03958bb82dbc7,com/google/android/material/internal/ThemeEnforcement,21,57,36.84
d94909f4672d2c73,kotlinx/coroutines/internal/LockFreeTaskQueueCore,21,111,18.92
47d28bf9e7021711,kotlinx/coroutines/android/HandlerContext,20,50,40.0
aea72105564ef500,com/darkempire78/opencalculator/calculator/parser/NumberFormatter,20,92,21.74
8582736ecd877a43,kotlin/collections/MapsKt__MapsKt,20,269,7.43
18dc602cda6870d1,MyPreferenceMigrator,20,41,48.78
742c02c3890d31ab,androidx/recyclerview/widget/ItemTouchHelper,20,414,4.83
a29dd84dfe58e0b4,com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl,19,46,41.3
b3a9e1e8aa27751f,kotlin/collections/ArrayDeque,19,374,5.08
