[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/OpenSudoku-_4.10.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-95ffccc": Wed Sep 02 13:53:44 UTC 2026 - Wed Sep 02 13:54:05 UTC 2026
301669068fcb92db    6 of  13   kotlinx/coroutines/scheduling/DefaultIoScheduler
c4479396b204a9d4    9 of  11   androidx/arch/core/internal/FastSafeIterableMap
c683bfee8c71811d    1 of  16   androidx/core/view/WindowInsetsCompat$Impl29
de481d79c684d1b0    2 of   5   kotlin/Result$Companion
a89428449028e0fd    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
4cb8873edd7c32fc    8 of  14   androidx/appcompat/widget/AppCompatEmojiTextHelper
8526e4fa58b06d6b    7 of  12   androidx/lifecycle/Lifecycle$Event$Companion$WhenMappings
e3233f9c63280f90   31 of 301   androidx/fragment/app/BackStackRecord
25873d9c58a7e4b5    4 of  48   androidx/core/content/res/GrowingArrayUtils
e16823019142f320   28 of 135   androidx/appcompat/app/AppCompatDelegate
ac963481313ebd24   14 of  43   androidx/activity/ComponentDialog
902841575ccf25be   84 of 187   kotlinx/coroutines/scheduling/CoroutineScheduler$Worker
a57e244041272409    3 of  18   androidx/appcompat/app/AppCompatDelegate$SerialExecutor
9eecf54e794d0efe    5 of  27   androidx/arch/core/executor/DefaultTaskExecutor
5c8977a728fc63c3    2 of  31   kotlin/jvm/internal/CallableReference
0cafa113a3d9ae76    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
0a16dfbabda03014   73 of 178   org/moire/opensudoku/gui/screen/title/TitleScreenActivity
c22f5e8081d6f161   63 of 430   androidx/fragment/app/FragmentStateManager
3f51dac76a9a3314    1 of   5   androidx/appcompat/widget/ActionMenuView$LayoutParams
2c51c8570ee51efa    3 of  10   kotlin/random/AbstractPlatformRandom
3192c2d80549321a    2 of 172   androidx/core/graphics/ColorUtils
7f9c2a2afe5cdbf3   10 of  13   kotlinx/coroutines/CoroutineDispatcher
5cf24abe4ab974e8    1 of   3   androidx/core/content/res/ResourcesCompat$Api23Impl
c54a86f62856b3f4   12 of  26   org/moire/opensudoku/gui/fragments/DialogParams
32644374cd50045f  276 of 1316   androidx/fragment/app/FragmentManager
913275da7b3de3f7    6 of  21   kotlinx/coroutines/JobImpl
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
27f8d838c0f9131a    3 of  15   kotlin/io/CloseableKt
66cd38b3a6489812    1 of  23   androidx/core/view/WindowInsetsCompat$Type
9cc1e1196d794884   11 of  27   kotlin/coroutines/jvm/internal/BaseContinuationImpl
