class_id,class_name,probes_hit,probes_total,pct
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,310,938,33.05
32644374cd50045f,androidx/fragment/app/FragmentManager,276,1316,20.97
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,245,1298,18.88
fc107636aba4dcff,com/google/android/material/shape/MaterialShapeDrawable,205,570,35.96
4824f8754f8c30ff,org/moire/opensudoku/db/DatabaseHelper,146,226,64.6
e5eaedf7acfc12ce,com/google/android/material/button/MaterialButton,133,773,17.21
353bc5c9c3f2c78d,androidx/fragment/app/Fragment,120,751,15.98
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,113,629,17.97
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,111,483,22.98
286fa0873be127cc,androidx/appcompat/app/AlertController,110,326,33.74
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,99,380,26.05
bea1df537a3c7e8b,androidx/appcompat/widget/AlertDialogLayout,92,122,75.41
902841575ccf25be,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,84,187,44.92
57497a38ebe02467,kotlinx/coroutines/scheduling/CoroutineScheduler,82,291,28.18
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,81,530,15.28
eb03522e3b18dbce,com/google/android/material/shape/ShapeAppearanceModel,80,135,59.26
21012f793c3e8420,com/google/android/material/shape/ShapeAppearanceModel$Builder,78,121,64.46
c496254a6aa0a19e,androidx/activity/ComponentActivity,78,226,34.51
9eb64b265d018ff5,androidx/lifecycle/LifecycleRegistry,77,144,53.47
3cf18de831182b5d,androidx/appcompat/widget/ResourceManagerInternal,76,216,35.19
0a16dfbabda03014,org/moire/opensudoku/gui/screen/title/TitleScreenActivity,73,178,41.01
c0b7e15ac7a5a741,com/google/android/material/button/MaterialButtonHelper,69,204,33.82
f292c4461ce52b59,kotlinx/coroutines/JobSupport,68,750,9.07
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,63,430,14.65
ad072f68e58dd023,androidx/core/content/res/ColorStateListInflaterCompat,60,96,62.5
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,58,282,20.57
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
1ef7f6de917c0a2e,androidx/appcompat/widget/AppCompatTextView,52,258,20.16
2ad91fed90c9c070,androidx/core/content/res/ResourcesCompat,50,138,36.23
2b2341cfb2b4b185,androidx/fragment/app/DialogFragment,50,205,24.39
224d020298aec18f,androidx/collection/ArraySet,49,239,20.5
55b2443c727acb99,androidx/fragment/app/FragmentStore,48,224,21.43
a0ab5316d1bac995,androidx/emoji2/text/EmojiCompat,48,165,29.09
189d1e841728c1de,androidx/appcompat/widget/ActionMenuView,40,318,12.58
126263374f9a2b1a,androidx/appcompat/widget/ButtonBarLayout,39,88,44.32
a76a050e17370e8b,androidx/appcompat/widget/AppCompatImageHelper,39,99,39.39
