[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-bd960cea": Wed Sep 02 13:54:07 UTC 2026 - Wed Sep 02 13:54:29 UTC 2026
dc468446e0a3e8a0   18 of  39   androidx/room/InvalidationTracker$ObserverWrapper
1a7a75cee434db84    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ResetElevationAnimation
555eb83c963c1b56    2 of  42   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
0f0247c0f7364ff9    6 of  10   androidx/fragment/app/FragmentStateManager$2
09aa107ee0e1293b   36 of  95   androidx/work/impl/background/greedy/GreedyScheduler
aa3c1fc7ae360bdf    2 of   9   androidx/sqlite/db/SupportSQLiteCompat$Api16Impl
7f9c2a2afe5cdbf3   10 of  13   kotlinx/coroutines/CoroutineDispatcher
4802628c9b2431b1   11 of  21   org/joda/time/field/PreciseDurationDateTimeField
8ff58a434dd5087f   13 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
fe8a792bd662c1e1    2 of  21   com/orgzly/android/ui/main/SearchViewSetupKt$setupSearchView$3
5aad35601a9f8576    1 of   3   com/orgzly/android/db/PreRoomMigration$MIGRATION_146_147$1
2de8a21b02231df5    3 of  17   org/joda/time/convert/ReadableInstantConverter
3223803585d9f7e8   17 of  33   androidx/cardview/widget/CardViewApi21Impl
b7b8c6d108ef89af    4 of 249   com/orgzly/android/ui/savedsearches/SavedSearchesFragment
36b47a0dc4047891    2 of   6   androidx/work/impl/utils/futures/DirectExecutor
c7c5d0044cddab33    4 of  73   androidx/core/util/Preconditions
2e4ddeb4f42154ec    9 of  17   androidx/room/RoomDatabase$JournalMode
e567ac62698cf0bd    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
74f01197b1b154e3    1 of   3   androidx/fragment/app/FragmentTransaction$Op
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
7d1e928c85e4da4f    7 of   7   com/orgzly/android/db/entity/BookAction$Type
