[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ReadYou-_0.16.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-26f1df96": Wed Sep 02 17:21:44 UTC 2026 - Wed Sep 02 17:22:05 UTC 2026
52f90eae0c747023    5 of  24   androidx/compose/ui/text/ParagraphIntrinsicInfo
859d67cf0632e467    5 of  30   org/slf4j/helpers/Util
73c2134c02d72251    3 of  36   androidx/compose/ui/text/platform/extensions/PlaceholderExtensions_androidKt
50c36b5ba269f9f8    3 of   3   me/ash/reader/infrastructure/preference/SettingsProvider$1$1
e16823019142f320   38 of 135   androidx/appcompat/app/AppCompatDelegate
7bd86f366eb51a57    2 of   7   me/ash/reader/infrastructure/preference/SwipeEndActionPreference$ToggleStarred
59f2a4d4e8a93580    2 of   6   okhttp3/internal/connection/RouteSelector$Companion
fccef1e4c879e543   12 of  25   androidx/compose/ui/text/style/BaselineShift
d4e08263126984f9    2 of   4   kotlin/jvm/internal/IntCompanionObject
8462cc2ae3432b1f    6 of  10   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$2
3b719a35b7113643    1 of   2   androidx/datastore/core/DataStoreImpl$readDataOrHandleCorruption$1
a88cb76c4380bc79    6 of   8   androidx/work/impl/model/PreferenceDao_Impl$1
e8bed8d806d3d6ac    2 of   2   me/ash/reader/infrastructure/preference/KeepArchivedPreference$For3Days
8120e8a3b8111188    2 of   2   androidx/compose/runtime/CancelledCoroutineContext$Key
fcbc7205d3bcbd18    2 of   2   me/ash/reader/infrastructure/preference/FlowFilterBarTonalElevationPreference$Level5
1b663650856b6840    1 of   6   androidx/compose/animation/EnterExitTransitionKt$slideOutHorizontally$2
9c47b943d7ef72f4    3 of  17   androidx/compose/runtime/ComputedValueHolder
42110e63648e88dc    2 of  12   androidx/compose/ui/node/ModifierNodeElement
977a3e1eebac02e8  111 of 246   androidx/compose/ui/text/SpanStyleKt
6097b68268c1def4    2 of   3   androidx/compose/ui/text/intl/Locale$Companion
614c2323a432c67c   10 of  10   okhttp3/internal/platform/android/AndroidCertificateChainCleaner$Companion
