class_id,class_name,probes_hit,probes_total,pct
0457aace9a7d2f10,androidx/compose/runtime/ComposerImpl,919,1754,52.39
37e7b0992b9cfd82,androidx/compose/runtime/SlotWriter,663,1249,53.08
594b37f66a16f448,androidx/compose/ui/node/LayoutNode,518,1218,42.53
0aa23bae12a79884,androidx/work/impl/model/WorkSpecDao_Impl,493,1391,35.44
3176048f1bbd8283,androidx/compose/runtime/CompositionImpl,446,1213,36.77
3c5697f74ab2d487,androidx/compose/ui/platform/AndroidComposeView,440,1802,24.42
b6e0b128b50523e1,androidx/compose/ui/node/NodeCoordinator,409,1272,32.15
b375a773a89f2487,androidx/compose/material3/ScaffoldKt,382,575,66.43
2072d6349e9a69e8,kotlinx/coroutines/channels/BufferedChannel,379,1770,21.41
954c39f59db9f1f6,kotlinx/coroutines/JobSupport,366,790,46.33
0e8424ed78ef98fc,androidx/compose/runtime/Recomposer,364,1038,35.07
d2182abe9c41b95c,com/caverock/androidsvg/SVGAndroidRenderer,341,2028,16.81
b167355b3c78216d,com/rometools/rome/io/impl/XmlFixerReader,307,404,75.99
f62d6dc5e5f0e499,androidx/compose/material3/tokens/TypeScaleTokens,304,304,100.0
e4faec4ba6575157,androidx/navigation3/ui/NavDisplayKt__NavDisplayKt,303,630,48.1
58322c0b1e030d55,net/dankito/readability4j/processor/ArticleGrabber,302,741,40.76
d3b14d6d5c261d71,androidx/compose/ui/node/MeasurePassDelegate,301,551,54.63
a88a9cd6262b0804,androidx/compose/material3/FloatingActionButtonKt,277,1851,14.96
332ea8be20939e29,androidx/compose/ui/node/LookaheadPassDelegate,275,489,56.24
ca72b658dabc14b0,androidx/compose/runtime/snapshots/SnapshotKt,270,450,60.0
8c0d3f58dd8cee73,androidx/compose/ui/node/MeasureAndLayoutDelegate,253,631,40.1
9dcba29b3b2e2ffe,androidx/compose/material3/tokens/TypographyTokens,241,242,99.59
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,231,1298,17.8
1a496dd5529f52d6,com/caverock/androidsvg/SVGParser,229,1597,14.34
f8c8597ec4b0faa9,okio/Buffer,222,923,24.05
9e180a9c6eed1626,okhttp3/internal/CommonHttpUrl,220,649,33.9
0e29e6e966072a82,androidx/datastore/preferences/protobuf/MessageSchema,217,2416,8.98
8ba42f72080edee2,androidx/compose/animation/AnimatedVisibilityKt,211,658,32.07
1e706ee0f394e80e,androidx/compose/ui/text/TextStyle,205,1398,14.66
fee348db76feb641,me/ash/reader/ui/theme/palette/TonalPalettes,193,297,64.98
1cc262b90b6e2d4e,me/ash/reader/infrastructure/preference/Settings,180,502,35.86
c2ed10e4f478bde0,androidx/compose/ui/graphics/layer/GraphicsLayer,179,508,35.24
8a90a10f368e9b42,androidx/compose/animation/EnterExitTransitionKt,177,459,38.56
92a0e02f3f2edf06,androidx/compose/animation/core/TransitionKt,176,980,17.96
1d49eef4f37deb2e,androidx/compose/animation/core/Transition,173,366,47.27
e31b15bedf2addc0,androidx/compose/runtime/snapshots/MutableSnapshot,169,427,39.58
e0ae8359e50af8d1,androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableMap/TrieNode,167,469,35.61
8c70a54d1a5bb140,com/rometools/rome/io/impl/Atom10Parser,166,370,44.86
5e6859384caf6740,androidx/compose/material3/SurfaceKt,160,539,29.68
91036bfcc1dd7ae9,androidx/compose/ui/node/NodeKindKt,158,244,64.75
62724709f64de051,androidx/compose/runtime/SlotReader,152,245,62.04
41e80ec99ed59c38,com/caverock/androidsvg/SVGParser$ColourKeywords,151,152,99.34
0daf9edaa62bc3c0,androidx/compose/runtime/snapshots/SnapshotStateObserver$ObservedScopeMap,150,493,30.43
1aedec2e879ad7e9,androidx/compose/material3/ColorSchemeKt,149,819,18.19
3cceb301efa23605,androidx/room/RoomDatabase,147,287,51.22
3860a6460b4b0e66,kotlinx/coroutines/CancellableContinuationImpl,147,382,38.48
83395dbcd38f6d75,androidx/compose/runtime/Recomposer$runRecomposeAndApplyChanges$2,145,300,48.33
9512397302690487,me/ash/reader/domain/repository/AccountDao_Impl,145,262,55.34
b2ee4e2030eed67e,androidx/room/TriggerBasedInvalidationTracker,145,266,54.51
0821793b65ad420d,androidx/compose/ui/spatial/RectManager,144,418,34.45
dd79d583766f845f,com/rometools/modules/mediarss/io/MediaModuleParser,144,516,27.91
d406b311f323c78c,androidx/compose/material3/tokens/PaletteTokens,143,184,77.72
2c4675f24a05f01d,okhttp3/internal/connection/RealCall,138,276,50.0
164b5fd31ddc686c,androidx/compose/material/TextKt,138,715,19.3
227f79adfce920a7,me/ash/reader/ui/ext/DataStoreKey,134,150,89.33
12d2a73bba0ca0d8,androidx/compose/ui/platform/AndroidCompositionLocals_androidKt,133,173,76.88
184b68262b135391,org/jsoup/nodes/Element,132,411,32.12
64977303f2f15375,androidx/compose/animation/CrossfadeKt,130,222,58.56
9f20294f29d17847,okhttp3/CipherSuite,127,130,97.69
119f9ef438d29e76,androidx/compose/material3/ButtonKt,126,1073,11.74
486ec86c8b83dafc,androidx/compose/runtime/changelist/ComposerChangeListWriter,126,202,62.38
47c67a78fe50e244,androidx/compose/ui/node/NodeChain,125,580,21.55
9584b56c53efb3fc,androidx/compose/runtime/snapshots/SnapshotStateObserver,124,225,55.11
64b49aa3ba9c0cfd,androidx/compose/foundation/text/BasicTextKt,124,1067,11.62
36164563ea4b11cc,org/jsoup/parser/HtmlTreeBuilder,124,349,35.53
50a213b231e77547,kotlinx/coroutines/flow/SharedFlowImpl,123,363,33.88
d86d968530a6330c,com/caverock/androidsvg/SVGParser$1,123,243,50.62
5fe1187d00949821,androidx/compose/runtime/RecomposeScopeImpl,123,247,49.8
d29f3cd34ed2695a,androidx/compose/ui/draw/PainterNode,122,202,60.4
40194314b63a52a2,androidx/compose/foundation/lazy/LazyListMeasureKt,120,336,35.71
a6e90fb7747747fa,okio/ByteString,120,267,44.94
97f6a63b1ea8a858,me/ash/reader/infrastructure/android/MainActivity,119,244,48.77
cec5110f32228ad6,kotlinx/coroutines/scheduling/CoroutineScheduler,118,312,37.82
768e4adc7ff764fa,androidx/navigation3/runtime/DecoratedNavEntriesKt,118,200,59.0
d962cbd66b21c80f,me/ash/reader/ui/theme/palette/DynamicTonalPaletteKt,118,233,50.64
