[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-1d4bf6ed": Wed Sep 02 13:56:00 UTC 2026 - Wed Sep 02 13:56:00 UTC 2026
96134c58504d8206    2 of   7   shark/AndroidReferenceMatchers$TEXT_LINE__SCACHED$add$1
f746c2b924b5d94b    5 of  23   leakcanary/WorkManagerHeapAnalyzer
c4479396b204a9d4    7 of  11   androidx/arch/core/internal/FastSafeIterableMap
ddfab8c829a3e493    7 of   8   curtains/internal/WindowManagerSpy$mViewsField$2
090b60d80feb5a3b    2 of  32   curtains/internal/RootViewsSpy$delegatingViewList$1
d185c69626a729b3    4 of   4   leakcanary/internal/HandlersKt$mainHandler$2
8526e4fa58b06d6b    7 of  12   androidx/lifecycle/Lifecycle$Event$Companion$WhenMappings
41070aa6d25d3df4    3 of   3   shark/AndroidReferenceMatchers$OEM_SCENE_CALL_BLOCKER
98b47684719ce3a4    4 of  20   leakcanary/RemoteWorkManagerHeapAnalyzer
bc06aa45d0ac42e5    5 of  12   leakcanary/internal/MainProcessAppWatcherInstaller
fdb17b6c12d8bc0b   10 of  46   io/reactivex/rxjava3/internal/schedulers/SingleScheduler
c90d544656af77f5    7 of   7   leakcanary/internal/VisibilityTrackerKt
8fa820763d8afa45    4 of  17   leakcanary/AndroidLeakFixes$SAMSUNG_CLIPBOARD_MANAGER
9eecf54e794d0efe    5 of  27   androidx/arch/core/executor/DefaultTaskExecutor
1323b0644cd39780    6 of   8   leakcanary/internal/InternalLeakCanary$isInstantApp$2
be9a53f21fc2aebf    2 of  15   shark/AndroidObjectInspectors$CONTEXT_WRAPPER$leakingObjectFilter$1
b6f7edc1061db13d    2 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
fd940ad36026537d    3 of   3   shark/AndroidReferenceMatchers$PERF_MONITOR_LAST_CALLBACK
71b00a7e52bcc56c    2 of   7   shark/AndroidReferenceMatchers$APPLICATION_PACKAGE_MANAGER__HAS_SYSTEM_FEATURE_QUERY$add$1
4924d01528421d53   11 of  29   io/reactivex/rxjava3/core/Scheduler
4b5fe3e83e3012a4    2 of   2   leakcanary/ServiceWatcher$Companion
2a82fc483220c0ce    2 of   4   shark/AndroidObjectInspectors$CONTEXT_IMPL
a4f41a332652c0b0    5 of  14   io/reactivex/rxjava3/internal/schedulers/IoScheduler$EventLoopWorker
27623c318ce9bb9d    8 of  10   leakcanary/internal/LeakCanaryDelegate$loadLeakCanary$2
6c98ed36fda9282e    5 of  93   androidx/preference/PreferenceManager
ced90a5582d56e75   12 of  48   io/reactivex/rxjava3/internal/schedulers/NewThreadWorker
b5ce0ce1d90bc811    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$5
8c407c35d459401b    8 of  10   shark/ObjectInspectors
36f32cc4ab3a0d34    4 of   4   leakcanary/ServiceWatcher$activityThreadClass$2
c17f6feb1f2cf584    2 of   9   shark/AndroidReferenceMatchers$OEM_SCENE_CALL_BLOCKER$add$1
9fa0ce1b48a9952d   11 of 472   io/reactivex/rxjava3/core/Maybe
