class_id,class_name,probes_hit,probes_total,pct
252fcd1b74b71af1,leakcanary/internal/InternalLeakCanary,64,163,39.26
63724b760f68943d,androidx/startup/AppInitializer,60,86,69.77
9eb64b265d018ff5,androidx/lifecycle/LifecycleRegistry,51,144,35.42
2aded622a6a4e711,leakcanary/internal/LeakCanaryFileProvider$Companion,42,121,34.71
3bddc2797a5e94c7,leakcanary/ServiceWatcher,42,81,51.85
3d588ab901dafb02,free/rm/skytube/app/SkyTubeApp,36,184,19.57
e77bf2f962f5771a,shark/AndroidReferenceMatchers$Companion,35,45,77.78
d399b53a88e6e55c,leakcanary/AppWatcher,33,52,63.46
19eb78fd94124784,free/rm/skytube/app/Settings,29,158,18.35
d38ba12c1f831b5c,leakcanary/FragmentAndViewModelWatcher,28,36,77.78
32d673aefd248236,leakcanary/LeakCanary$Config,26,157,16.56
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,22,159,13.84
343e36a9ff95d975,io/reactivex/rxjava3/internal/schedulers/SchedulerPoolFactory,20,41,48.78
258ef486cdb9766a,org/ocpsoft/prettytime/impl/ResourcesTimeFormat,19,46,41.3
9685ad6e036fd384,io/reactivex/rxjava3/internal/schedulers/IoScheduler,19,26,73.08
17f8af81e516347f,io/reactivex/rxjava3/internal/schedulers/ComputationScheduler,18,33,54.55
c1af5134824a09d3,shark/ObjectInspectors$Companion,18,18,100.0
e4e000c0dc8f2d15,curtains/internal/WindowManagerSpy,17,35,48.57
510625886c3de56a,shark/AndroidObjectInspectors$Companion,17,18,94.44
bec1702e8b3747eb,androidx/core/graphics/ColorUtils,16,172,9.3
6eb232a1587862c2,io/reactivex/rxjava3/internal/schedulers/IoScheduler$CachedWorkerPool,16,41,39.02
928189f49e514bf7,io/reactivex/rxjava3/plugins/RxJavaPlugins,16,241,6.64
c1d366f81f75873b,androidx/multidex/MultiDex,16,176,9.09
13a6843f4330d591,leakcanary/AndroidLeakFixes$Companion,14,54,25.93
16e7dc9674a83379,shark/AndroidReferenceMatchers$REFERENCES,14,14,100.0
fa56cc48b279de1d,androidx/core/app/NotificationChannelCompat,13,70,18.57
07c506f5ac29b601,androidx/lifecycle/ProcessLifecycleOwner,13,44,29.55
ced90a5582d56e75,io/reactivex/rxjava3/internal/schedulers/NewThreadWorker,12,48,25.0
827017fb2185d8c2,free/rm/skytube/JacocoInstrument/JacocoInstrumentation,12,53,22.64
482b054e11f4fd1b,kotlin/jvm/internal/Intrinsics,12,127,9.45
ed805666cbdeeede,io/reactivex/rxjava3/internal/functions/Functions,12,47,25.53
47945e9bf931dff6,org/ocpsoft/prettytime/PrettyTime,12,390,3.08
4924d01528421d53,io/reactivex/rxjava3/core/Scheduler,11,29,37.93
9fa0ce1b48a9952d,io/reactivex/rxjava3/core/Maybe,11,472,2.33
c648fde6773174ed,io/reactivex/rxjava3/core/Completable,11,258,4.26
79195bf2c8f12c89,androidx/emoji2/text/EmojiCompatInitializer,11,14,78.57
bc47e56ab3c2c11e,androidx/lifecycle/Lifecycle$Event,11,20,55.0
fdb17b6c12d8bc0b,io/reactivex/rxjava3/internal/schedulers/SingleScheduler,10,46,21.74
1be632308ff31e8b,shark/AndroidObjectInspectors,10,14,71.43
cd13d0a6bf6bfbc6,leakcanary/internal/LeakCanaryFileProvider,10,62,16.13
165db649171b4d67,io/reactivex/rxjava3/disposables/CompositeDisposable,10,96,10.42
4c1eca25febaae11,androidx/core/content/FileProvider,10,142,7.04
f9c83a3f946ae92a,leakcanary/AppWatcher$Config,10,73,13.7
f87b7535929c0d23,kotlin/collections/CollectionsKt___CollectionsKt,10,1809,0.55
01c3dbadbbe94ad6,androidx/arch/core/executor/ArchTaskExecutor,10,21,47.62
daf8c81e9b170a60,androidx/core/app/NotificationManagerCompat,10,212,4.72
56765297b3db9bea,org/ocpsoft/prettytime/format/SimpleTimeFormat,9,71,12.68
6a2248129c0ccb71,androidx/core/app/NotificationChannelCompat$Api26Impl,9,24,37.5
9c4ef7b8418d841a,androidx/lifecycle/Lifecycle$Event$WhenMappings,9,16,56.25
7d34ae14bfe4c3e2,kotlin/SynchronizedLazyImpl,9,20,45.0
33066e5e3e0e486b,androidx/lifecycle/DefaultLifecycleObserverAdapter$WhenMappings,9,16,56.25
60bc7614fbad3efc,io/reactivex/rxjava3/internal/schedulers/RxThreadFactory,9,11,81.82
27623c318ce9bb9d,leakcanary/internal/LeakCanaryDelegate$loadLeakCanary$2,8,10,80.0
8c407c35d459401b,shark/ObjectInspectors,8,10,80.0
6f41c47b7a87e9f4,androidx/lifecycle/LifecycleRegistry$ObserverWithState,8,11,72.73
5b864ba2b1a9f5df,androidx/tracing/Trace,8,71,11.27
4c931d2836f36b3f,io/reactivex/rxjava3/internal/util/OpenHashSet,8,48,16.67
02754ce560470e48,androidx/lifecycle/Lifecycle$State,8,13,61.54
c2ca50cd9f166058,io/reactivex/rxjava3/internal/schedulers/ScheduledRunnable,8,71,11.27
a61e3bed1eb63ae0,curtains/internal/WindowManagerSpy$windowManagerClass$2,8,11,72.73
eae45a54c09ee229,androidx/lifecycle/ProcessLifecycleInitializer,8,10,80.0
19f98f540c22407f,shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE,8,8,100.0
c4479396b204a9d4,androidx/arch/core/internal/FastSafeIterableMap,7,11,63.64
ddfab8c829a3e493,curtains/internal/WindowManagerSpy$mViewsField$2,7,8,87.5
8526e4fa58b06d6b,androidx/lifecycle/Lifecycle$Event$Companion$WhenMappings,7,12,58.33
c90d544656af77f5,leakcanary/internal/VisibilityTrackerKt,7,7,100.0
ab91458839655313,androidx/core/app/NotificationChannelCompat$Builder,7,20,35.0
7a2031bbf062bb13,androidx/lifecycle/Lifecycling,7,95,7.37
0c7b206133be574b,leakcanary/ServiceWatcher$install$4,7,7,100.0
eaa8e49690965cca,curtains/internal/RootViewsSpy,7,11,63.64
fe2e14c425545d6b,leakcanary/AndroidLeakFixes,7,9,77.78
c4dad25c28dd0487,leakcanary/internal/LeakCanaryFileProvider$SimplePathStrategy,7,63,11.11
c2205db275a1bcd6,leakcanary/ObjectWatcher,7,113,6.19
7eff7ba1c9f64fc0,androidx/lifecycle/LifecycleRegistry$Companion,7,10,70.0
1323b0644cd39780,leakcanary/internal/InternalLeakCanary$isInstantApp$2,6,8,75.0
957c2fdc0f993194,io/reactivex/rxjava3/internal/disposables/DisposableHelper,6,53,11.32
d862b8be124e1fed,leakcanary/WorkManagerHeapAnalyzer$validWorkManagerInClasspath$2,6,19,31.58
e719874ca51d3740,leakcanary/RemoteWorkManagerHeapAnalyzer$remoteLeakCanaryServiceInClasspath$2,6,7,85.71
87e17d426c2708cb,org/ocpsoft/prettytime/impl/ResourcesTimeUnit,6,18,33.33
8687f0148e9bc25c,io/reactivex/rxjava3/internal/schedulers/NewThreadScheduler,6,7,85.71
