[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/TranslateYou-_v19.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-c58e117a": Wed Sep 02 13:56:31 UTC 2026 - Wed Sep 02 13:56:52 UTC 2026
b0ee49f11af3e3ed   20 of 144   androidx/compose/material3/Shapes
2a9eefd3d12e3462    6 of   6   androidx/compose/ui/node/OwnerSnapshotObserver$clearInvalidObservations$1
8d27f679dbd3a08b  160 of 231   androidx/compose/material3/DefaultSingleRowTopAppBarOverride
670183eec460e089    5 of   8   androidx/compose/ui/node/BackwardsCompatNodeKt
420a5e63ec1b707a    7 of   9   androidx/core/view/ViewGroupKt$iterator$1
7689fc1b632ae9b0    4 of  20   kotlin/SafePublicationLazyImpl
60e0624492367099    3 of   4   androidx/compose/animation/ExitTransition$Companion
ff92934f2c520084    5 of   9   androidx/sqlite/driver/SupportSQLiteConnection
5c8977a728fc63c3    7 of  31   kotlin/jvm/internal/CallableReference
3d65ccd040d13178    1 of   2   androidx/compose/ui/platform/PlatformTextInputModifierNodeKt$interceptedTextInputSession$1
fc909f9a8ac609d3    2 of   4   androidx/lifecycle/AtomicReference
c987505bb86d01ae    8 of  20   androidx/compose/runtime/composer/gapbuffer/changelist/Operation$UpdateNode
684c2a79904df258    1 of  10   androidx/emoji2/text/EmojiCompat$CompatInternal
7e6eb070ed344308    3 of   3   androidx/compose/ui/semantics/SemanticsConfigurationKt$getOrNull$1
3ba48aed5265c30e    2 of   3   androidx/navigationevent/NavigationEventTransitionState$Idle
23f160fa3a2ad903    9 of  44   androidx/compose/ui/graphics/vector/PathNode$RelativeArcTo
9812c156395a8038    9 of  24   androidx/compose/foundation/lazy/LazyLayoutSemanticStateKt$LazyLayoutSemanticState$1
f25b5c78e4c4aac1    2 of  34   kotlinx/coroutines/AbstractTimeSourceKt
a48367a26819eb1f   10 of  47   okhttp3/Headers$Builder
61ee63e74d536f71    2 of   8   kotlinx/coroutines/internal/LimitedDispatcherKt
aceb1e986919db58   21 of 345   androidx/compose/ui/text/ParagraphStyle
1c86044f00ee9813   22 of  36   androidx/compose/runtime/SnapshotMutableLongStateImpl
697617fba1d97f63   30 of  34   androidx/compose/ui/graphics/layer/GraphicsLayerKt
ee8520d75bc655af    3 of   3   kotlin/random/FallbackThreadLocalRandom
9638b6b19e465ef2    4 of  69   androidx/core/view/ViewGroupKt
a825bb2f0fea3ca2    9 of  22   kotlin/internal/ProgressionUtilKt
eb9ae6f05c2c1105    2 of   7   kotlinx/coroutines/Unconfined
a5fcc528cf938f03    2 of   2   androidx/compose/foundation/FocusedBoundsObserverNode$TraverseKey
0fde426d40a3ad5b    2 of  24   kotlin/coroutines/ContinuationKt
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
410d89cee0a2682d  124 of 233   androidx/compose/runtime/snapshots/SnapshotStateObserver
78a6992c7a9e3b58   27 of  35   androidx/compose/foundation/layout/PaddingValuesModifier
ff101931da201c4f    1 of   1   androidx/compose/foundation/text/UndoManager_jvmKt
60d14bafff4c3463    8 of  10   androidx/sqlite/driver/SupportSQLiteStatement
6c0bde4b8a8fd89c    2 of   4   androidx/navigation/NavController$Companion
4648c5f559b0da59    2 of  10   androidx/compose/foundation/text/TextFieldPressGestureFilterKt$tapPressTextFieldModifier$lambda$0$1$0$$inlined$onDispose$1
17fb470435e5e54e    3 of   3   androidx/compose/ui/platform/MotionDurationScaleImpl$startObservingSystemScaleFactor$1$1
e146b402861ad308   25 of 157   androidx/collection/MutableIntList
a38e8eb2d0239d48    2 of   4   androidx/compose/ui/semantics/SemanticsProperties$FillableData$1
ce5a616e351b9a73    5 of   5   androidx/compose/ui/platform/AndroidComposeView$textInputSession$2
3a236c1a1cc90a97    3 of   3   androidx/compose/foundation/text/TextFieldCursor_androidKt
1279da6dd5ca5daf    2 of   3   okhttp3/internal/connection/RealCall$Companion
2e88e2dd3eca52e6   26 of 155   androidx/compose/foundation/text/contextmenu/internal/AndroidTextContextMenuToolbarProvider_androidKt
43fe0b92bf909780    4 of   5   androidx/compose/material3/tokens/AppBarMediumTokens
5ef13cdd4594073a    3 of   3   kotlinx/coroutines/ResumeOnCompletion
2ef5231bcb9566f8    2 of 264   androidx/compose/ui/text/font/FontMatcher
a4cc33ee9b65ccc3   45 of 155   androidx/compose/ui/node/LayoutModifierNodeCoordinator
cde65203b83ce75f   68 of 118   androidx/compose/foundation/layout/RowColumnMeasurePolicyKt
9610415043eb3423    7 of  14   androidx/compose/foundation/FocusableNode$emitWithFallback$1
9956caf23d122e3c    3 of   3   androidx/compose/runtime/composer/gapbuffer/changelist/Operation$EnsureRootGroupStarted
8674a0528ac6cc6b    2 of   2   okhttp3/internal/http/RetryAndFollowUpInterceptor$Companion
a7a86ce51e1db5c0   45 of  47   androidx/compose/material/icons/filled/CameraAltKt
9d24a2c508edf79e   22 of  55   com/bnyro/translate/ui/theme/ThemeKt
b485de7e997b9319   29 of  38   androidx/compose/foundation/text/TextFieldKeyInputKt
1755e882c71cf851    7 of   9   androidx/compose/runtime/SnapshotMutableStateImpl$StateStateRecord
