[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Vanilla-Music-_1.3.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-11e07541": Wed Sep 02 13:57:17 UTC 2026 - Wed Sep 02 13:57:37 UTC 2026
4302f4cf7bef9822    5 of  83   androidx/lifecycle/Lifecycling
2a19cf378c5a6475   15 of  27   androidx/lifecycle/Lifecycle$1
8e395ba004d93241    3 of   6   ch/blinkenlights/android/vanilla/ext/CoordClickListener
f17d773f55efc1ae    1 of  18   com/mobeta/android/dslv/DragSortListView$SmoothAnimator
05966d17d06cdaeb   10 of  19   androidx/arch/core/executor/ArchTaskExecutor
e1aa900aaccfb268   73 of 137   androidx/lifecycle/LifecycleRegistry
9c3b39dba5f4e81c    2 of   2   ch/blinkenlights/android/medialibrary/MediaScanner$MediaScanPlan$Statistics
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
6846008892ea392e    9 of  11   androidx/arch/core/internal/FastSafeIterableMap
ecc9d5a868097e65    2 of  40   androidx/core/view/ViewCompat$Api21Impl
9ad8d26946858539    3 of  15   com/mobeta/android/dslv/DragSortListView$HeightCache
fa56ea18c310c553   31 of 149   android/support/v4/media/session/MediaSessionCompat
4572b6314ec65c94    2 of   2   ch/blinkenlights/android/vanilla/TimestampedObject
4001e07c813e7551    7 of   9   androidx/lifecycle/ProcessLifecycleInitializer
1e99134e59410d85    1 of 198   android/support/v4/media/session/MediaSessionCompat$Callback$MediaSessionCallbackApi21
3ccd8416a2f89b35   56 of 122   ch/blinkenlights/android/vanilla/SlidingPlaybackActivity
5d90ee1517b9052a   29 of  46   android/support/iosched/tabs/SlidingTabStrip
1f517e893d91a051    2 of   6   androidx/lifecycle/DefaultLifecycleObserver
9a8bd585a20a651c    1 of   3   android/support/v4/media/session/MediaSessionCompat$MediaSessionImplApi22
104404d496814e09    8 of  53   androidx/core/os/TraceCompat
e9b4a8899a437967    8 of  13   ch/blinkenlights/android/vanilla/SortableAdapter
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
35f7c93504586a81    3 of  42   ch/blinkenlights/android/vanilla/OneCellWidget
a3d8d9f158a0a795    2 of   2   ch/blinkenlights/android/vanilla/PlaybackActivity$1
ac2e887779ce9f89    7 of  27   com/mobeta/android/dslv/DragSortListView$AdapterWrapper
85e68c463b4c3df2   11 of  68   ch/blinkenlights/android/vanilla/DraggableRow
03064aedfdf12538    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
2b0c3d7d7d1fd34d    1 of   2   androidx/arch/core/executor/ArchTaskExecutor$1
55f84143891ccb82    1 of   2   ch/blinkenlights/android/medialibrary/MediaScanner$1
25dcbe5a6c2cd98c    3 of  23   ch/blinkenlights/android/vanilla/CoverCache
f3963239a050f5d8  266 of 1317   androidx/viewpager/widget/ViewPager
c03e93db8eb26b70    6 of  25   ch/blinkenlights/android/vanilla/ShowQueueAdapter
