class_id,class_name,probes_hit,probes_total,pct
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,266,1317,20.2
8a89519ec872a3a6,ch/blinkenlights/android/vanilla/PlaybackService,169,934,18.09
774aff2c2a12cef3,ch/blinkenlights/android/vanilla/LibraryPagerAdapter,99,323,30.65
9ea0468af1f4a472,ch/blinkenlights/android/vanilla/LibraryActivity,78,432,18.06
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,73,137,53.28
5dd15e349c4232f4,com/mobeta/android/dslv/DragSortListView,72,703,10.24
1f61c83698d02f53,ch/blinkenlights/android/vanilla/SlidingView,65,125,52.0
a2c89fe4089df654,ch/blinkenlights/android/medialibrary/MediaLibrary,64,235,27.23
63724b760f68943d,androidx/startup/AppInitializer,60,86,69.77
87f54bb387101934,ch/blinkenlights/android/vanilla/BottomBarControls,57,110,51.82
896bffbcb130b468,ch/blinkenlights/android/medialibrary/MediaScanner,57,296,19.26
3ccd8416a2f89b35,ch/blinkenlights/android/vanilla/SlidingPlaybackActivity,56,122,45.9
1007d2e6cd9a2e23,ch/blinkenlights/android/vanilla/MediaAdapter,56,217,25.81
d6adb7e5b22b7ac4,android/support/iosched/tabs/SlidingTabLayout,52,78,66.67
17e190caaddbc91e,ch/blinkenlights/android/vanilla/PlaybackActivity,47,205,22.93
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,42,159,26.42
8db84235c321ed0e,androidx/core/content/FileProvider,37,126,29.37
6111a1ece18c06bc,ch/blinkenlights/android/vanilla/PlaylistObserver,37,226,16.37
fa56ea18c310c553,android/support/v4/media/session/MediaSessionCompat,31,149,20.81
5d90ee1517b9052a,android/support/iosched/tabs/SlidingTabStrip,29,46,63.04
e2ea0428be97d0c2,androidx/lifecycle/ReportFragment,29,51,56.86
364e51361becfe59,ch/blinkenlights/android/vanilla/ShowQueueFragment,28,89,31.46
f319fa3c43b986d6,ch/blinkenlights/android/medialibrary/MediaLibraryBackend,23,122,18.85
cf468517b8ba0734,androidx/lifecycle/ProcessLifecycleOwner,22,37,59.46
026b7561cefb2d32,android/support/v4/media/session/MediaSessionCompat$MediaSessionImplApi21,21,143,14.69
70bf6facdfec9f84,ch/blinkenlights/android/vanilla/Action,19,24,79.17
cf225bc7346f9f04,ch/blinkenlights/android/medialibrary/MediaSchema,19,79,24.05
fa84a5e8d680005d,ch/blinkenlights/android/vanilla/LazyCoverView,18,52,34.62
18bfcce155c2c154,androidx/arch/core/internal/SafeIterableMap,17,73,23.29
2a19cf378c5a6475,androidx/lifecycle/Lifecycle$1,15,27,55.56
3a7c0d2b7a49d66f,ch/blinkenlights/android/vanilla/SongTimeline,15,372,4.03
dbc7962cb6036e64,androidx/lifecycle/Lifecycle$Event,15,31,48.39
f902cdb576684408,ch/blinkenlights/android/vanilla/MediaSessionTracker,15,36,41.67
ec45d1beef1a05d1,androidx/core/view/ViewCompat,14,884,1.58
bf044a46baf80c4f,android/support/v4/media/session/PlaybackStateCompat,14,106,13.21
73e85755a8694898,androidx/viewpager/widget/PagerAdapter,13,28,46.43
10fd196083ce4d2f,com/mobeta/android/dslv/DragSortController,13,152,8.55
79195bf2c8f12c89,androidx/emoji2/text/EmojiCompatInitializer,13,14,92.86
c984895b64df58a4,ch/blinkenlights/android/vanilla/ThemeHelper,13,29,44.83
3ffc32eea32f398f,androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions,13,20,65.0
1ace9f50706d6208,androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory,13,40,32.5
702f819080620177,ch/blinkenlights/android/vanilla/JacocoInstrument/JacocoInstrumentation,12,53,22.64
85e68c463b4c3df2,ch/blinkenlights/android/vanilla/DraggableRow,11,68,16.18
c598e4053f94eb41,androidx/emoji2/text/EmojiCompatInitializer$BackgroundDefaultLoader,11,13,84.62
02fb696625f73eef,ch/blinkenlights/android/medialibrary/MediaScanner$MediaScanPlan,11,24,45.83
79f8eeb4ea3587bd,ch/blinkenlights/android/vanilla/VanillaImageButton,11,15,73.33
05966d17d06cdaeb,androidx/arch/core/executor/ArchTaskExecutor,10,19,52.63
78120f9682faaa53,android/support/iosched/tabs/VanillaTabLayout,10,11,90.91
fd005822780ae652,androidx/lifecycle/ReportFragment$LifecycleCallbacks,10,15,66.67
6537dd1cff08dcac,android/support/iosched/tabs/SlidingTabLayout$InternalViewPagerListener,10,34,29.41
6846008892ea392e,androidx/arch/core/internal/FastSafeIterableMap,9,11,81.82
1fbc2404c007d7dc,androidx/lifecycle/FullLifecycleObserverAdapter$1,9,16,56.25
8517f82b62125855,ch/blinkenlights/android/vanilla/ScheduledLibraryUpdate,9,37,24.32
104404d496814e09,androidx/core/os/TraceCompat,8,53,15.09
e9b4a8899a437967,ch/blinkenlights/android/vanilla/SortableAdapter,8,13,61.54
5b864ba2b1a9f5df,androidx/tracing/Trace,8,71,11.27
9d8530dee7247e0f,androidx/core/app/CoreComponentFactory,8,11,72.73
9272d73b6d735387,androidx/collection/ArraySet,8,219,3.65
5f5e4469674f4a9c,android/support/v4/media/session/MediaSessionCompat$Callback,8,94,8.51
4001e07c813e7551,androidx/lifecycle/ProcessLifecycleInitializer,7,9,77.78
ac2e887779ce9f89,com/mobeta/android/dslv/DragSortListView$AdapterWrapper,7,27,25.93
b94e363edd033c4a,android/support/v4/media/session/PlaybackStateCompat$Api21Impl,7,25,28.0
c5a535886894c785,ch/blinkenlights/android/vanilla/MediaUtils,7,210,3.33
bf58a709935b984b,androidx/media/session/MediaButtonReceiver,7,65,10.77
5f4bf02e4975a55b,android/support/v4/media/session/MediaControllerCompat$MediaControllerImplApi21,7,149,4.7
932b9eeabdf385be,androidx/emoji2/text/ConcurrencyHelpers,7,10,70.0
90132c60e787144d,androidx/lifecycle/Lifecycle$State,7,11,63.64
dca3c1c955c89b67,ch/blinkenlights/android/vanilla/VanillaMediaPlayer,7,34,20.59
c03e93db8eb26b70,ch/blinkenlights/android/vanilla/ShowQueueAdapter,6,25,24.0
1a0a86574618da0d,android/support/v4/media/session/MediaSessionCompat$Token,6,58,10.34
ad5122889c1d388e,ch/blinkenlights/android/vanilla/LibraryPagerAdapter$AdaperPositionLruCache,6,11,54.55
72a6ede657f942c9,ch/blinkenlights/android/vanilla/PlaybackService$1,6,6,100.0
843693fc02557de0,androidx/emoji2/text/EmojiCompat$ListenerDispatcher,6,14,42.86
ebcfff0a7a2d6542,androidx/lifecycle/FullLifecycleObserverAdapter,6,13,46.15
cb7ff788c726616d,ch/blinkenlights/android/vanilla/SlidingView$AnimationListener,6,12,50.0
7a6ee69855a7ce9a,android/support/v4/media/session/PlaybackStateCompat$Builder,6,20,30.0
16aba72c9ef43cbd,ch/blinkenlights/android/vanilla/ShowQueueFragment$1,6,9,66.67
4302f4cf7bef9822,androidx/lifecycle/Lifecycling,5,83,6.02
db0ec09c8789d332,androidx/core/view/AccessibilityDelegateCompat,5,65,7.69
a4321acfa2b18207,androidx/arch/core/executor/DefaultTaskExecutor,5,27,18.52
4c8f408d9b68b625,androidx/lifecycle/LifecycleRegistry$ObserverWithState,5,5,100.0
b6d16a4ed22337cb,androidx/lifecycle/EmptyActivityLifecycleCallbacks,5,8,62.5
d0c4b184f6954f58,androidx/startup/InitializationProvider,5,12,41.67
a0ad934393dfd2bf,androidx/emoji2/text/EmojiCompatInitializer$LoadEmojiCompatRunnable,5,7,71.43
7410ec982bebf382,androidx/lifecycle/ProcessLifecycleOwner$3,5,8,62.5
7733729d0a857cdf,ch/blinkenlights/android/vanilla/PermissionRequestActivity,5,43,11.63
6f6325cccaf4f9a7,ch/blinkenlights/android/vanilla/NotificationHelper,5,7,71.43
30a8feadb958a619,androidx/core/content/FileProvider$SimplePathStrategy,4,42,9.52
0396c16452e75652,ch/blinkenlights/android/medialibrary/LibraryObserver$Type,4,6,66.67
176c84aa4ffa2c77,android/support/iosched/tabs/SlidingTabStrip$SimpleTabColorizer,4,4,100.0
bd863289ee8da3fa,ch/blinkenlights/android/vanilla/ReadaheadThread,4,38,10.53
b8b1870e76a0a597,ch/blinkenlights/android/vanilla/SharedPrefHelper,4,5,80.0
