[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wallabag-_2.5.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-62698472": Wed Sep 02 13:58:03 UTC 2026 - Wed Sep 02 13:58:24 UTC 2026
9a0e4437321bc421  159 of 794   androidx/recyclerview/widget/LinearLayoutManager
d61d91042869a774    1 of   5   androidx/fragment/app/FragmentState$1
2efbef06a0673192    1 of   4   fr/gaulupeau/apps/Poche/ui/MainActivity$2
ce86a715c76906f7    9 of  14   androidx/appcompat/widget/AppCompatEmojiTextHelper
0f0247c0f7364ff9    6 of  10   androidx/fragment/app/FragmentStateManager$2
2e78b3def76482cf   19 of 143   androidx/profileinstaller/DeviceProfileWriter
720b9e74cb96afe6    5 of   8   androidx/fragment/app/FragmentActivity$2
8fb0281449d47662  301 of 1299   androidx/appcompat/app/AppCompatDelegateImpl
5c0849296ea9539b    2 of  29   androidx/fragment/app/FragmentFactory
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
2688539e4de1f8d7    7 of  16   org/greenrobot/eventbus/android/AndroidDependenciesDetector
9aee92ffefa7ef96   12 of  17   androidx/emoji2/viewsintegration/EmojiEditableFactory
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
9a89586a9b77e9b2    9 of  17   fr/gaulupeau/apps/Poche/ui/BaseActionBarActivity
2bad4412436344fb    1 of   2   androidx/swiperefreshlayout/widget/SwipeRefreshLayout$7
d9da335587854d26    1 of  11   androidx/core/os/LocaleListPlatformWrapper
53b287d803854fdd    1 of   2   androidx/emoji2/viewsintegration/EmojiKeyListener$EmojiCompatHandleKeyDownHelper
903ed7ba045c3beb   13 of  29   androidx/fragment/app/FragmentViewLifecycleOwner
4ad3afcc3838e514   12 of 125   androidx/core/view/WindowInsetsCompat$Impl20
74f01197b1b154e3    1 of   3   androidx/fragment/app/FragmentTransaction$Op
45878af2ecb943f5    4 of   9   androidx/appcompat/app/ToolbarActionBar$ToolbarMenuCallback
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
54e1038257eae8b7    1 of  14   org/greenrobot/eventbus/android/AndroidLogger
c191934aae80e418    2 of   4   com/google/android/material/shape/CornerTreatment
de348157a5e082c7    1 of   2   com/google/android/material/internal/WindowUtils$Api30Impl
bdb41e6d8d6426f8    4 of  40   androidx/core/view/ViewCompat$Api21Impl
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
2efa337b574dc285    5 of   6   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
2ed531a157af2096    2 of   5   androidx/emoji2/viewsintegration/EmojiTextWatcher$InitCallbackImpl
f62eeb29f97a8c2c   29 of  62   androidx/appcompat/widget/TintTypedArray
817d6019b2d383e6    1 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
7b5c39b4a38ae138   12 of  53   fr/gaulupeau/apps/InThePoche/JacocoInstrument/JacocoInstrumentation
409b7dec5b250609    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
1da2f24505dca265   30 of 117   androidx/activity/OnBackPressedDispatcher
d4c5b7940b9b5894    5 of   6   androidx/fragment/app/Fragment$5
9b0b3fb5e0b1846a   20 of  85   androidx/appcompat/widget/AppCompatBackgroundHelper
8e7a64963bcbf140    1 of  14   androidx/appcompat/widget/ActionMenuPresenter$PopupPresenterCallback
5e5f703bf306ad0b    1 of  13   androidx/recyclerview/widget/RecyclerView$4
2c15d85c17560376    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
7f6458ef307d5f9c    1 of  16   org/greenrobot/eventbus/SubscriberMethod
a965733fc907fb33    3 of   4   fr/gaulupeau/apps/Poche/App$SettingsHolder
39188882d94b48bf   13 of  36   androidx/appcompat/widget/RtlSpacingHelper
6a8321ec1cadcfb2    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
73e1bf8225a761b5   27 of  72   com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior
0b8299794215289d    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
8ca14bcf2325e43f    4 of  16   org/greenrobot/eventbus/meta/AbstractSubscriberInfo
cca066dd09642b6f    4 of  37   androidx/appcompat/widget/ThemeUtils
b81042fa480d8a9f    1 of  10   androidx/fragment/app/FragmentManager$10
b2b59d11680e67d7    6 of   7   fr/gaulupeau/apps/Poche/data/dao/AnnotationRangeDao$Properties
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
7f7dc1c1f4305a06    5 of   6   androidx/drawerlayout/widget/DrawerLayout$2
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
47ef186305323a2f   12 of  18   com/google/android/material/shape/MaterialShapeUtils
0604891e8520caae   12 of  26   androidx/lifecycle/Lifecycle$Event$Companion
62a1ade9dfe8c038    1 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
02754ce560470e48   12 of  13   androidx/lifecycle/Lifecycle$State
773c9711b408dcba    1 of   4   androidx/core/view/animation/PathInterpolatorCompat$Api21Impl
77b7afc4db197bcc    3 of   3   androidx/appcompat/app/AppCompatActivity$1
92b5a3df18833940   20 of  96   androidx/fragment/app/FragmentTransaction
631ae48532eebddb    1 of   2   androidx/coordinatorlayout/R$styleable
acfc6b4bbaaad5b2    2 of   8   org/greenrobot/eventbus/AsyncPoster
25c687cf9b27719c   79 of 197   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuAdapter
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
d2af810318f4fbe1    8 of  14   androidx/drawerlayout/widget/DrawerLayout$SavedState
11a59483da093795    1 of   2   androidx/appcompat/app/AppLocalesMetadataHolderService$Api24Impl
00ef17488da05ac7   15 of  36   androidx/appcompat/widget/ViewUtils
c69fae692c0f2c3b    3 of   8   androidx/core/view/ViewCompat$Api23Impl
38669bbcd2a1d9bf    3 of   6   com/google/android/material/internal/NavigationMenuView
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
42ec002b98962296    1 of   3   com/google/android/material/tabs/TabLayout$PagerAdapterObserver
13379fe9c9a8bdba    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
84df4d3c07113e28    6 of  61   androidx/core/view/AccessibilityDelegateCompat
d6c54273311e9574   30 of 140   androidx/appcompat/widget/AppCompatButton
cc493a672fba3174    5 of  13   androidx/core/view/ViewCompat$Api21Impl$1
4f569f11d1a7c901   39 of  83   com/google/android/material/internal/ForegroundLinearLayout
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
9fab7b96a10c35d7    3 of  13   fr/gaulupeau/apps/Poche/ui/preferences/LongListPreference
808b4a569c7bb641    8 of  59   androidx/core/app/ComponentActivity
5095df1df2d8adb7    2 of  39   org/greenrobot/greendao/internal/LongHashMap
7a2031bbf062bb13    9 of  95   androidx/lifecycle/Lifecycling
a8e5ef8d1bbac439    1 of  12   androidx/recyclerview/widget/RecyclerView$ItemAnimatorRestoreListener
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
7a167f30db779ebd    6 of  10   androidx/fragment/app/DefaultSpecialEffectsController$10
7b63312d98975a28    8 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
0347239d1189e1a4    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
0a2abf471ff85a62    1 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
ea05cc810b402d33    5 of   5   org/greenrobot/eventbus/meta/SimpleSubscriberInfo
81ff11955f967f06    1 of   4   com/google/android/material/internal/NavigationMenu
5b3905b135258b51   22 of  82   androidx/fragment/app/FragmentState
7f3ffd75162e0499    6 of  11   com/google/android/material/animation/AnimationUtils
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
fc017ece73550165    1 of   5   androidx/appcompat/widget/ActionBarOverlayLayout$3
199d259cad2e882e   11 of  19   androidx/core/view/WindowInsetsCompat$BuilderImpl29
747317b788d9da19    4 of   7   androidx/fragment/app/Fragment$4
deea807b4ccdcb5b   16 of  26   com/google/android/material/tabs/TabIndicatorInterpolator
2f51a8b2c0a32648    1 of  12   fr/gaulupeau/apps/Poche/data/dao/entities/QueueItem$ActionConverter
83c8007beba8710b    7 of  59   androidx/recyclerview/widget/RecyclerView$5
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
01a8000b4dc80d71   12 of  24   androidx/fragment/app/FragmentManagerState
385cf1006141893d    6 of  85   androidx/recyclerview/widget/ViewInfoStore
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
9129ae5bc97f4f2c    1 of   7   androidx/drawerlayout/widget/DrawerLayout$SavedState$1
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
24705cd9209e6113  161 of 625   androidx/appcompat/widget/LinearLayoutCompat
2085861cfad03d6c    1 of   7   com/google/android/material/navigation/NavigationView$2
21b9b531ec03a9a3   42 of 318   androidx/appcompat/widget/ActionMenuView
b668aac56d5db8da    2 of   3   androidx/appcompat/content/res/AppCompatResources
ecbe9440c9bb3869    7 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
e1be7d7e0470719f   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
89f8bccbef612b62   14 of  35   androidx/fragment/app/SpecialEffectsController$Operation$State
317987d5f15bfec5   18 of  38   org/greenrobot/eventbus/SubscriberMethodFinder$FindState
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
ed108e3381fbe3ed    6 of   7   fr/gaulupeau/apps/Poche/App
cdf44afe3c043234    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
713a3f85b13c96c2    5 of 138   fr/gaulupeau/apps/Poche/data/dao/AnnotationDao
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
817df53a77052200  117 of 428   fr/gaulupeau/apps/Poche/ui/MainActivity
8fc35169a2060de8   30 of 349   androidx/recyclerview/widget/DefaultItemAnimator
f7b375bc175cd415    8 of   9   androidx/activity/ComponentActivity$3
6bf0cbca0bbeaac3    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
d93030d59c84d428    8 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
1dd9cf6fba66299a    1 of   2   fr/gaulupeau/apps/Poche/data/DbConnection$Holder
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
03c101ad1a0f8134    1 of   2   androidx/activity/ComponentActivity$Api19Impl
998f1f00cc0c83d9    2 of  19   com/facebook/stetho/Stetho$Initializer$RealSocketHandlerFactory
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
b4652431342dd524    3 of  40   androidx/recyclerview/widget/GapWorker$LayoutPrefetchRegistryImpl
e33cf84b79ca53e2    5 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
ace4442bc5fffc59    4 of   5   fr/gaulupeau/apps/Poche/ui/ArticleListsFragment$1
443a99f963cd2f64    5 of 101   fr/gaulupeau/apps/Poche/data/WallabagDbOpenHelper
df5cc1359985de87    2 of   4   androidx/viewpager/widget/ViewPager$SimpleOnPageChangeListener
5fa71a272956fdb8    1 of   2   androidx/appcompat/widget/Toolbar$2
fd3dbea49003bae9    2 of   3   fr/gaulupeau/apps/Poche/data/dao/ArticleContentDao$Properties
e61e3c67adf9d6f5    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
d48ae7f1e6751476   50 of 138   androidx/core/content/res/ResourcesCompat
502a403a52a0ebc9    1 of  12   androidx/swiperefreshlayout/widget/SwipeRefreshLayout$1
7e28094b23bfc5a1    1 of  59   androidx/recyclerview/widget/SimpleItemAnimator
afb02354da89ff10    1 of   4   fr/gaulupeau/apps/Poche/ui/MainActivity$3
f27e24e945c6aad5  323 of 2299   androidx/recyclerview/widget/RecyclerView
1f71420d034e07b7    6 of 126   kotlin/collections/CollectionsKt__CollectionsKt
b52e0ffe3e343563    8 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
ee7d145ddb77e0df    1 of   2   androidx/fragment/app/FragmentManager$3
3c1341c682548e08    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
482b054e11f4fd1b   10 of 127   kotlin/jvm/internal/Intrinsics
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
ae268dc3c73b0d4f   13 of  98   androidx/lifecycle/LiveData
df60e8640de6bb70   43 of  69   com/google/android/material/appbar/HeaderScrollingViewBehavior
4ddf0e540d50df49    1 of   2   androidx/appcompat/widget/ActionBarBackgroundDrawable$Api21Impl
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
0a3b83793bb4db62    6 of  13   androidx/appcompat/widget/Toolbar$SavedState
1fa492162a04262f   18 of  48   androidx/lifecycle/SavedStateHandleSupport
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
7c35993573ecf776    2 of  13   androidx/core/util/ObjectsCompat
958c6af3086d2688    4 of   6   androidx/recyclerview/widget/RecyclerView$Adapter$StateRestorationPolicy
5f10f9cc10ddaf9d   10 of 120   com/google/android/material/drawable/DrawableUtils
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
029b812baa3f982e   14 of  32   org/greenrobot/eventbus/EventBusBuilder
7be0249a56aa9071    3 of  53   org/greenrobot/greendao/identityscope/IdentityScopeLong
720266ef18c4e582   14 of  16   fr/gaulupeau/apps/Poche/ui/CachingPagerAdapter
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
1cdf2bda0aa17c15    9 of  68   com/google/android/material/resources/MaterialResources
752ba8d004abd8e3    1 of   4   androidx/appcompat/widget/SearchView$10
075438dfe4ed7ade    7 of   7   com/facebook/stetho/Stetho$Initializer
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
f0df52c88d1fb6b6    1 of   2   fr/gaulupeau/apps/InThePoche/BuildConfig
be77cc7ddfa1a414    2 of   6   com/google/android/material/tabs/TabLayout$AdapterChangeListener
1806e6dcfbde84c4    9 of  20   kotlin/SynchronizedLazyImpl
0b11eb4c7a6113fc    1 of  34   androidx/viewpager/widget/ViewPager$MyAccessibilityDelegate
6f48603953e84d58    3 of   3   fr/gaulupeau/apps/Poche/ui/ArticleListsFragment$2
f96207ce68681f02    1 of   1   androidx/customview/view/AbsSavedState$1
e425d482bb7ee217    3 of  13   fr/gaulupeau/apps/Poche/ui/preferences/FloatEditTextPreference
28233a4a54c43f7d    4 of 1097   kotlin/collections/ArraysKt___ArraysJvmKt
28ced4daf7caba0a   10 of  12   androidx/appcompat/app/ActionBarDrawerToggle$ToolbarCompatDelegate
82d22166e1e0ab81    9 of  14   kotlin/internal/jdk8/JDK8PlatformImplementations$ReflectSdkVersion
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
a8977f42cbb475ba   18 of  94   androidx/swiperefreshlayout/widget/CircularProgressDrawable$Ring
6f98267c2dd6b5ee  166 of 825   androidx/drawerlayout/widget/DrawerLayout
1a45ea35417e00d2   12 of  87   androidx/core/view/MenuItemCompat
d3c31dfb16937175    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
64dbe736f8c25ac5   56 of 272   fr/gaulupeau/apps/Poche/data/Settings
4bbb39a90f40a4b9   10 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
29668fb4024e0d70    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
6a6be5e39378cd1f   15 of 507   androidx/customview/widget/ViewDragHelper
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
610115570643abe0   41 of 355   androidx/fragment/app/BackStackRecord
b1b7bb2fdb4d182b   29 of  55   androidx/appcompat/view/ContextThemeWrapper
d76e91a8eb69e451    3 of  91   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback
ee2fe102648091ad  101 of 353   androidx/appcompat/widget/ActionBarOverlayLayout
be5e469d8e0b7ccd    1 of   4   androidx/profileinstaller/ProfileVerifier$CompilationStatus
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
