class_id,class_name,probes_hit,probes_total,pct
bd7f67d34f987e92,okhttp3/CipherSuite,126,130,96.92
6353dc13eb6ccd69,okhttp3/HttpUrl$Builder,115,390,29.49
d785ff28f354ad26,com/google/firebase/components/ComponentRuntime,107,163,65.64
7977247b2e066450,okio/Options$Companion,97,137,70.8
bbb1dd7aa5da1a98,okhttp3/OkHttpClient,95,167,56.89
48968a53f7fe88db,androidx/room/RoomDatabase,93,230,40.43
840bdb0e5593e0f5,okhttp3/OkHttpClient$Builder,85,249,34.14
400e269f6597db3b,kotlinx/coroutines/scheduling/CoroutineScheduler,77,310,24.84
499b2ce49e2cd274,com/google/firebase/FirebaseApp,73,179,40.78
6cc8606b3ca2239f,kotlinx/coroutines/JobSupport,70,755,9.27
31931cd1b2f112fe,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,69,197,35.03
91137533944508bb,leakcanary/internal/InternalLeakCanary,67,163,41.1
7dce9c1bd407d709,okhttp3/HttpUrl$Companion,66,196,33.67
e31dc597dd9dee92,okhttp3/internal/Util,63,452,13.94
3f8220d3a8a2e12c,com/google/firebase/components/CycleDetector,60,72,83.33
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
22ee8597ad76300d,com/google/firebase/messaging/FirebaseMessaging,57,163,34.97
8b6ec6d79019b755,okio/Buffer,51,931,5.48
9eb64b265d018ff5,androidx/lifecycle/LifecycleRegistry,51,144,35.42
7f726bf53cbe70ca,androidx/work/impl/model/WorkSpecDao_Impl,50,1169,4.28
ed77e2f3b9a45a73,com/google/firebase/concurrent/ExecutorsRegistrar,49,60,81.67
7e6bb33990153864,androidx/room/InvalidationTracker,48,216,22.22
d8f3489b5b0a0848,androidx/work/impl/WorkDatabase_Impl,45,122,36.89
3488d861eea7ec02,androidx/core/content/pm/ShortcutManagerCompat,44,317,13.88
32d673aefd248236,leakcanary/LeakCanary$Config,44,157,28.03
fa9788481588474c,org/wikipedia/WikipediaApp,43,151,28.48
43825a6d8f11bc4b,com/google/firebase/FirebaseCommonRegistrar,43,57,75.44
b5720dc6f96404ef,androidx/work/impl/utils/ForceStopRunnable,43,123,34.96
5348637875b37cb7,org/wikipedia/appshortcuts/AppShortcuts$Companion,42,42,100.0
a665a11b9f131cce,androidx/work/impl/WorkManagerImpl,42,188,22.34
2aded622a6a4e711,leakcanary/internal/LeakCanaryFileProvider$Companion,42,121,34.71
ef2c3413026d6e6f,kotlin/text/StringsKt__StringsKt,42,909,4.62
3bddc2797a5e94c7,leakcanary/ServiceWatcher,42,81,51.85
fce4a663859fcfdc,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper,41,110,37.27
99154c2d9aa357ae,okhttp3/HttpUrl$Builder$Companion,40,75,53.33
effc93f28c6dd094,androidx/room/RoomDatabase$Builder,40,118,33.9
56cdcabc792e06bc,androidx/core/content/FileProvider,40,126,31.75
4638990adff3dcb6,com/google/android/datatransport/runtime/scheduling/persistence/SchemaManager,40,55,72.73
3f3d2f458f6291e1,com/google/firebase/components/Component$Builder,38,43,88.37
b41bceba882c3152,androidx/core/content/pm/ShortcutInfoCompat$Builder,37,117,31.62
