class_id,class_name,probes_hit,probes_total,pct
1695cc00430b7d10,net/exclaimindustries/geohashdroid/activities/CentralMap,91,356,25.56
5c009352e7ddb633,net/exclaimindustries/geohashdroid/services/AlarmService,35,294,11.9
1e134fb0f5648e43,net/exclaimindustries/geohashdroid/util/VersionHistoryParser,27,38,71.05
774b8603921a54ae,net/exclaimindustries/geohashdroid/fragments/VersionHistoryDialogFragment$EntryAdapter,20,26,76.92
b10b508b9052a498,net/exclaimindustries/geohashdroid/util/ExpeditionMode,19,465,4.09
b39468cc9936665c,net/exclaimindustries/geohashdroid/widgets/ErrorBanner,16,51,31.37
65b972dfad365dd4,net/exclaimindustries/geohashdroid/JacocoInstrument/JacocoInstrumentation,12,53,22.64
b383e51f61e17bcd,net/exclaimindustries/geohashdroid/fragments/VersionHistoryDialogFragment,11,16,68.75
595ea8e10195b5da,net/exclaimindustries/geohashdroid/activities/BaseGHDThemeActivity,9,25,36.0
0772ee2974a82437,net/exclaimindustries/tools/AndroidUtil,6,19,31.58
b3ed2729453826c2,net/exclaimindustries/geohashdroid/JacocoInstrument/SMSInstrumentedReceiver,4,7,57.14
bebe5849587e70ca,net/exclaimindustries/geohashdroid/util/VersionHistoryParser$VersionEntry,3,23,13.04
e24a91fc1bdeb389,net/exclaimindustries/geohashdroid/activities/BaseMapActivity,2,28,7.14
ddd23ca2f68812bf,net/exclaimindustries/geohashdroid/activities/CentralMap$StockReceiver,2,50,4.0
de2e1c354e43fedf,net/exclaimindustries/geohashdroid/activities/CentralMap$CentralMapMode,2,53,3.77
7ad568b7f58e0540,com/google/android/gms/maps/R$styleable,1,2,50.0
0e1d088449ec3f24,net/exclaimindustries/geohashdroid/util/VersionHistoryParser$VersionEntry$1,1,5,20.0
7cc9a1638cffc128,net/exclaimindustries/geohashdroid/activities/CentralMap$1,1,5,20.0
