class_id,class_name,probes_hit,probes_total,pct
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,458,2094,21.87
75224e11b251fd64,androidx/fragment/app/FragmentManager,429,1212,35.4
9d4f0d1c8b49e209,androidx/work/impl/model/WorkSpecDao_Impl,371,1265,29.33
b3742666264f95b3,androidx/appcompat/widget/Toolbar,344,911,37.76
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,339,1610,21.06
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,303,1317,23.01
f1456232613416e2,com/google/android/material/tabs/TabLayout,266,592,44.93
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,244,794,30.73
39c72833c7b8ffb6,androidx/fragment/app/Fragment,233,730,31.92
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,198,825,24.0
dda310cec380118c,androidx/appcompat/app/AppCompatDelegateImpl,196,1183,16.57
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,185,625,29.6
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,185,598,30.94
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,178,954,18.66
b2a7bbb3c3d75f17,androidx/fragment/app/FragmentStateManager,178,430,41.4
74067032a7981ce9,androidx/recyclerview/widget/RecyclerView$LayoutManager,172,631,27.26
b7768efd2387a215,org/acra/config/CoreConfigurationBuilder,162,282,57.45
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,160,460,34.78
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,156,508,30.71
160858532d106b6f,com/google/android/material/shape/MaterialShapeDrawable,151,428,35.28
6120c23f1960e8a1,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,148,182,81.32
44787b72d3d9e392,org/schabi/newpipe/MainActivity,142,383,37.08
4ebd561f36f93650,com/google/android/material/bottomsheet/BottomSheetBehavior,140,667,20.99
8b6ec6d79019b755,okio/Buffer,139,931,14.93
83db9a23d3816a22,com/google/android/material/tabs/TabLayout$TabView,138,372,37.1
e31dc597dd9dee92,okhttp3/internal/Util,134,452,29.65
6353dc13eb6ccd69,okhttp3/HttpUrl$Builder,134,390,34.36
fe157c3e0bf2d8f1,okhttp3/internal/connection/RealCall,131,261,50.19
bd7f67d34f987e92,okhttp3/CipherSuite,127,130,97.69
c2a3025ef1bffa5b,androidx/recyclerview/widget/GridLayoutManager,122,439,27.79
77eaae5dd2815dd3,com/google/android/material/navigation/NavigationView,120,272,44.12
4614f301c96a3f2a,androidx/recyclerview/widget/RecyclerView$Recycler,116,533,21.76
ec45d1beef1a05d1,androidx/core/view/ViewCompat,113,884,12.78
8f152885e00748f1,org/acra/collector/ConfigurationCollector,113,145,77.93
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,110,274,40.15
e8b9eb5773d5fec8,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
59b409c26a1ae9a5,androidx/appcompat/widget/AppCompatTextHelper,107,379,28.23
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,106,201,52.74
0e8ba99b8efb7b26,com/xwray/groupie/Section,105,218,48.17
a4536b719c9ee716,androidx/work/impl/WorkerWrapper,105,250,42.0
78d534e2e06c6594,androidx/fragment/app/SpecialEffectsController,105,166,63.25
b3bbe5fd5d5a5f6e,androidx/room/InvalidationTracker,104,177,58.76
621be71be397116b,okhttp3/internal/http2/Http2Connection,104,291,35.74
0f48900639bf7d76,androidx/preference/Preference,101,474,21.31
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,100,645,15.5
009dc7d51381a691,okhttp3/internal/connection/RealConnection,99,378,26.19
73a2428bd7dda2ee,org/schabi/newpipe/local/subscription/SubscriptionFragment,98,281,34.88
7977247b2e066450,okio/Options$Companion,97,137,70.8
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,97,311,31.19
520cbe71b91579e3,org/schabi/newpipe/local/feed/FeedFragment,96,419,22.91
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,96,137,70.07
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,94,527,17.84
f3283996ec035884,okhttp3/internal/concurrent/TaskRunner,91,145,62.76
be154e847c4c7f8d,androidx/swiperefreshlayout/widget/SwipeRefreshLayout,89,426,20.89
3d08d969d4213878,com/google/android/material/shape/ShapeAppearanceModel,88,119,73.95
885f5ccf8e74fec9,okhttp3/internal/http2/Http2Stream,87,217,40.09
bbb1dd7aa5da1a98,okhttp3/OkHttpClient,81,167,48.5
55b2443c727acb99,androidx/fragment/app/FragmentStore,80,224,35.71
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,79,297,26.6
0cf0da3045a7a898,leakcanary/internal/InternalLeakCanary,79,165,47.88
37ae7ca059757ff4,okhttp3/internal/http2/Hpack,79,82,96.34
83b70bb5745781ef,androidx/room/RoomDatabase,79,176,44.89
7ec9e0e14fcbb69c,org/schabi/newpipe/database/AppDatabase_Impl,77,143,53.85
f74089556c98abbd,kotlin/jvm/internal/ClassReference,77,121,63.64
214c6270129ebc50,androidx/work/impl/background/systemjob/SystemJobScheduler,77,178,43.26
bc00aa0ef5a9db7a,okhttp3/internal/http2/Hpack$Reader,74,109,67.89
ea5b16a6c0f6108f,androidx/appcompat/widget/ActionMenuPresenter,74,282,26.24
e3233f9c63280f90,androidx/fragment/app/BackStackRecord,72,301,23.92
4e857c5cd270b6f1,io/reactivex/rxjava3/core/Flowable,72,1305,5.52
f50036a82265c741,okhttp3/ConnectionSpec,72,111,64.86
