[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ownCloud-_v4.4.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-bb5a1338": Wed Sep 02 14:01:07 UTC 2026 - Wed Sep 02 14:01:29 UTC 2026
2f56e514535f6918    4 of  10   kotlinx/coroutines/channels/ProducerCoroutine
e3233f9c63280f90   31 of 301   androidx/fragment/app/BackStackRecord
555eb83c963c1b56    2 of  42   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
b0032ffb0a6c9587    1 of   7   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$79
d362e4590f9ba8b7    5 of   8   org/koin/core/instance/InstanceContext
9e61c481777a4d82    4 of   6   com/owncloud/android/lib/common/http/logging/LogInterceptor$Companion
7f9c2a2afe5cdbf3   10 of  13   kotlinx/coroutines/CoroutineDispatcher
b251bdc299aa5625    1 of   3   androidx/core/content/res/ResourcesCompat$Api23Impl
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
b5f7c78d7cc58ea0    2 of   3   com/google/android/material/textfield/EndCompoundLayout$3
4f05a89a10f3874c    9 of 268   androidx/core/widget/TextViewCompat
b9b33fa9fe9e58a5    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$6
4109fec8e074df91    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
e95ef20e18cc73b8    1 of   3   com/owncloud/android/lib/resources/webfinger/services/implementation/OCWebFingerService
45f74ca36613ef6d   18 of  29   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$lazyDelegate$1
0cb5ecc168583802   10 of  10   com/owncloud/android/dependecyinjection/ViewModelModuleKt$viewModelModule$1$invoke$$inlined$viewModelOf$default$3
3fb64d32bada886f   18 of  29   androidx/sqlite/util/ProcessLock
d1db13d94a058833    1 of   2   com/owncloud/android/data/migrations/Migration_31Kt$MIGRATION_30_31$1
3cb8bb9d4c1eeb02    2 of   6   androidx/fragment/app/strictmode/Violation
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
e4d72ff5b26fb977    2 of   2   com/owncloud/android/data/migrations/Migration_34Kt
f52dd492ba519bad    1 of   5   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$67
c08d80dafd62ed76    6 of   6   com/owncloud/android/dependecyinjection/RepositoryModuleKt$repositoryModule$1$invoke$$inlined$factoryOf$default$12
da22e826d7055546    1 of   6   androidx/activity/ComponentActivity$1
f813ddb40f1f5af6    2 of   8   androidx/work/impl/constraints/trackers/NetworkStateTracker24$networkCallback$1
c61bda6eda0d2620    5 of   5   com/owncloud/android/dependecyinjection/LocalDataSourceModuleKt$localDataSourceModule$1$2
4a90ebebcfe24ec1   14 of  24   kotlinx/coroutines/channels/AbstractChannel$ReceiveElement
f9dbdebf28b78f8a   13 of  24   kotlinx/coroutines/CoroutineStart
299cd3f179fb43cc    3 of  73   androidx/core/util/Preconditions
409b7dec5b250609    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
3e8ccf4c213080ab    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuTextItem
20a03dbdbc76c136    1 of  88   androidx/core/graphics/TypefaceCompatApi29Impl
