[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/uhabits-_v2.3.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-92d5420c": Wed Sep 02 14:01:32 UTC 2026 - Wed Sep 02 14:01:53 UTC 2026
50f1be2e6eb1a06d    5 of   6   org/isoron/uhabits/core/commands/CommandRunner_Factory
a89428449028e0fd    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
e3233f9c63280f90   33 of 301   androidx/fragment/app/BackStackRecord
816b639f7ed76c2b    6 of  13   androidx/recyclerview/widget/OrientationHelper
e16823019142f320   26 of 135   androidx/appcompat/app/AppCompatDelegate
7f20ea6b3c66d13c    1 of  26   androidx/activity/result/contract/ActivityResultContracts$RequestPermission
7cc363df44f69bf9   30 of 144   org/isoron/uhabits/core/models/memory/MemoryHabitList
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
8ff58a434dd5087f    1 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
ad7ce2f2c77ea8ee    3 of   3   kotlin/random/FallbackThreadLocalRandom
32644374cd50045f  288 of 1316   androidx/fragment/app/FragmentManager
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
d9da335587854d26    1 of  11   androidx/core/os/LocaleListPlatformWrapper
0e496eed03678bef    1 of   7   org/isoron/uhabits/widgets/TargetWidgetProvider
e9974f6b0db34b62    1 of   9   org/isoron/uhabits/widgets/FrequencyWidgetProvider
a931c1fd0eedbe0f    1 of   2   androidx/recyclerview/widget/ItemTouchHelper$Callback$2
ff8dd2b22d98e888    7 of  90   kotlin/reflect/jvm/internal/KPropertyImpl
929f11ffbdb156e1    5 of   6   org/isoron/uhabits/core/ui/screens/habits/list/HintListFactory_Factory
7ba300cb53efe8b1   18 of  21   kotlin/reflect/jvm/internal/impl/builtins/PrimitiveType
3cb8bb9d4c1eeb02    2 of   6   androidx/fragment/app/strictmode/Violation
4c6ef687f66aecbd    1 of   3   kotlin/reflect/jvm/internal/KClassImpl$Data$declaredNonStaticMembers$2
3998409e1c67ad5f  102 of 106   kotlin/reflect/jvm/internal/impl/name/StandardClassIds
bec46832f81f66ad   32 of  59   androidx/fragment/app/FragmentPagerAdapter
bdb41e6d8d6426f8    2 of  40   androidx/core/view/ViewCompat$Api21Impl
15b41e8a46075d71   44 of  93   androidx/preference/PreferenceManager
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
1a95b8187854c293    8 of  11   org/isoron/uhabits/utils/FileUtilsKt
74b475d139018035    4 of 195   kotlin/reflect/jvm/internal/KDeclarationContainerImpl
817d6019b2d383e6    2 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
caa3756de146aed4   39 of  39   kotlin/reflect/jvm/internal/impl/name/StandardClassIdsKt
1da2f24505dca265   34 of 117   androidx/activity/OnBackPressedDispatcher
45cc399a2fba4bb3    5 of   6   org/isoron/uhabits/activities/habits/list/views/HabitCardViewFactory_Factory
c08ff3c376d7f5ff    1 of  21   kotlinx/coroutines/Job$DefaultImpls
5f5e38ed80a16f76    5 of   6   org/isoron/uhabits/activities/habits/list/views/CheckmarkButtonViewFactory_Factory
9f14f71f03710b13    5 of   6   org/isoron/uhabits/preferences/SharedPreferencesStorage_Factory
423055cd186d07f9   23 of 107   kotlin/reflect/jvm/internal/impl/name/ClassId
dbdee1be1536673d    6 of  10   org/isoron/uhabits/core/ui/screens/habits/list/HintList
55b2443c727acb99   67 of 224   androidx/fragment/app/FragmentStore
0b7a843a3076b741    7 of 119   androidx/appcompat/widget/ForwardingListener
0c07e53a0b7e623b    1 of   2   androidx/appcompat/widget/TooltipCompat$Api26Impl
0f252205257ab026   29 of 134   org/isoron/uhabits/activities/common/views/ScrollableChart
b11693eaa78e6d0d    1 of   9   kotlin/reflect/jvm/internal/KCallableImpl$_typeParameters$1
539ffaa549d6e06c    2 of   3   kotlin/ranges/IntProgression$Companion
3bca227e25ed64df    2 of  46   kotlin/collections/MapsKt__MapsJVMKt
bef6c048a9df67e9    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
8603e850f06706bc   11 of 269   kotlin/collections/MapsKt__MapsKt
c21297371d8ee021   73 of 170   org/isoron/uhabits/utils/ViewExtensionsKt
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
d48599621075951d   85 of 282   androidx/appcompat/widget/ActionMenuPresenter
d6e4e12a63b03cee    2 of  25   org/apache/commons/lang3/tuple/Pair
9d96e1842b602fe3    2 of   7   org/isoron/uhabits/notifications/AndroidNotificationTray$Companion
cb93c8a8127239d8   14 of  35   androidx/fragment/app/SpecialEffectsController$Operation$State
4c74c01157701387    3 of  14   org/isoron/uhabits/BaseExceptionHandler
5dc0f2275858ef2c    1 of  15   androidx/recyclerview/widget/GapWorker$1
0604891e8520caae   11 of  26   androidx/lifecycle/Lifecycle$Event$Companion
2c09cf8cbc19070a   17 of  26   org/isoron/uhabits/core/database/Tokenizer
1c788f4cb26721cb    7 of  10   org/isoron/uhabits/inject/DaggerHabitsActivityComponent$Builder
c95739048177e1bc    1 of   5   androidx/profileinstaller/ProfileVersion
e21f2ab8d54f4d76   21 of  33   org/isoron/uhabits/database/AutoBackup
02754ce560470e48   11 of  13   androidx/lifecycle/Lifecycle$State
22f4ade16f366083   22 of  28   org/isoron/uhabits/tasks/AndroidTaskRunner$CustomAsyncTask
3ca40a9b385996c5    1 of   1   kotlinx/coroutines/Job
28e2e60e98dd7692  234 of 1298   androidx/appcompat/app/AppCompatDelegateImpl
f031f7d06fbdb8f8    8 of  12   kotlin/coroutines/CoroutineContext$DefaultImpls
991d42d1fb12087b   89 of 450   androidx/preference/Preference
33ca88b160c70b19    1 of   8   kotlin/jvm/internal/PropertyReference1
74f0c89b7522a1e1   25 of  51   androidx/appcompat/view/ContextThemeWrapper
20e1c76dc8a4e786  116 of 311   androidx/constraintlayout/core/ArrayRow
baaa057c9d10f275    5 of   6   org/isoron/uhabits/core/ui/screens/habits/list/ListHabitsBehavior_Factory
a2479499f43f0a55    2 of   3   kotlin/ranges/IntRange$Companion
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
5dd0950023cb6bad    1 of   3   kotlin/reflect/jvm/internal/KCallableImpl$_returnType$1
f7a926c8753fdce2    6 of   9   kotlin/jvm/internal/ArrayIterator
df06244bd140d2b1    1 of   2   androidx/fragment/app/FragmentManager$7
fcffa2fa2152dfea    2 of  30   kotlinx/coroutines/JobKt
fe4a4bd0ac96a1b2    3 of  15   kotlin/collections/EmptyIterator
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
13379fe9c9a8bdba    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
e98254113e8f03d0   11 of 159   androidx/recyclerview/widget/ItemTouchHelper$Callback
7b67bf95eaca96e9    6 of  25   androidx/core/view/WindowInsetsControllerCompat
8ef4c5f824be9764    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
78170a3d1ef9c40b    2 of  11   com/github/appintro/AppIntroBase$addBackHandler$1
84df4d3c07113e28    5 of  61   androidx/core/view/AccessibilityDelegateCompat
96683fdc1a5ffb36    4 of  31   kotlin/collections/EmptyMap
4ee39c059ba3f99b   40 of  90   kotlin/reflect/jvm/internal/KClassImpl$Data
cc493a672fba3174    1 of  13   androidx/core/view/ViewCompat$Api21Impl$1
01847ecef8743fdf   18 of  21   org/isoron/uhabits/tasks/AndroidTaskRunner
808b4a569c7bb641    8 of  59   androidx/core/app/ComponentActivity
7a2031bbf062bb13    9 of  95   androidx/lifecycle/Lifecycling
2b1dcf0151bddd4d    5 of   6   org/isoron/uhabits/inject/HabitsModule_GetReminderSchedulerFactory
064a7f22fe2c67a9    1 of  12   androidx/core/view/WindowInsetsControllerCompat$Impl
189d1e841728c1de   45 of 318   androidx/appcompat/widget/ActionMenuView
855c8550cb55cbaf    2 of   5   org/isoron/uhabits/activities/habits/list/views/CheckmarkPanelViewFactory
0347239d1189e1a4    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
e0fdb96a7e2cf740    4 of  11   org/isoron/uhabits/io/AndroidLogger
c4ed8a07ff4b415a    4 of   6   kotlin/reflect/jvm/internal/KDeclarationContainerImpl$Data
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
5e3acd73077b4ccd    1 of   3   kotlin/reflect/jvm/internal/impl/name/FqNameUnsafe$1
eef8bb61e5b5b0d3    5 of  14   kotlin/reflect/jvm/internal/impl/builtins/jvm/JavaToKotlinClassMap$PlatformMutabilityMapping
75415101eb9206d2    4 of   4   androidx/constraintlayout/core/Cache
3255157477a57186    2 of   2   kotlin/jvm/internal/StringCompanionObject
e1c772b9bcd77ead   21 of  29   org/isoron/uhabits/activities/habits/list/views/EmptyListView
3199aa47f26230b9    3 of  13   org/isoron/uhabits/core/models/sqlite/SQLModelFactory
013a271aa3f95cdc    1 of   2   androidx/appcompat/app/AppCompatDelegate$ThreadPerTaskExecutor
cc2754576b5c9a24    5 of  38   androidx/recyclerview/widget/LinearLayoutManager$LayoutState
a6d77a37564233ac    2 of  82   androidx/core/graphics/TypefaceCompatBaseImpl
d62363b689e54d6b    3 of   3   org/isoron/uhabits/inject/DaggerHabitsActivityComponent$HabitsActivityComponentImpl$GetContextProvider
f31b80fd6f5695ac    8 of  38   org/isoron/uhabits/core/utils/DateUtils
42494dbddaecdc05  116 of 116   kotlin/reflect/jvm/internal/impl/builtins/StandardNames$FqNames
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
bcc0801d7a11bfee    5 of   6   org/isoron/uhabits/intents/PendingIntentFactory_Factory
dae5e4d9fed9e1c7   93 of 254   androidx/constraintlayout/core/widgets/Chain
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
c39aed733a490d83   12 of  53   org/isoron/uhabits/JacocoInstrument/JacocoInstrumentation
e1c808a79abc82fa    2 of  10   kotlin/random/AbstractPlatformRandom
b389eab307bd77a9   61 of 111   androidx/appcompat/view/SupportMenuInflater$MenuState
5c8c801e209a8538    3 of  11   kotlinx/coroutines/scheduling/DefaultScheduler
fab86725d61c4ab3   44 of 108   org/isoron/uhabits/core/utils/DateUtils$Companion
338f75dd17bb08db    1 of  27   kotlin/reflect/jvm/internal/KClassImpl$Data$supertypes$2
a45fd8f3506a95f5   10 of  54   org/isoron/uhabits/core/models/HabitMatcher
6e8cffd6174def23    5 of   6   org/isoron/uhabits/core/ui/screens/habits/list/HabitCardListCache_Factory
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
247bdab0d3da842e    3 of  30   androidx/appcompat/view/menu/SubMenuBuilder
a428ae983e956d67    7 of  30   kotlin/jvm/internal/CallableReference
d2e178b87defd6f5    4 of  68   org/isoron/uhabits/notifications/AndroidNotificationTray
5ae33e6d3ba1366c    9 of  59   kotlinx/coroutines/android/HandlerDispatcherKt
1228a9a8b477c6b3    6 of  10   androidx/fragment/app/FragmentStateManager$2
bff0941b5cb2461f    4 of  16   org/isoron/uhabits/database/AndroidCursor
f7b375bc175cd415    3 of   9   androidx/activity/ComponentActivity$3
d93030d59c84d428    8 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
692af2c2998b8332    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
de683a4221f6448e   52 of 113   androidx/preference/PreferenceInflater
e73822da527806ce    4 of  19   kotlinx/coroutines/internal/MainDispatchersKt
166868c6073dc8c6    3 of   5   androidx/fragment/app/FragmentManager$2
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
03c101ad1a0f8134    1 of   2   androidx/activity/ComponentActivity$Api19Impl
9a6dfaf2d8b46974    2 of   3   kotlinx/coroutines/scheduling/NanoTimeSource
9172bb22637ac04e    5 of  14   dagger/internal/DelegateFactory
8229313e16bca4db    2 of  19   org/isoron/uhabits/core/preferences/WidgetPreferences
8246fa33d8824187    2 of   5   kotlin/reflect/jvm/internal/CachesKt$CACHE_FOR_BASE_CLASSIFIERS$1
5c387b905c113ac9    1 of   9   kotlin/reflect/jvm/internal/KClassImpl$Data$typeParameters$2
c5c42cfa9c611c2e    1 of   9   androidx/activity/result/ActivityResultRegistry$2
41a67511e2904f54   40 of  45   org/isoron/uhabits/inject/DaggerHabitsApplicationComponent$HabitsApplicationComponentImpl
6006dd3e388494ca    2 of   7   kotlinx/coroutines/Unconfined
b7311bb88bf8460f    1 of  18   androidx/recyclerview/widget/ItemTouchHelper$ItemTouchHelperGestureListener
e3c7332522603bfd    1 of   2   androidx/recyclerview/widget/LinearLayoutManager$LayoutChunkResult
91e24d2cec592915    1 of   6   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton$1
b52e0ffe3e343563    8 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
3c1341c682548e08    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
482b054e11f4fd1b   12 of 127   kotlin/jvm/internal/Intrinsics
7bc2d61959fe65ae    2 of   5   kotlin/reflect/jvm/internal/CachesKt$CACHE_FOR_GENERIC_CLASSIFIERS$1
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
c1e68b0fe1f1ea88    3 of   3   org/isoron/uhabits/inject/HabitsActivityModule
ae268dc3c73b0d4f   13 of  98   androidx/lifecycle/LiveData
0467f227f1811e50    1 of  88   androidx/core/graphics/TypefaceCompatApi29Impl
82f5d720227ac63b    5 of   6   org/isoron/uhabits/activities/habits/list/views/NumberButtonViewFactory_Factory
b503c0b5a8977cb4    1 of   8   org/isoron/uhabits/activities/common/views/BundleSavedState$Companion$CREATOR$1
1fa492162a04262f   18 of  48   androidx/lifecycle/SavedStateHandleSupport
7c35993573ecf776    2 of  13   androidx/core/util/ObjectsCompat
