[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/APhotoManager-0.6.4.180314-debug-_116_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-6416dfb4": Mon Aug 17 12:38:32 UTC 2026 - Mon Aug 17 12:39:11 UTC 2026
fbcc7b0582c735a2    4 of   7   de/k3b/android/androFotoFinder/JacocoInstrument/SMSInstrumentedReceiver
401b16e44ce506a0    8 of  56   de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$SelectedItemsHandler
b99bf6cc1c21aeca    1 of  10   de/k3b/android/osmdroid/MarkerBubblePopupBase
d1d0efaeb16048b7   43 of 157   de/k3b/android/androFotoFinder/locationmap/MapGeoPickerActivity
4c564862862568e3    4 of 273   de/k3b/android/util/MediaScanner
b341ef2b4966ad38    4 of  34   de/k3b/android/widget/AboutDialogPreference
2d99381a6aa46721   11 of  21   de/k3b/android/androFotoFinder/Global
8ffea5a1a0894df5    2 of   2   de/k3b/android/osmdroid/FolderOverlayEx
764a3cf045ae8528   23 of  36   de/k3b/android/androFotoFinder/AndroFotoFinderApp
7b5fc45660c866dc    1 of   2   de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$1
cbd7b4830e36dd2d    5 of   7   de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$6
a4f6d1587c6fc5c2    1 of  34   de/k3b/android/androFotoFinder/imagedetail/HugeImageLoader
2904d8eaa21fe193    5 of   5   de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$2
1561c5d7636d4a17   23 of  36   de/k3b/android/androFotoFinder/ThumbNailUtils
78988f001d7c4de3   23 of  65   de/k3b/android/androFotoFinder/locationmap/PickerLocationMapFragment
2e83c26097a67328    4 of  35   de/k3b/android/osmdroid/MarkerBubblePopup
092b6bac036bf0f1    8 of  19   de/k3b/android/osmdroid/IconFactory
79923f6edf71d801    2 of   4   de/k3b/android/GuiUtil
1d3a97ac97f68b1b    5 of 134   de/k3b/android/androFotoFinder/BookmarkController
ce3e48a1c15d13d6    4 of   5   de/k3b/android/androFotoFinder/queries/FotoSqlBase
154ea8370a93da5e  103 of 204   de/k3b/android/androFotoFinder/SettingsActivity
302f3a21c977b065    6 of  33   de/k3b/android/androFotoFinder/LockScreen
4e07652d819df70c    5 of  26   de/k3b/android/osmdroid/IconOverlay
b329ad908275c9f1    2 of  19   de/k3b/android/osmdroid/forge/MapsForgeSupport
2668477129a74288   10 of  25   de/k3b/android/androFotoFinder/locationmap/MarkerLoaderTaskWithRecycling
2ca1c416fcd7e895   93 of 639   de/k3b/android/androFotoFinder/queries/FotoSql
7da31a64e1ddda0f  136 of 365   de/k3b/android/androFotoFinder/locationmap/LocationMapFragment
bf1f39514045f78e    2 of  18   de/k3b/android/util/ResourceUtils
64edc733c448f5e9    5 of  51   de/k3b/android/util/LogCat
456c6ce0bbf96a6c   16 of  34   de/k3b/android/widget/LocalizedActivity
7fd9c3157a8c94a9    1 of  14   de/k3b/android/util/MediaScannerImageMetaReader
30d051c93b8e42ac    3 of  55   de/k3b/android/androFotoFinder/AffUtils
5143b61e01cb25a6   12 of  53   de/k3b/android/androFotoFinder/JacocoInstrument/JacocoInstrumentation
99dd92d308d2ddcf    5 of   5   de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$3
e69a393fa0ec0c5b    8 of  38   de/k3b/android/osmdroid/OsmdroidUtil
1ff6944689dd5208   20 of  33   de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$FotoMarkerLoaderTask
d0e28c97912f2e20    2 of 240   de/k3b/android/androFotoFinder/tagDB/TagSql
4fe53c8c33bc6193   19 of  66   de/k3b/android/androFotoFinder/locationmap/MarkerLoaderTask
b029b76167076ae9    5 of  52   de/k3b/android/osmdroid/GuestureOverlay

