class_id,class_name,probes_hit,probes_total,pct
7da31a64e1ddda0f,de/k3b/android/androFotoFinder/locationmap/LocationMapFragment,129,365,35.34
2ca1c416fcd7e895,de/k3b/android/androFotoFinder/queries/FotoSql,93,639,14.55
154ea8370a93da5e,de/k3b/android/androFotoFinder/SettingsActivity,60,204,29.41
d1d0efaeb16048b7,de/k3b/android/androFotoFinder/locationmap/MapGeoPickerActivity,43,157,27.39
764a3cf045ae8528,de/k3b/android/androFotoFinder/AndroFotoFinderApp,23,36,63.89
1561c5d7636d4a17,de/k3b/android/androFotoFinder/ThumbNailUtils,23,36,63.89
78988f001d7c4de3,de/k3b/android/androFotoFinder/locationmap/PickerLocationMapFragment,23,65,35.38
4fe53c8c33bc6193,de/k3b/android/androFotoFinder/locationmap/MarkerLoaderTask,19,66,28.79
456c6ce0bbf96a6c,de/k3b/android/widget/LocalizedActivity,16,34,47.06
1ff6944689dd5208,de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$FotoMarkerLoaderTask,14,33,42.42
5143b61e01cb25a6,de/k3b/android/androFotoFinder/JacocoInstrument/JacocoInstrumentation,12,53,22.64
2d99381a6aa46721,de/k3b/android/androFotoFinder/Global,11,21,52.38
2668477129a74288,de/k3b/android/androFotoFinder/locationmap/MarkerLoaderTaskWithRecycling,9,25,36.0
401b16e44ce506a0,de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$SelectedItemsHandler,8,56,14.29
092b6bac036bf0f1,de/k3b/android/osmdroid/IconFactory,8,19,42.11
e69a393fa0ec0c5b,de/k3b/android/osmdroid/OsmdroidUtil,8,38,21.05
302f3a21c977b065,de/k3b/android/androFotoFinder/LockScreen,6,33,18.18
1d3a97ac97f68b1b,de/k3b/android/androFotoFinder/BookmarkController,5,134,3.73
4e07652d819df70c,de/k3b/android/osmdroid/IconOverlay,5,26,19.23
64edc733c448f5e9,de/k3b/android/util/LogCat,5,51,9.8
99dd92d308d2ddcf,de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$3,5,5,100.0
b029b76167076ae9,de/k3b/android/osmdroid/GuestureOverlay,5,52,9.62
fbcc7b0582c735a2,de/k3b/android/androFotoFinder/JacocoInstrument/SMSInstrumentedReceiver,4,7,57.14
4c564862862568e3,de/k3b/android/util/MediaScanner,4,273,1.47
b341ef2b4966ad38,de/k3b/android/widget/AboutDialogPreference,4,34,11.76
2e83c26097a67328,de/k3b/android/osmdroid/MarkerBubblePopup,4,35,11.43
ce3e48a1c15d13d6,de/k3b/android/androFotoFinder/queries/FotoSqlBase,4,5,80.0
cbd7b4830e36dd2d,de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$6,3,7,42.86
30d051c93b8e42ac,de/k3b/android/androFotoFinder/AffUtils,3,55,5.45
8ffea5a1a0894df5,de/k3b/android/osmdroid/FolderOverlayEx,2,2,100.0
2904d8eaa21fe193,de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$2,2,5,40.0
79923f6edf71d801,de/k3b/android/GuiUtil,2,4,50.0
b329ad908275c9f1,de/k3b/android/osmdroid/forge/MapsForgeSupport,2,19,10.53
bf1f39514045f78e,de/k3b/android/util/ResourceUtils,2,18,11.11
d0e28c97912f2e20,de/k3b/android/androFotoFinder/tagDB/TagSql,2,240,0.83
b99bf6cc1c21aeca,de/k3b/android/osmdroid/MarkerBubblePopupBase,1,10,10.0
7b5fc45660c866dc,de/k3b/android/androFotoFinder/locationmap/LocationMapFragment$1,1,2,50.0
a4f6d1587c6fc5c2,de/k3b/android/androFotoFinder/imagedetail/HugeImageLoader,1,34,2.94
7fd9c3157a8c94a9,de/k3b/android/util/MediaScannerImageMetaReader,1,14,7.14
