[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/AmazeFileManager-3.4.2-_1837_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-d9a47e49": Mon Aug 17 12:41:24 UTC 2026 - Mon Aug 17 12:42:03 UTC 2026
fd5957c0e0b34280   12 of  53   com/amaze/filemanager/JacocoInstrument/JacocoInstrumentation
1ed189479f7e74bc    3 of  25   com/amaze/filemanager/adapters/data/IconDataParcelable
fb7146ac532819b3    6 of  52   com/amaze/filemanager/GlideRequests
f255af772d0ea4a9   10 of  18   com/amaze/filemanager/asynchronous/asynctasks/LoadFilesListTask$1
2d911481b8e01f68    9 of  11   com/amaze/filemanager/utils/PreferenceUtils
7b8bc9146cb4fcd1    2 of   3   com/amaze/filemanager/utils/DataUtils$DataUtilsHolder
c7279defee8b404e    9 of  10   com/amaze/filemanager/database/UtilsHandler$Operation
7ca5ab68f42f9b59    8 of 144   com/amaze/filemanager/GlideOptions
5dcae23337dd81eb    1 of   7   com/amaze/filemanager/fragments/MainFragment$5
9f41fb27faf1bcc3    3 of   3   com/amaze/filemanager/ui/views/Indicator$2
63cc43e6bfb3de58    1 of  14   com/amaze/filemanager/fragments/MainFragment$4
dc59e324868dd8da    1 of   1   com/amaze/filemanager/ui/views/Indicator$StartPredicate
737b47d93ebd6454   27 of  40   com/amaze/filemanager/database/TabHandler
c3ee8d12c20551da   14 of  80   com/amaze/filemanager/adapters/data/LayoutElementParcelable
8a3b428d39d11bd6    5 of   7   com/amaze/filemanager/ui/views/FastScroller$ScrollListener
092f6caaa92ce076    2 of   3   com/amaze/filemanager/adapters/glide/RecyclerPreloadSizeProvider$SizeViewTarget
1648e8936e898764    2 of   2   com/bumptech/glide/GeneratedRequestManagerFactory
6554e8a15ed85be5    3 of   3   com/amaze/filemanager/ui/views/Indicator$3
4eb584bd1a6d4636    1 of  24   com/amaze/filemanager/ui/views/appbar/BottomBar$2
7d2f6e4ceb43746b   11 of  11   com/amaze/filemanager/ui/views/Indicator$PendingRetreatAnimator$1
69a159a0c0306599    9 of  14   com/amaze/filemanager/ui/views/CircleGradientDrawable
a93ecbee30e04ffa    8 of  12   com/amaze/filemanager/adapters/glide/RecyclerPreloadModelProvider
e3041302ae72c3b2    2 of  56   com/amaze/filemanager/fragments/CloudSheetFragment
4db629ae8f0b25f4   31 of 169   com/amaze/filemanager/filesystem/RootHelper
754c178e1520b697    8 of  25   com/amaze/filemanager/utils/theme/AppTheme
e622ea48f1a5cf45   27 of  54   com/amaze/filemanager/utils/application/AppConfig
5352440a579ea66b    8 of  38   com/amaze/filemanager/utils/files/FileListSorter
912115bf1e2cafd8   11 of 136   com/amaze/filemanager/GlideRequest
0e233598e2876405    1 of   3   com/amaze/filemanager/ui/views/drawer/Drawer$1
6464ec74595a9202    5 of   5   com/amaze/filemanager/activities/superclasses/BasicActivity
176609114f356c53    7 of   8   com/amaze/filemanager/utils/provider/UtilitiesProvider
1bf8bc9041064fb8   31 of 368   com/amaze/filemanager/filesystem/FileUtil
f15561f8b6e18274   29 of  32   com/amaze/filemanager/ui/views/DividerItemDecoration
6fe313965251a46e   13 of  15   com/amaze/filemanager/utils/OpenMode
ec504001f6ab0043    5 of   8   com/amaze/filemanager/adapters/holders/SpecialViewHolder
9efee8aeabce3e38   12 of  13   com/amaze/filemanager/ui/views/drawer/ActionViewStateManager
cfec2e22c694b70f    1 of   9   com/amaze/filemanager/utils/ScreenUtils
120e111f62ed1165    1 of   2   com/amaze/filemanager/BuildConfig
a3cdf43e6f6ecd88  211 of 893   com/amaze/filemanager/activities/MainActivity
dbdbea45f4f7eeae    2 of   3   com/amaze/filemanager/ui/views/FastScroller$1
41f560f5502a6654    1 of  19   com/amaze/filemanager/utils/MainActivityHelper$1
27035e6749608c0c    1 of  85   com/amaze/filemanager/database/CloudHandler
62996c363441ffa8   72 of 179   com/amaze/filemanager/fragments/TabFragment
6153678f2c472b69   71 of 219   com/amaze/filemanager/database/UtilsHandler
79b794f504b82fdb   10 of  17   com/amaze/filemanager/activities/MainActivity$4
6ffebfb5ea9a5749   16 of  24   com/amaze/filemanager/ui/views/appbar/AppBar
c603e42115272192    6 of  17   com/amaze/filemanager/fragments/preference_fragments/QuickAccessPref
1307281ef1288336    1 of   5   com/amaze/filemanager/adapters/data/LayoutElementParcelable$1
524d6f8c5b1a2c82    1 of   2   com/amaze/filemanager/R$styleable
2b2d08e926acc01b    5 of   7   com/amaze/filemanager/utils/AnimUtils
1a17e291009c8d54    1 of   2   androidx/cardview/R$styleable
e44762906e51abc4    4 of   6   com/amaze/filemanager/fragments/TabFragment$ScreenSlidePagerAdapter
ebf7e4509e13aecf    1 of   2   androidx/coordinatorlayout/R$styleable
30a6450348f72f46  139 of 547   com/amaze/filemanager/adapters/RecyclerAdapter
915c78c2b2a4cff9    6 of   6   com/amaze/filemanager/utils/application/AppConfig$1
651c208d763e3a85    3 of   3   com/amaze/filemanager/utils/application/GlideApplication
