[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/AnkiDroid-debug-2.6beta6-_4200-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-faa01baa": Mon Aug 17 21:22:07 UTC 2026 - Mon Aug 17 21:22:42 UTC 2026
e509a76a2dce1b5e    1 of   5   com/ichi2/anki/NavigationDrawerActivity$3
331f25b5a1b867ea    1 of   2   android/support/v7/appcompat/R$styleable
5d5378a79cdae8c2    1 of   3   com/ichi2/anki/DeckPicker$10
5be8e1cf5f38ffc8    3 of   4   com/ichi2/async/DeckTask$TaskListener
b98ada773b04af81    4 of  17   com/ichi2/anim/ActivityTransitionAnimation
9dd60067c4a1c80b   21 of 412   com/ichi2/libanki/Media
6b970aebd872877b   25 of 775   com/ichi2/anki/provider/CardContentProvider
8cfc81555d69c391   17 of  54   com/ichi2/compat/customtabs/CustomTabsHelper
669b33039e972b00   64 of  99   com/ichi2/anki/widgets/DeckAdapter
fbb6dc5b607cb229   27 of 145   com/ichi2/libanki/DB
3c58f19831a232b8    5 of  15   com/ichi2/utils/Threads
7aac2717e9f3ab63    1 of   2   com/getbase/floatingactionbutton/R$styleable
c84c8df050f1dee8    1 of   7   com/ichi2/libanki/hooks/FuriganaFilters$Kanji
62ee2f345ba0b904   21 of 553   com/ichi2/async/DeckTask
955d202b574ca06b    1 of   4   com/ichi2/libanki/DB$MyDbErrorHandler
f29035509a217796   22 of  69   com/ichi2/libanki/hooks/Hooks
07d374d066461da6    1 of  17   com/ichi2/anki/DeckPicker$5
0649e9d071806a61    8 of  12   com/ichi2/async/BaseAsyncTask
3bfb8a584dab6057   28 of 102   com/ichi2/anki/NavigationDrawerActivity
619c1087539c538b    1 of  13   com/ichi2/anki/DeckPicker$2
072892a667cd1b76    6 of  15   com/ichi2/utils/LanguageUtil
df70bcd3a8d216ee    1 of   2   android/support/design/R$styleable
608745fdc4edb592    4 of  18   com/ichi2/anki/stats/AnkiStatsTaskHandler
98aa6c6de1efba1e    1 of   7   com/ichi2/libanki/hooks/FuriganaFilters$Kana
cbfceb2c7f88197d    1 of   2   com/ichi2/compat/CompatV15
53695dd7d9583f6b    1 of  11   com/ichi2/anki/DeckPicker$26
25e13eb6bf48b7de    4 of  53   com/ichi2/anki/dialogs/DialogHandler
aff0e04ce17b8e04    2 of   8   com/ichi2/compat/CompatV21
50c0f763d05a010a    1 of   5   com/ichi2/libanki/Decks$1
07f3f7849847ab68    1 of  37   com/ichi2/compat/CompatV10
3023ba7087b7eff6    2 of  16   com/ichi2/libanki/hooks/Hook
4bd7ae9e82b8a69b    3 of  37   com/ichi2/themes/Themes
289b462be05ed8e4    2 of  30   com/ichi2/compat/CompatV16
1366d25af34d2539    4 of   7   com/ichi2/anki/JacocoInstrument/SMSInstrumentedReceiver
6628e1bdc2c3f43b    1 of 163   com/ichi2/anki/DeckPicker$17
1349c5da41b77d8c    1 of  13   com/ichi2/anki/DeckPicker$3
c302742a26453b7a   15 of  15   com/ichi2/ui/DividerItemDecoration
96fe47fb402c38db    1 of   5   com/ichi2/anki/DeckPicker$4
7a85d7b953d8167d   13 of 227   com/ichi2/libanki/Storage
89d6837364a559b2    1 of   2   com/ichi2/libanki/LaTeX$LaTeXFilter
caad7edac12dc632    1 of   2   android/support/v7/recyclerview/R$styleable
0146a7f5158c1e47    5 of  10   com/ichi2/compat/customtabs/ServiceConnection
931fd21e8b6ebe22    9 of  25   com/ichi2/compat/customtabs/CustomTabActivityHelper
2e38ee60dbe358ab   26 of  54   com/ichi2/anki/CollectionHelper
77c96285c4f9e0cb   32 of 101   com/ichi2/anki/AnkiDroidApp
988aa8762306b1d7    1 of   7   com/ichi2/libanki/hooks/FuriganaFilters$Furigana
4ca78fc7a4d1a7de    1 of   7   com/ichi2/anki/NavigationDrawerActivity$2
6b53a3f7ddba5654    1 of   9   com/ichi2/anki/DeckPicker$25
00ccd82627b96182   45 of 138   com/ichi2/anki/BackupManager
dcf57f66580e82e0  112 of 1203   com/ichi2/libanki/Sched
b33a8d98e7bbb2f6    1 of   2   com/ichi2/anki/BuildConfig
ebc27017d4948de3    3 of  24   com/ichi2/anki/widgets/FabBehavior
c6b22ce5802bb093    6 of 166   com/ichi2/libanki/Tags
510eb4ccb7710d42    1 of  14   com/ichi2/anki/DeckPicker$7
67cb29830b95d2bb    4 of  15   com/ichi2/libanki/Sched$DeckDueTreeNode
022679b06488d17c    1 of   4   com/ichi2/compat/CompatV17
128ca997728d4786    2 of   3   com/ichi2/anki/CollectionHelper$LazyHolder
cef2b5108a0cca4f   52 of 420   com/ichi2/libanki/Decks
a6199f6efca8c7aa    1 of  25   com/ichi2/anki/DeckPicker$6
b064f118223876da    2 of  33   com/ichi2/async/DeckTask$TaskData
2a73e618df5224b2    1 of   9   com/ichi2/libanki/hooks/Leech$LeechHook
f6bea9108c5a974e   10 of  10   com/ichi2/anki/widgets/DeckAdapter$ViewHolder
2635220020ae232a    1 of   3   com/ichi2/anki/DeckPicker$11
9e1fbb146f17b924    1 of  12   com/ichi2/anki/DeckPicker$9
4e70b5a38c3b2fa6   15 of 385   com/ichi2/libanki/Utils
bbfc579780572808   16 of 139   com/ichi2/anki/IntentHandler
59c1de934cb35a97    1 of   8   com/ichi2/anki/DeckPicker$1
e18e3c38eaa545ce    1 of  15   com/ichi2/compat/CompatV11
a8153a1ae8b88333   20 of  35   com/ichi2/anki/DeckPicker$22
5ba7974a31d1fdd7   20 of 686   com/ichi2/libanki/Models
5373da7052756066    7 of  14   com/ichi2/libanki/hooks/FuriganaFilters
fd0e5d1661f04fd2   98 of 598   com/ichi2/anki/DeckPicker
68ae2e08ebf68352    3 of   5   com/ichi2/compat/CompatV12
c96bd908e2e2954f    1 of   7   com/ichi2/libanki/hooks/HintFilter$Hint
bea53fec61890eea   16 of 163   com/ichi2/anki/AnkiActivity
271edf2bb147c510    2 of   2   com/ichi2/libanki/hooks/HintFilter
0e83b9225a001f7a   12 of  53   com/ichi2/anki/JacocoInstrument/JacocoInstrumentation
d4abc626bc38ecfd    2 of   2   com/ichi2/libanki/hooks/Leech
c1e84268907e43c6    1 of   7   com/ichi2/anki/DeckPicker$18
