[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Binary-Eye-_1.63.12-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-772c1685": Wed Sep 02 13:38:42 UTC 2026 - Wed Sep 02 13:39:03 UTC 2026
845274e001bc910f    1 of   4   android/support/design/widget/StateListAnimator$1
82d0e4657e9a962d    4 of  22   android/support/v4/view/ViewCompat$JBViewCompatImpl
c5063c7207b85ac7    4 of  11   android/support/v4/view/WindowInsetsCompatApi20
95cf3863622d7b8d   24 of 207   de/markusfisch/android/cameraview/widget/CameraView
dc2f598d5cc5616a    3 of   9   android/support/design/widget/CoordinatorLayout$HierarchyChangeListener
afedce102f96ac7b   92 of 519   android/support/v7/view/menu/MenuBuilder
337e179aebf8fd09    5 of  12   android/support/v4/view/WindowInsetsCompat$WindowInsetsCompatApi20Impl
704d808c99eed939    5 of   8   android/support/design/widget/AnimationUtils
4068790503aabada    4 of 172   de/markusfisch/android/binaryeye/database/Database
916b73d237e70b7f   25 of  65   de/markusfisch/android/binaryeye/view/SystemBarsKt
7b583ff4ec72f4ff    5 of   9   android/support/v4/view/GravityCompat
d2093e6b3cd1b691    1 of   5   android/support/v4/view/ViewCompat$Api24ViewCompatImpl
78a3c729a7b9de11    1 of  11   android/support/v7/widget/ActionMenuView$MenuBuilderCallback
b59901f4c10e3d46   33 of 103   android/support/v4/content/FileProvider
41f2ef438a12c285   18 of  43   android/support/v7/widget/AppCompatTextView
f9cf1bdcaf7c5b48   22 of  81   android/support/v7/widget/AppCompatSeekBarHelper
ea45c2c125ae4902    1 of   4   android/support/v7/widget/ActionMenuPresenter$ActionMenuPopupCallback
8109cd33c8f5a4e5    1 of   5   android/support/v7/widget/AppCompatDrawableManager$ColorFilterLruCache
ff663df5f2bb2a03    3 of   5   android/support/v4/view/GravityCompat$GravityCompatImplJellybeanMr1
004e0384225fadb8    1 of   3   android/support/v4/view/LayoutInflaterCompatBase$FactoryWrapper
7cffa9aa9ea325d8    3 of  26   kotlin/collections/CollectionsKt__IterablesKt
e648b4b4ea07dad4    4 of   8   android/support/v7/app/AppCompatDelegateImplV23
8a1894ecc0db3400    1 of   9   android/support/v7/app/ActionBar$LayoutParams
e9a1738006974a99    6 of  11   android/support/v4/content/res/ConfigurationHelper
5e5ff9381308385d   97 of 632   android/support/v7/widget/LinearLayoutCompat
96ad47a6ac5ce76f    5 of  14   android/support/v7/app/ToolbarActionBar$ToolbarCallbackWrapper
3867f37fb84bdb69   46 of 306   android/support/v4/app/FragmentActivity
f6ec550dd60d05d6    2 of  29   android/support/v4/graphics/drawable/DrawableCompatLollipop
c2d5016f470ac88a    2 of  50   de/markusfisch/android/binaryeye/view/ViewKt
ddcde346343d708b    2 of   2   android/support/design/widget/FloatingActionButtonLollipop$AlwaysStatefulGradientDrawable
ed689f10a4261863    3 of  12   android/support/v4/graphics/drawable/DrawableCompat$LollipopDrawableImpl
c89b2a9449809fb1   12 of  16   de/markusfisch/android/binaryeye/graphics/DrawablesKt
9b6959f0ce9a603d    3 of   3   android/support/design/widget/CircularBorderDrawableLollipop
881062ee5b4165ff    6 of  50   android/support/v7/widget/Toolbar$ExpandedActionViewMenuPresenter
9bfde9b5ab33433e    7 of  37   android/support/v4/view/ViewCompat$LollipopViewCompatImpl
b72a62b678d6c30c   10 of  11   android/support/v7/widget/AppCompatSeekBar
9c819bbfce8af9f3    1 of  52   android/support/v7/app/AppCompatDelegateImplV9$PanelFeatureState
657d6fc9a6646299   24 of  24   de/markusfisch/android/zxingcpp/ZxingCpp$BarcodeFormat
3647cd5dfaca819b    6 of  38   android/support/v4/view/MenuItemCompat
3e773043f403b47b   11 of  27   android/support/v4/util/ContainerHelpers
af9607220f873b7f    2 of   2   android/support/v7/app/AppCompatDelegateImplN
4b411c307710a032    3 of  11   android/support/v4/app/BaseFragmentActivityJB
8f357bdd5f38a38b   31 of 108   android/support/v7/app/AppCompatActivity
e27eb7f42b3542e4    4 of   7   de/markusfisch/android/binaryeye/JacocoInstrument/SMSInstrumentedReceiver
1a0ecc7f71695b7d   18 of 119   android/support/v4/app/FragmentHostCallback
4c1f85892ce96f1a    2 of   2   android/support/v7/app/ToolbarActionBar$1
ab5aeb26231ddb08    2 of   2   de/markusfisch/android/cameraview/widget/CameraView$4$1
66bad617d2f3bc31    5 of  84   android/support/v7/widget/DrawableUtils
d7ef4c483e1a39cf   49 of  80   android/support/design/widget/FloatingActionButtonLollipop
fd68c5bbcdf99558    1 of   5   android/support/v4/content/res/ConfigurationHelper$GingerbreadImpl
4ab88d342dc16238    2 of   9   android/support/v4/view/MarginLayoutParamsCompatJellybeanMr1
554478e9c307c2dc    2 of   3   kotlin/Unit
683a772c1208bb67    3 of  31   kotlin/collections/SetsKt__SetsKt
b869512efd8878b5    1 of   4   android/support/design/widget/ValueAnimatorCompat$2
dab49efecc635e53    2 of  10   de/markusfisch/android/binaryeye/activity/CameraActivity$initZoomBar$1
ecb5810137aa1863    6 of  10   android/support/v7/widget/LinearLayoutCompat$LayoutParams
c5588370006cc63a    1 of  76   android/support/v7/view/menu/ActionMenuItem
b9fdbd421f6e3351    1 of  10   android/support/v7/app/ToolbarActionBar$MenuBuilderCallback
4a470facf5f51c9f    1 of   6   android/support/design/widget/CoordinatorLayout$ViewElevationComparator
5915f00c1cce1f56    1 of   2   android/support/design/widget/ValueAnimatorCompat$1
baa4c95143a5e8d3   27 of  58   android/support/design/widget/FloatingActionButtonImpl
b096ea587b70f738   30 of 100   android/support/v7/widget/AppCompatTextHelper
9233f3c643e6fa9f   48 of 1735   android/support/v4/app/FragmentManagerImpl
72184500e43571a0    1 of   3   android/support/v4/app/FragmentManager
1c7a521bdf5da1b1    7 of  33   android/support/v4/app/NavUtils
945b5205c5dfdb0c   42 of  67   android/support/design/widget/CircularBorderDrawable
631fe4e95837ef4f    2 of  78   de/markusfisch/android/binaryeye/activity/CameraActivity$initCameraView$2
a4cdb72f3f17dc64    1 of  12   android/support/v4/view/ViewCompatJellybeanMr1
3020e60be0dda064    2 of   3   android/support/v4/view/animation/LinearOutSlowInInterpolator
227542a763ccc38c    1 of   6   android/support/v7/widget/ActionMenuPresenter$OverflowMenuButton$1
ad7692b15c760722    1 of   3   android/support/v4/graphics/drawable/DrawableCompat$HoneycombDrawableImpl
48cfbdc3b601ad99    1 of  35   android/support/v7/app/ActionBar
eeb0f90e17af8e85   13 of  46   android/support/v4/view/WindowInsetsCompat
3c1c0b0d701deb99    5 of  17   android/support/v4/app/BaseFragmentActivityGingerbread
2a6d76727757bbdd    1 of   2   android/support/design/widget/ValueAnimatorCompatImplHoneycombMr1$1
5f9fda0750e465eb    3 of   3   android/support/v4/view/animation/FastOutLinearInInterpolator
1cc54d5a941ed119    1 of   5   android/support/v4/graphics/drawable/DrawableCompat$JellybeanMr1DrawableImpl
31ecddd9a3de7d72    1 of   3   android/support/v4/content/ContextCompatApi23
57f601ff101ba08b    1 of   2   android/support/v7/app/ToolbarActionBar$2
df72ac719d52cacf    2 of   3   android/support/v7/widget/ForwardingListener$1
f6f5acd45c89f80b    1 of   7   android/support/v4/view/MenuItemCompat$IcsMenuVersionImpl
f79d558a8b4c9ffe   19 of  26   de/markusfisch/android/binaryeye/widget/DetectorViewKt
b93a37ff36459226    4 of   4   android/support/v4/view/ViewCompat$LollipopViewCompatImpl$1
32b4e79a85e2a264    4 of  12   android/support/v4/app/NavUtils$NavUtilsImplJB
65f670beefbe305d    5 of  16   android/support/design/widget/ViewUtils
1b76648584421d1d    2 of   9   android/support/design/widget/VisibilityAwareImageButton
0c67d15ed84a59df   20 of  78   android/support/design/widget/FloatingActionButtonGingerbread
96497c8884367459    4 of   9   android/support/v7/app/AppCompatDelegateImplV9$2
f993c9f6dc2d04fc    2 of   2   android/support/v4/view/LayoutInflaterCompat$LayoutInflaterCompatImplV21
706b594d6b6b94f9    2 of   4   android/support/v4/view/LayoutInflaterCompatLollipop
86bbbec01b00afc0    6 of  80   android/support/v4/content/ContextCompat
3a28510c40cedb51   12 of  36   android/support/v7/widget/RtlSpacingHelper
cccbc640f5ed19db    2 of   5   android/support/v4/view/GravityCompatJellybeanMr1
2eb35b2c43b03aee   61 of 140   android/support/v7/view/menu/ActionMenuItemView
504133c8969427da    2 of   9   android/support/v7/app/AppCompatDelegateImplV14$AppCompatWindowCallbackV14
57503c309a346b93   51 of 113   android/support/design/widget/FloatingActionButton
d199b01a9128dc63   26 of 117   android/support/v7/app/AppCompatViewInflater
8be5bcadbea65524    1 of  14   android/support/v7/widget/ActionMenuPresenter$PopupPresenterCallback
3bbfea95b72b5cca    5 of  41   android/support/v4/view/ViewCompat$HCViewCompatImpl
724d9f12dd7b20f4    3 of  18   android/support/v4/view/ViewCompatJB
dffa9acce13460d2    4 of  50   android/support/v7/content/res/AppCompatResources
d7d57946bb413302    1 of   3   android/support/v7/widget/RecyclerView$OnScrollListener
5a246f786cd82b55    6 of  42   de/markusfisch/android/binaryeye/database/Database$Companion
37909b71f851dc67    2 of  30   android/support/v4/app/FragmentActivity$HostCallbacks
b2500ca34ac8dee1    5 of   5   de/markusfisch/android/binaryeye/activity/SplashActivity
dbac5f2ebb12db4c    5 of  34   de/markusfisch/android/binaryeye/graphics/FrameMetrics
ba407e7890773892    7 of   7   de/markusfisch/android/binaryeye/graphics/DashedBorderPaintKt
e5ef554dc49198ed    2 of   5   android/support/v4/graphics/drawable/DrawableCompat$MDrawableImpl
f02bf74f844c61f7   10 of  21   android/support/design/widget/ValueAnimatorCompat
93b456ba57a6da4b    7 of  16   android/support/design/widget/ValueAnimatorCompatImplHoneycombMr1
80cc22c45f3de5d0    1 of 200   android/support/v4/view/ViewCompat$BaseViewCompatImpl
e6811d3309460611    1 of   4   android/support/design/widget/ValueAnimatorCompatImplHoneycombMr1$2
2cb8345013b5dbb8    1 of  19   android/support/v4/view/WindowInsetsCompat$WindowInsetsCompatBaseImpl
81084485f7502c38   17 of  24   android/support/v7/widget/ActionMenuPresenter$OverflowMenuButton
72011fe1356d626b    3 of   7   android/support/v7/widget/FitWindowsFrameLayout
faa62adced39a7a5   49 of  96   android/support/v7/view/SupportMenuInflater$MenuState
b44252b6d15d1146    1 of   2   android/support/design/widget/FloatingActionButtonGingerbread$DisabledElevationAnimation
0a96ce10fc3bd44d   17 of 142   android/support/v4/view/ViewCompat
652de6ce39395e2b   61 of 222   android/support/v7/view/menu/MenuItemImpl
537eef9ee620c432    6 of  31   android/support/design/widget/StateListAnimator
4dcbbebd8ccadb4e    1 of   9   android/support/v4/view/WindowInsetsCompatApi21
7a1ff66bc122aba2    2 of   2   android/support/v4/view/LayoutInflaterCompatHC$FactoryWrapperHC
6175414073eb3b25   24 of  93   android/support/v7/widget/ContentFrameLayout
e397fc18798b84f8    3 of  25   android/support/v4/app/NavUtils$NavUtilsImplBase
e3bf597caadcdee2    1 of  10   android/support/v7/app/ToolbarActionBar$ActionMenuPresenterCallback
2fd4b1f42fe0073f    2 of  86   android/support/v4/util/LruCache
2acc045eaa4c41df   43 of 322   android/support/v7/widget/ActionMenuView
