class_id,class_name,probes_hit,probes_total,pct
8891731b32252879,android/support/v7/widget/Toolbar,303,863,35.11
cd5a202590de0e10,android/support/design/widget/CoordinatorLayout,204,930,21.94
d5a597af30fe5da6,de/markusfisch/android/binaryeye/preference/Preferences,144,208,69.23
e3b2bb2afb2174c9,android/support/v7/app/AppCompatDelegateImplV9,136,823,16.52
a033c588b709a9a0,de/markusfisch/android/binaryeye/activity/CameraActivity,103,371,27.76
5e5ff9381308385d,android/support/v7/widget/LinearLayoutCompat,97,632,15.35
c3c36a917d45db9f,android/support/v7/widget/ActionMenuPresenter,95,289,32.87
afedce102f96ac7b,android/support/v7/view/menu/MenuBuilder,92,519,17.73
95cf3863622d7b8d,de/markusfisch/android/cameraview/widget/CameraView,92,207,44.44
9f2111aa373eb898,de/markusfisch/android/binaryeye/widget/DetectorView,79,208,37.98
2eb35b2c43b03aee,android/support/v7/view/menu/ActionMenuItemView,61,140,43.57
652de6ce39395e2b,android/support/v7/view/menu/MenuItemImpl,61,222,27.48
2868072850685ed2,android/support/v7/widget/AppCompatDrawableManager,60,303,19.8
57503c309a346b93,android/support/design/widget/FloatingActionButton,52,113,46.02
faa62adced39a7a5,android/support/v7/view/SupportMenuInflater$MenuState,49,96,51.04
d7ef4c483e1a39cf,android/support/design/widget/FloatingActionButtonLollipop,49,80,61.25
9233f3c643e6fa9f,android/support/v4/app/FragmentManagerImpl,48,1735,2.77
3867f37fb84bdb69,android/support/v4/app/FragmentActivity,46,306,15.03
29f2a1455142702a,android/support/v4/util/SimpleArrayMap,44,224,19.64
945b5205c5dfdb0c,android/support/design/widget/CircularBorderDrawable,44,67,65.67
2acc045eaa4c41df,android/support/v7/widget/ActionMenuView,43,322,13.35
631fe4e95837ef4f,de/markusfisch/android/binaryeye/activity/CameraActivity$initCameraView$2,38,78,48.72
6b4a877df130449f,android/support/v7/widget/ToolbarWidgetWrapper,37,257,14.4
ee79d1fde144e56e,android/support/design/widget/DirectedAcyclicGraph,36,71,50.7
8f357bdd5f38a38b,android/support/v7/app/AppCompatActivity,33,108,30.56
b59901f4c10e3d46,android/support/v4/content/FileProvider,33,103,32.04
2d5632102b6dfbab,android/support/design/widget/CoordinatorLayout$LayoutParams,32,108,29.63
b096ea587b70f738,android/support/v7/widget/AppCompatTextHelper,30,100,30.0
d24429d0c5c0998b,android/support/v7/view/menu/BaseMenuPresenter,29,62,46.77
baa4c95143a5e8d3,android/support/design/widget/FloatingActionButtonImpl,27,58,46.55
688368fa00a7c72e,android/support/v7/view/SupportMenuInflater,27,66,40.91
fcbc84c74f142007,android/support/v7/app/ToolbarActionBar,27,177,15.25
d199b01a9128dc63,android/support/v7/app/AppCompatViewInflater,26,117,22.22
916b73d237e70b7f,de/markusfisch/android/binaryeye/view/SystemBarsKt,25,65,38.46
6175414073eb3b25,android/support/v7/widget/ContentFrameLayout,24,93,25.81
fa0f881a0da5a9b2,de/markusfisch/android/zxingcpp/ZxingCpp$ReaderOptions,24,176,13.64
349b2cff3c4435c8,android/support/v7/app/AppCompatDelegateImplBase,24,52,46.15
657d6fc9a6646299,de/markusfisch/android/zxingcpp/ZxingCpp$BarcodeFormat,24,24,100.0
31746f62c1c9fd96,de/markusfisch/android/binaryeye/graphics/MappingKt,23,39,58.97
039f3398c465a9fe,android/support/v7/widget/TintTypedArray,23,56,41.07
f9cf1bdcaf7c5b48,android/support/v7/widget/AppCompatSeekBarHelper,22,81,27.16
