[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Breezy-Weather-_v5.2.8-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-9066b376": Tue Aug 18 02:31:25 UTC 2026 - Tue Aug 18 02:32:16 UTC 2026
520560750efc494c    1 of   3   androidx/compose/runtime/PrimitiveSnapshotStateKt
5f6337e98162070e   10 of  43   com/google/android/material/motion/MotionUtils
b535b3a799a2903e    3 of 1040   org/breezyweather/sources/RefreshHelper
b59ed4de8aa3b00b    2 of   5   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$obtainResourceIdCache$callbacks$1$1
5cdfbc6294d5be43    8 of  10   androidx/compose/ui/text/style/TextAlign$Companion
075699bf06578612    3 of   6   androidx/compose/material3/FabPosition$Companion
1f890ca40f95013a    3 of   7   dagger/hilt/android/internal/lifecycle/DefaultViewModelFactories
aea4d070f7066395    3 of  28   kotlin/io/CloseableKt
79550b0490c7679a   27 of 180   androidx/collection/MutableIntObjectMap
f854feae37337566   13 of  32   org/breezyweather/theme/resource/utils/XmlHelper
8449084879eac2fd    2 of   7   androidx/compose/ui/node/OwnerSnapshotObserver$onCommitAffectingMeasure$1
16170b37e80110bd    9 of  14   org/breezyweather/main/MainActivity$initView$3$1
528b88fa462d75f6   11 of  14   androidx/compose/ui/text/font/FontFamilyResolverImpl$resolve$result$1
8cd0cf547e268963    2 of   2   androidx/compose/ui/MotionDurationScale$Key
7df35215bc3c6d7d    2 of   2   kotlinx/serialization/json/Json$Default
29ed9cc5f98918ec    9 of  52   androidx/compose/runtime/SnapshotStateKt__DerivedStateKt
ea9e085ef261d4ea    5 of   5   androidx/compose/material3/SurfaceKt$LocalAbsoluteTonalElevation$1
7c66432204c151f1   19 of  31   androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation
4692dbff60b085a4    8 of   9   androidx/compose/ui/input/InputModeManagerImpl
97f355fb26e23a63    2 of   4   androidx/compose/ui/layout/ScaleFactor$Companion
cd2b55cb61438e59    2 of   2   org/breezyweather/sources/wmosevereweather/WmoSevereWeatherService$Companion
a7d686bd965ca02d    8 of  28   androidx/fragment/app/FragmentHostCallback
0c355eea05f4635b    2 of   2   org/breezyweather/common/source/HttpSource
a1f8e0a7f27a2b45    5 of   5   androidx/compose/material3/InteractiveComponentSizeKt$LocalMinimumInteractiveComponentSize$1
ff5baf298e6f1bc2   39 of 147   androidx/compose/ui/node/LayoutModifierNodeCoordinator
15e0b694d8aaea11   11 of  30   androidx/compose/ui/text/style/LineBreak$Strategy
762d5b2cfbccffc0    8 of  31   kotlin/collections/EmptyMap
ec1e3bb248824d9f    2 of  11   androidx/compose/ui/text/SaversKt$AnnotationRangeListSaver$1
2ac013c08be728d0   62 of 110   org/breezyweather/DaggerBreezyWeather_HiltComponents_SingletonC$SingletonCImpl
bf33a097ccc5c85b    8 of   8   androidx/compose/foundation/layout/FillElement$Companion
7cdd4bfbf639662a    3 of  30   kotlin/jvm/internal/ReflectionFactory
6c6702dd1954d337   20 of  48   okio/Segment
e95af69030ace511    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
a3e40e7add67735b   18 of  23   kotlinx/coroutines/JobSupportKt
812ff51bc808754a    4 of   5   kotlinx/coroutines/channels/ChannelResult$Companion
0d6745a8ab2d8e7a    3 of  20   kotlin/random/Random$Default
8e67c1dc0da378da    4 of  14   androidx/compose/ui/text/input/InputMethodManagerImpl
939e8dc9bc19bd7a    2 of 222   breezyweather/data/DailysQueries
ab79a9481c92c42d    5 of  19   kotlin/internal/jdk8/JDK8PlatformImplementations
ab7fc727597d202a    1 of   3   androidx/compose/foundation/layout/Arrangement$Top$1
fa56cc48b279de1d    3 of  70   androidx/core/app/NotificationChannelCompat
ad824b16c27635a8    3 of   3   androidx/compose/ui/text/input/ImeOptions$Companion
c26a8425e9f7d6a6    2 of   2   okhttp3/ConnectionSpec$Companion
0335bd408d5e81f9    5 of   7   androidx/compose/foundation/interaction/MutableInteractionSourceImpl
d1605c19048b17f0   79 of 388   androidx/fragment/app/DefaultSpecialEffectsController
f9016ce84e395a37   28 of  87   androidx/room/RoomOpenHelper
6be66061548b6492    2 of   4   androidx/compose/ui/unit/DpOffset$Companion
9ba7d869715da37c    3 of   3   androidx/compose/ui/graphics/SimpleGraphicsLayerModifier$measure$1
276c10e0876fb5d4   15 of  83   androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableList/SmallPersistentVector
4c342f4cbc102a8f    2 of   2   org/breezyweather/sources/openmeteo/OpenMeteoService$Companion
70b452989d1fb64f    2 of   4   androidx/compose/animation/core/VectorConvertersKt$SizeToVector$2
e80053ecf9e055b0    1 of   3   androidx/compose/foundation/layout/Arrangement$Bottom$1
89d53e8d00c738b9    2 of   7   androidx/compose/foundation/text/selection/SelectionRegistrarKt
6283b09a9215892c   16 of  30   androidx/compose/foundation/BorderModifierNode$drawWithCacheModifierNode$1
54bcfd309bd02e47   12 of  12   androidx/compose/material3/ShapeDefaults
f6261c4b31a3d5f4    3 of  18   androidx/compose/ui/graphics/vector/PathNode$RelativeLineTo
d67602e257f6a49c    3 of   3   androidx/compose/foundation/text/EmptyMeasurePolicy
37fc6bc2175fbdba    2 of  17   androidx/compose/foundation/shape/DpCornerSize
a17fe70635f4069f  104 of 280   androidx/compose/ui/node/BackwardsCompatNode
5984251bfa52c5e4   10 of  79   androidx/compose/ui/platform/actionmodecallback/TextActionModeCallback
c4a70bae3c02345d    1 of   2   org/breezyweather/search/SearchViewModel_HiltModules$KeyModule
46926a5a1ac9b5e7    1 of   2   androidx/recyclerview/widget/RecyclerView$StretchEdgeEffectFactory
12a3ea3e70ff1d2f    3 of   6   androidx/compose/foundation/shape/CornerSizeKt
48fd9436dc2d3953    2 of   3   kotlinx/coroutines/internal/ContextScope
